00001000 000010D2 _RtlEnterCriticalSection@4
0000D020 0000D02F _ZwCompressKey@4
0000D030 0000D03F _NtConnectPort@32
0000D040 0000D04F _ZwContinue@8
0000D050 0000D05F _ZwCreateDebugObject@16
0000D060 0000D06F _ZwCreateDirectoryObject@12
0000D070 0000D07F _NtCreateEvent@20
0000D080 0000D08F _NtCreateEventPair@12
0000D090 0000D09F _NtCreateFile@44
0000D0A0 0000D0AF _NtCreateIoCompletion@16
0000D0B0 0000D0BF _ZwCreateJobObject@12
0000D0C0 0000D0CF _NtCreateJobSet@12
0000D0D0 0000D0DF _ZwCreateKey@28
0000D0E0 0000D0EF _ZwCreateMailslotFile@32
0000D0F0 0000D0FF _ZwCreateMutant@16
0000D100 0000D10F _ZwCreateNamedPipeFile@56
0000D110 0000D11F _NtCreatePagingFile@16
0000D120 0000D12F _ZwCreatePort@20
0000D130 0000D13F _ZwCreateProcess@32
0000D140 0000D14F _ZwCreateProcessEx@36
0000D150 0000D15F _ZwCreateProfile@36
0000D160 0000D16F _NtCreateSection@28
0000D170 0000D17F _NtCreateSemaphore@20
0000D180 0000D18F _ZwCreateSymbolicLinkObject@16
0000D190 0000D19F _NtCreateThread@32
0000D1A0 0000D1AF _ZwCreateTimer@16
0000D1B0 0000D1BF _NtCreateToken@52
0000D1C0 0000D1CF _ZwCreateWaitablePort@20
0000D1D0 0000D1DF _NtDebugActiveProcess@8
0000D1E0 0000D1EF _ZwDebugContinue@12
0000D1F0 0000D1FF _ZwDelayExecution@8
0000D200 0000D20F _ZwDeleteAtom@4
0000D210 0000D21F _NtDeleteBootEntry@4
0000D220 0000D22F _NtDeleteFile@4
0000D230 0000D23F _ZwDeleteKey@4
0000D240 0000D24F _NtDeleteObjectAuditAlarm@12
0000D250 0000D25F _NtDeleteValueKey@8
0000D260 0000D26F _ZwDeviceIoControlFile@40
0000D270 0000D27F _NtDisplayString@4
0000D280 0000D28F _ZwDuplicateObject@28
0000D290 0000D29F _NtDuplicateToken@24
0000D2A0 0000D2AF _ZwEnumerateBootEntries@8
0000D2B0 0000D2BF _ZwEnumerateKey@24
0000D2C0 0000D2CF _ZwEnumerateSystemEnvironmentValuesEx@12
0000D2D0 0000D2DF _NtEnumerateValueKey@24
0000D2E0 0000D2EF _ZwExtendSection@8
0000D2F0 0000D2FF _NtFilterToken@24
0000D300 0000D30F _NtFindAtom@12
0000D310 0000D31F _ZwFlushBuffersFile@8
0000D320 0000D32F _ZwFlushInstructionCache@12
0000D330 0000D33F _NtFlushKey@4
0000D340 0000D34F _ZwFlushVirtualMemory@16
0000D350 0000D35D _NtFlushWriteBuffer@0
0000D360 0000D36F _NtFreeUserPhysicalPages@12
0000D370 0000D37F _NtFreeVirtualMemory@16
0000D380 0000D38F _NtFsControlFile@40
0000D390 0000D39F _NtGetContextThread@8
0000D3A0 0000D3AF _NtGetDevicePowerState@8
0000D3B0 0000D3BF _ZwGetPlugPlayEvent@16
0000D3C0 0000D3CF _NtGetWriteWatch@28
0000D3D0 0000D3DF _NtImpersonateAnonymousToken@4
0000D3E0 0000D3EF _ZwImpersonateClientOfPort@8
0000D3F0 0000D3FF _ZwImpersonateThread@12
0000D400 0000D40F _ZwInitializeRegistry@4
0000D410 0000D41F _NtInitiatePowerAction@16
0000D420 0000D42F _ZwIsProcessInJob@8
0000D430 0000D43D _NtIsSystemResumeAutomatic@0
0000D440 0000D44F _ZwListenPort@8
0000D450 0000D45F _NtLoadDriver@4
0000D460 0000D46F _NtLoadKey@8
0000D470 0000D47F _NtLoadKey2@12
0000D480 0000D48F _NtLockFile@40
0000D490 0000D49F _ZwLockProductActivationKeys@8
0000D4A0 0000D4AF _NtLockRegistryKey@4
0000D4B0 0000D4BF _ZwLockVirtualMemory@16
0000D4C0 0000D4CF _ZwMakePermanentObject@4
0000D4D0 0000D4DF _NtMakeTemporaryObject@4
0000D4E0 0000D4EF _NtMapUserPhysicalPages@12
0000D4F0 0000D4FF _ZwMapUserPhysicalPagesScatter@12
0000D500 0000D50F _ZwMapViewOfSection@40
0000D510 0000D51F _NtModifyBootEntry@4
0000D520 0000D52F _NtNotifyChangeDirectoryFile@36
0000D530 0000D53F _NtNotifyChangeKey@40
0000D540 0000D54F _NtNotifyChangeMultipleKeys@48
0000D550 0000D55F _ZwOpenDirectoryObject@12
0000D560 0000D56F _NtOpenEvent@12
0000D570 0000D57F _NtOpenEventPair@12
0000D580 0000D58F _NtOpenFile@24
0000D590 0000D59F _ZwOpenIoCompletion@12
0000D5A0 0000D5AF _ZwOpenJobObject@12
0000D5B0 0000D5BF _ZwOpenKey@12
0000D5C0 0000D5CF _NtOpenMutant@12
0000D5D0 0000D5DF _ZwOpenObjectAuditAlarm@48
0000D5E0 0000D5EF _ZwOpenProcess@16
0000D5F0 0000D5FF _ZwOpenProcessToken@12
0000D600 0000D60F _ZwOpenProcessTokenEx@16
0000D610 0000D61F _NtOpenSection@12
0000D620 0000D62F _NtOpenSemaphore@12
0000D630 0000D63F _NtOpenSymbolicLinkObject@12
0000D640 0000D64F _ZwOpenThread@16
0000D650 0000D65F _NtOpenThreadToken@16
0000D660 0000D66F _NtOpenThreadTokenEx@20
0000D670 0000D67F _ZwOpenTimer@12
0000D680 0000D68F _NtPlugPlayControl@12
0000D690 0000D69F _ZwPowerInformation@20
0000D6A0 0000D6AF _ZwPrivilegeCheck@12
0000D6B0 0000D6BF _ZwPrivilegeObjectAuditAlarm@24
0000D6C0 0000D6CF _NtPrivilegedServiceAuditAlarm@20
0000D6D0 0000D6DF _ZwProtectVirtualMemory@20
0000D6E0 0000D6EF _ZwPulseEvent@8
0000D6F0 0000D6FF _ZwQueryAttributesFile@8
0000D700 0000D70F _ZwQueryBootEntryOrder@8
0000D710 0000D71F _ZwQueryBootOptions@8
0000D720 0000D72F _NtQueryDebugFilterState@8
0000D730 0000D73F _NtQueryDefaultLocale@8
0000D740 0000D74F _ZwQueryDefaultUILanguage@4
0000D750 0000D75F _ZwQueryDirectoryFile@44
0000D760 0000D76F _ZwQueryDirectoryObject@28
0000D770 0000D77F _ZwQueryEaFile@36
0000D780 0000D78F _NtQueryEvent@20
0000D790 0000D79F _ZwQueryFullAttributesFile@8
0000D7A0 0000D7AF _NtQueryInformationAtom@20
0000D7B0 0000D7BF _ZwQueryInformationFile@20
0000D7C0 0000D7CF _ZwQueryInformationJobObject@20
0000D7D0 0000D7DF _ZwQueryInformationPort@20
0000D7E0 0000D7EF _ZwQueryInformationProcess@20
0000D7F0 0000D7FF _NtQueryInformationThread@20
0000D800 0000D80F _ZwQueryInformationToken@20
0000D810 0000D81F _NtQueryInstallUILanguage@4
0000D820 0000D82F _NtQueryIntervalProfile@8
0000D830 0000D83F _NtQueryIoCompletion@20
0000D840 0000D84F _ZwQueryKey@20
0000D850 0000D85F _NtQueryMultipleValueKey@24
0000D860 0000D86F _NtQueryMutant@20
0000D870 0000D87F _NtQueryObject@20
0000D880 0000D88F _NtQueryOpenSubKeys@8
0000D890 0000D89F _NtQueryPerformanceCounter@8
0000D8A0 0000D8AF _ZwQueryQuotaInformationFile@36
0000D8B0 0000D8BF _ZwQuerySection@20
0000D8C0 0000D8CF _NtQuerySecurityObject@20
0000D8D0 0000D8DF _ZwQuerySemaphore@20
0000D8E0 0000D8EF _ZwQuerySymbolicLinkObject@12
0000D8F0 0000D8FF _ZwQuerySystemEnvironmentValue@16
0000D900 0000D90F _ZwQuerySystemEnvironmentValueEx@20
0000D910 0000D91F _NtQuerySystemInformation@16
0000D920 0000D92F _NtQuerySystemTime@4
0000D930 0000D93F _ZwQueryTimer@20
0000D940 0000D94F _NtQueryTimerResolution@12
0000D950 0000D95F _ZwQueryValueKey@24
0000D960 0000D96F _NtQueryVirtualMemory@24
0000D970 0000D97F _NtQueryVolumeInformationFile@20
0000D980 0000D98F _NtQueueApcThread@20
0000D990 0000D99F _ZwRaiseException@12
0000D9A0 0000D9AF _ZwRaiseHardError@24
0000D9B0 0000D9BF _NtReadFile@36
0000D9C0 0000D9CF _NtReadFileScatter@36
0000D9D0 0000D9DF _ZwReadRequestData@24
0000D9E0 0000D9EF _NtReadVirtualMemory@20
0000D9F0 0000D9FF _ZwRegisterThreadTerminatePort@4
0000DA00 0000DA0F _ZwReleaseMutant@8
0000DA10 0000DA1F _NtReleaseSemaphore@12
0000DA20 0000DA2F _ZwRemoveIoCompletion@20
0000DA30 0000DA3F _ZwRemoveProcessDebug@8
0000DA40 0000DA4F _ZwRenameKey@8
0000DA50 0000DA5F _ZwReplaceKey@12
0000DA60 0000DA6F _ZwReplyPort@8
0000DA70 0000DA7F _NtReplyWaitReceivePort@16
0000DA80 0000DA8F _NtReplyWaitReceivePortEx@20
0000DA90 0000DA9F _NtReplyWaitReplyPort@8
0000DAA0 0000DAAF _ZwRequestDeviceWakeup@4
0000DAB0 0000DABF _ZwRequestPort@8
0000DAC0 0000DACF _NtRequestWaitReplyPort@12
0000DAD0 0000DADF _ZwRequestWakeupLatency@4
0000DAE0 0000DAEF _NtResetEvent@8
0000DAF0 0000DAFF _ZwResetWriteWatch@12
0000DB00 0000DB0F _NtRestoreKey@12
0000DB10 0000DB1F _ZwResumeProcess@4
0000DB20 0000DB2F _ZwResumeThread@8
0000DB30 0000DB3F _NtSaveKey@8
0000DB40 0000DB4F _NtSaveKeyEx@12
0000DB50 0000DB5F _NtSaveMergedKeys@12
0000DB60 0000DB6F _NtSecureConnectPort@36
0000DB70 0000DB7F _ZwSetBootEntryOrder@8
0000DB80 0000DB8F _ZwSetBootOptions@8
0000DB90 0000DB9F _ZwSetContextThread@8
0000DBA0 0000DBAF _NtSetDebugFilterState@12
0000DBB0 0000DBBF _NtSetDefaultHardErrorPort@4
0000DBC0 0000DBCF _NtSetDefaultLocale@8
0000DBD0 0000DBDF _ZwSetDefaultUILanguage@4
0000DBE0 0000DBEF _ZwSetEaFile@16
0000DBF0 0000DBFF _NtSetEvent@8
0000DC00 0000DC0F _NtSetEventBoostPriority@4
0000DC10 0000DC1F _NtSetHighEventPair@4
0000DC20 0000DC2F _NtSetHighWaitLowEventPair@4
0000DC30 0000DC3F _ZwSetInformationDebugObject@20
0000DC40 0000DC4F _ZwSetInformationFile@20
0000DC50 0000DC5F _ZwSetInformationJobObject@16
0000DC60 0000DC6F _ZwSetInformationKey@16
0000DC70 0000DC7F _ZwSetInformationObject@16
0000DC80 0000DC8F _ZwSetInformationProcess@16
0000DC90 0000DC9F _ZwSetInformationThread@16
0000DCA0 0000DCAF _ZwSetInformationToken@16
0000DCB0 0000DCBF _NtSetIntervalProfile@8
0000DCC0 0000DCCF _NtSetIoCompletion@20
0000DCD0 0000DCDF _ZwSetLdtEntries@24
0000DCE0 0000DCEF _ZwSetLowEventPair@4
0000DCF0 0000DCFF _ZwSetLowWaitHighEventPair@4
0000DD00 0000DD0F _ZwSetQuotaInformationFile@16
0000DD10 0000DD1F _NtSetSecurityObject@12
0000DD20 0000DD2F _ZwSetSystemEnvironmentValue@8
0000DD30 0000DD3F _ZwSetSystemEnvironmentValueEx@20
0000DD40 0000DD4F _ZwSetSystemInformation@12
0000DD50 0000DD5F _ZwSetSystemPowerState@12
0000DD60 0000DD6F _ZwSetSystemTime@8
0000DD70 0000DD7F _ZwSetThreadExecutionState@8
0000DD80 0000DD8F _ZwSetTimer@28
0000DD90 0000DD9F _NtSetTimerResolution@12
0000DDA0 0000DDAF _ZwSetUuidSeed@4
0000DDB0 0000DDBF _ZwSetValueKey@24
0000DDC0 0000DDCF _NtSetVolumeInformationFile@20
0000DDD0 0000DDDF _ZwShutdownSystem@4
0000DDE0 0000DDEF _ZwSignalAndWaitForSingleObject@16
0000DDF0 0000DDFF _NtStartProfile@4
0000DE00 0000DE0F _ZwStopProfile@4
0000DE10 0000DE1F _ZwSuspendProcess@4
0000DE20 0000DE2F _ZwSuspendThread@8
0000DE30 0000DE3F _NtSystemDebugControl@24
0000DE40 0000DE4F _ZwTerminateJobObject@8
0000DE50 0000DE5F _ZwTerminateProcess@8
0000DE60 0000DE6F _ZwTerminateThread@8
0000DE70 0000DE7D _NtTestAlert@0
0000DE80 0000DE8F _NtTraceEvent@16
0000DE90 0000DE9F _NtTranslateFilePath@16
0000DEA0 0000DEAF _ZwUnloadDriver@4
0000DEB0 0000DEBF _NtUnloadKey@4
0000DEC0 0000DECF _ZwUnloadKeyEx@8
0000DED0 0000DEDF _ZwUnlockFile@20
0000DEE0 0000DEEF _NtUnlockVirtualMemory@16
0000DEF0 0000DEFF _NtUnmapViewOfSection@8
0000DF00 0000DF0F _NtVdmControl@8
0000DF10 0000DF1F _NtWaitForDebugEvent@16
0000DF20 0000DF2F _NtWaitForMultipleObjects@20
0000DF30 0000DF3F _ZwWaitForSingleObject@12
0000DF40 0000DF4F _ZwWaitHighEventPair@4
0000DF50 0000DF5F _NtWaitLowEventPair@4
0000DF60 0000DF6F _NtWriteFile@36
0000DF70 0000DF7F _NtWriteFileGather@36
0000DF80 0000DF8F _NtWriteRequestData@24
0000DF90 0000DF9F _NtWriteVirtualMemory@20
0000DFA0 0000DFAD _ZwYieldExecution@0
0000DFB0 0000DFBF _ZwCreateKeyedEvent@16
0000DFC0 0000DFCF _NtOpenKeyedEvent@12
0000DFD0 0000DFDF _NtReleaseKeyedEvent@16
0000DFE0 0000DFEF _NtWaitForKeyedEvent@16
0000DFF0 0000DFFD _ZwQueryPortInformationProcess@0
0000DFFD 0000DFFF _pow
0000E002 0000E004 __CIpow
0000E004 0000E01D __CIpow_default
0000E01D 0000E026 __pow_default
0000E213 0000E228 __twoToTOS
0000E228 0000E23F __load_CW
0000E23F 0000E258 __convertTOStoQNaN
0000E258 0000E29B __fload_withFB
0000E29B 0000E2B1 __checkTOS_withFB
0000E2B1 0000E2BE __fast_exit
0000E2BE 0000E2E8 __math_exit
0000E2E8 0000E2FC __check_overflow_exit
0000E2FC 0000E39F __check_range_exit
0000E3D8 0000E3EF __startTwoArgErrorHandling
0000E3EF 0000E42B __startOneArgErrorHandling
0000E430 0000E440 _KiUserApcDispatcher@20
0000E440 0000E45C _KiUserCallbackDispatcher@12
0000E45C 0000E4A8 _KiUserExceptionDispatcher@8
0000E4A8 0000E4E6 _KiRaiseUserExceptionDispatcher@0
0000E4F0 0000E4F4 _KiFastSystemCall@0
0000E4F4 0000E4F5 _KiFastSystemCallRet@0
0000E500 0000E507 _KiIntSystemCall@0
0000E5C6 0000E5DA __CIcos
0000E5DA 0000E5E3 _cos
0000E67E 0000E680 _log
0000E682 0000E684 __CIlog
0000E684 0000E698 __CIlog_default
0000E698 0000E6A1 __log_default
0000E75E 0000E7DD _strstr
0000E7ED 0000E7F3 _strchr
0000E7F3 0000E8AB ___from_strstr_to_strchr
0000E8AB 0000E8E6 __SEH_prolog
0000E8E6 0000E8F7 __SEH_epilog
0000E900 0000E9E6 __except_handler3
0000E9E6 0000EA01 __seh_longjmp_unwind@4
0000EA01 0000EA21 __global_unwind2
0000EA5C 0000EABC __local_unwind2
0000EABC 0000EABE __NLG_Return2
0000EACC 0000EAEF __abnormal_termination
0000EAEF 0000EAF8 __NLG_Notify1
0000EAF8 0000EB0E __NLG_Notify
0000EB0E 0000EB16 __NLG_Dispatch2
0000EB1B 0000EB98 _RtlAnsiStringToUnicodeString@12
0000EC9A 0000EDD3 _RtlMultiByteToUnicodeN@20
0000F60D 0000F644 _RtlNtStatusToDosError@4
0000F659 0000F70A _RtlNtStatusToDosErrorNoTeb@4
0000FBB2 0000FBC6 _RtlAddRefActivationContext@4
0000FBE6 0000FC45 _RtlpGetActivationContextData@16
0000FC4A 0000FCAD _RtlpQueryInformationActivationContextBasicInformation@28
0000FCB2 0000FDC0 _RtlQueryInformationActivationContext@28
0000FE01 0000FE0B _RtlGetLastWin32Error@0
0000FE10 0000FE25 _RtlRestoreLastWin32Error@4
0000FE2A 0000FE52 _wcslen
0000FE57 0000FE70 @__security_check_cookie@4
0000FE75 0000FEB3 _RtlInitUnicodeStringEx@8
0000FEFB 0000FF08 _RtlGetNtGlobalFlags@0
0000FF0D 00010040 _RtlFreeHeap@12
0001005D 0001006D _RtlpQueryDepthSList@4
00010072 0001009F _RtlpFreeToHeapLookaside@8
000100A4 000101BE _RtlAllocateHeap@12
000101D1 00010205 _RtlpAllocateFromHeapLookaside@4
00010230 000102B4 _RtlpWorkerThread@4
000102B9 00010306 _RtlpImageNtHeader@4
00010319 00010321 _RtlImageNtHeader@4
00010326 0001036A _RtlImageDirectoryEntryToData@16
0001036F 000103AE _RtlpImageDirectoryEntryToData32@20
000103C0 000103E8 _RtlUpcaseUnicodeChar@4
000103ED 0001041F _RtlAcquirePebLock@0
00010431 00010441 _RtlReleasePebLock@0
00010446 00010468 _RtlFreeAnsiString@4
00010471 00010490 _RtlpFreeAtom@4
00010499 000104B8 _RtlpSysVolAllocate@4
000104BD 00010522 _RtlSizeHeap@12
00010527 0001055A _RtlReleaseActivationContext@4
0001055F 00010595 _wcsncpy
0001059A 000105FF _RtlpIOWorkerThread@4
00010664 00010697 _RtlpUpdateIndexRemoveBlock@8
0001069C 000106D5 _RtlpUpdateIndexInsertBlock@8
000106DA 00010722 _RtlpCoalesceFreeBlocks@16
00010D34 00010DC2 _RtlpAdjustHeapLookasideDepth@4
0001135A 000113D5 _RtlDeleteCriticalSection@4
000113E9 00011443 _RtlpFreeDebugInfo@4
00011469 000114CB _RtlpAllocateDebugInfo@0
000114FA 000115AF _RtlInitializeCriticalSectionAndSpinCount@8
000115B4 000115DA _RtlLogStackBackTrace@0
000115FD 00011610 _RtlInitializeCriticalSection@4
000117F5 000118F9 _RtlpInsertFreeBlock@12
00011951 00011AD1 _RtlpDeCommitFreeBlock@12
00011AD6 00011DB1 _RtlpFindEntry@8
00011EDD 00011FCB _RtlTimeToTimeFields@8
00012145 000121BA _ElapsedDaysToYears@4
000121E1 00012210 _LdrpCompareResourceNames_U@12
00012258 0001241C _LdrpSearchResourceSection_U@20
00012421 0001248C _LdrpAccessResourceDataNoMultipleLanguage@16
000126C7 00012744 _LdrpAccessResourceData@16
00012767 00012783 _LdrFindResource_U@16
00012788 000127A0 _LdrAccessResource@16
000127E8 0001284A _LdrLoadAlternateResourceModule@8
00012885 000128B2 _RtlAddressInSectionTable@12
000128B7 000128F9 _RtlSectionTableFromVirtualAddress@12
00012A6D 00012B93 _RtlUnicodeToMultiByteN@20
00012B98 00012C23 _RtlUnicodeStringToAnsiString@12
00012C28 00012C3E __DllMainCRTStartupForGS@12
00012C43 00012CE7 _LdrLockLoaderLock@12
00012CF9 00012D5B _LdrUnlockLoaderLock@8
00012D71 00012DE2 _CsrClientCallServer@16
00012DE7 00012E3F _LdrpCheckForLoadedDllHandle@8
00012E44 00012E4C __stricmp
00012E4C 00012E96 ___ascii_stricmp
00012E9B 00012F3B _RtlEqualUnicodeString@12
00012F40 00012F5F _wcscpy
00012F64 00012FAE _RtlValidSid@4
00013059 00013083 _RtlCreateUnicodeStringFromAsciiz@8
00013088 000130B0 _RtlIsDosDeviceName_U@4
0001312C 00013145 _RtlCopyLuid@8
0001314A 00013179 _RtlCopySid@12
0001317E 00013195 _RtlLengthSid@4
0001319A 000131C0 _RtlUnicodeToMultiByteSize@12
000131C5 000131E6 _RtlpCheckHeapSignature@8
000131EB 0001323B _RtlLockHeap@4
00013253 000132A3 _RtlUnlockHeap@4
000132BD 000132ED _RtlIsValidHandle@8
000132F2 0001330F _RtlpGetExtraStuffPointer@4
0001331F 00013353 _RtlFreeHandle@8
00013358 000133A9 __wcsicmp
000133AE 000133DA _RtlIsValidIndexHandle@12
000133DF 00013400 _RtlEncodePointer@4
00013405 0001340D _RtlDecodePointer@4
00013412 00013462 _RtlCreateUnicodeString@8
00013591 000135B1 _RtlQueryInformationActiveActivationContext@16
000135B6 00013600 _RtlEqualString@12
00013698 000136AB _RtlLengthRequiredSid@4
000136B0 000136BB _RtlDllShutdownInProgress@0
000136C0 000136CD _RtlSubAuthorityCountSid@4
0001377F 000137D9 _RtlGetDaclSecurityDescriptor@16
00013842 000138DE _RtlGetUserInfoHeap@20
0001390D 00013931 _RtlFreeThreadActivationContextStack@0
00013936 00013A30 _LdrShutdownThread@0
00013A47 00013A5D _LdrpFreeTls@0
00013A93 00013AB4 _RtlCheckForOrphanedCriticalSections@4
00013B6A 00013BB3 _RtlDetermineDosPathNameType_U@4
00013BB8 00013D2D _RtlIsDosDeviceName_Ustr@4
00013D32 0001401F _RtlGetFullPathName_Ustr@24
0001406B 00014292 _RtlDosPathNameToNtPathName_Ustr@16
000142D5 00014329 _RtlDosPathNameToNtPathName_U@16
0001432E 0001436C _RtlpValidateCurrentDirectory@4
00014389 000143C0 _RtlGetFullPathName_U@16
000143E8 0001446B _RtlPrefixUnicodeString@12
000144E6 00014562 _RtlGetCurrentDirectory_U@8
00014579 0001465C _RtlQueryEnvironmentVariable_U@12
00014671 000146A5 _wcsrchr
000146AA 000147E6 _RtlExpandEnvironmentStrings_U@16
00014962 0001498A _wcschr
000149B9 000149BF _RtlGetLongestNtPathLength@0
000149C4 00014A0D _RtlDetermineDosPathNameType_Ustr@4
00014C35 00014DA3 _RtlConvertSidToUnicodeString@12
00014DA8 00014E88 _RtlIntegerToUnicode@16
00014EB9 00014F15 _RtlCopyUnicodeString@8
00014F1A 00014F8A _RtlAppendUnicodeToString@8
00014F8F 00014FF4 _RtlAppendUnicodeStringToString@8
00014FF9 000150F6 _RtlFormatCurrentUserKeyPath@4
00015121 00015164 _RtlLengthSidAsUnicodeString@8
00015169 000151CE _RtlpFindActivationContextSection_CheckParameters@20
000151D3 00015247 _bsearch
