000010A0 000010A6 _memset
00005F2E 00005F56 ?impStackTop@Compiler@@IAEAAUStackEntry@@I@Z
00005F56 00005F6C ?lvaIsOriginalThisArg@Compiler@@QAEHI@Z
00005F6C 00005FAF ?impIsThis@Compiler@@IAE_NPAUGenTree@@@Z
00006031 00006097 ?lvaInit@Compiler@@QAEXXZ
00006097 00006156 ?lvaInitTypeRef@Compiler@@QAEXXZ
00006330 00006346 ?isVarArg@CORINFO_SIG_INFO@@QAE_NXZ
00006346 000063D7 ?impCanInlineIL@Compiler@@IAE?AVJitInlineResult@@PAUCORINFO_METHOD_STRUCT_@@PAUCORINFO_METHOD_INFO@@@Z
000063D7 00006411 ?eeGetFieldInfo@Compiler@@QAEXIW4CORINFO_ACCESS_FLAGS@@PAUCORINFO_FIELD_INFO@@@Z
00006411 00006444 ?gtNewFieldRef@Compiler@@QAEPAUGenTree@@EPAUCORINFO_FIELD_STRUCT_@@PAU2@_N@Z
0000644C 00006494 ?impSpillSideEffects@Compiler@@IAEX_NI@Z
000064C2 00006583 ?compInitScopeLists@Compiler@@QAEXXZ
00006913 00006951 ?compGetVarsExtendOthers@Compiler@@QAE_NIPA_NPAULocalVarDsc@1@@Z
00006951 00006A57 ?eeGetVars@Compiler@@QAEXXZ
00006A57 00006AB3 ?compInitDebuggingInfo@Compiler@@IAEXXZ
00006AB3 00006B03 ?eeGetStmtOffsets@Compiler@@QAEXXZ
00006B73 00006C53 ?raInit@Compiler@@QAEXXZ
00006F33 00006F77 ?rsSpillInit@Compiler@@QAEXXZ
00006F77 00006F86 ?SpillInitFlatFP@Compiler@@QAEXXZ
00006F86 00006F99 ?rsInit@Compiler@@QAEXXZ
00006F99 00006FD3 ?nraGetTheAllocator@@YGPAUnorls_allocator@@PAUIEEMemoryManager@@@Z
0000700C 00007031 ?tmpInit@Compiler@@QAEXXZ
00007031 00007077 ?genInit@Compiler@@QAEXXZ
00007091 000070C5 ?optInit@Compiler@@QAEXXZ
000070E7 000070FE ?emitBegCG@emitter@@QAEXPAVCompiler@@PAVICorJitInfo@@@Z
000070FE 00007123 ?setPrefReg@LclVarDsc@Compiler@@QAEXIPAV2@@Z
00007157 0000717D ?impSpillLclRefs@Compiler@@IAEXH@Z
0000723C 00007254 ?fgInDifferentRegions@Compiler@@IAE_NPAUBasicBlock@@0@Z
00007275 00007296 ?setBBWeight@BasicBlock@@QAEXI@Z
000072E0 00007316 ?emitNoGChelper@emitter@@SG_NI@Z
0000732F 0000734F ?modifyBBWeight@BasicBlock@@QAEXI@Z
0000734F 0000736B ?genKeepAddressable@Compiler@@IAEIPAUGenTree@@II@Z
000073C0 00007422 ?fgLookupBB@Compiler@@IAEPAUBasicBlock@@I@Z
0000747B 000074B1 ?gtNewOperNode@Compiler@@QAEPAUGenTree@@EEPAU2@@Z
000074B1 000074D7 ?gtNewStmt@Compiler@@QAEPAUGenTree@@PAU2@I@Z
000074D7 00007540 ?gtNewCallNode@Compiler@@QAEPAUGenTree@@EPAUCORINFO_METHOD_STRUCT_@@EPAU2@@Z
00007540 00007575 ?report@JitInlineResult@@QAEXPAVICorJitInfo@@@Z
00007575 000075E5 ?impAppendStmt@Compiler@@IAIXPAUGenTree@@I@Z
000075E5 0000760D ?impAppendTree@Compiler@@IAIPAUGenTree@@PAU2@II@Z
0000761B 0000764D ?gtNewOperNode@Compiler@@QAIPAUGenTree@@EEPAU2@0@Z
0000764D 000076A3 ?verMakeTypeInfo@Compiler@@QAE?AVtypeInfo@@W4CorInfoType@@PAUCORINFO_CLASS_STRUCT_@@@Z
000076DD 000076F7 ?impSpillSpecialSideEff@Compiler@@IAEXXZ
000076F7 0000772C ?gtNewAssignNode@Compiler@@QAIPAUGenTree@@PAU2@0@Z
0000779D 000077D0 ?fgWalkTreePre@Compiler@@QAE?AW4fgWalkResult@1@PAPAUGenTree@@P6G?AW421@0PAX@Z1_N@Z
000077D0 0000788D ?fgWalkTreePreRec@Compiler@@QAE?AW4fgWalkResult@1@PAPAUGenTree@@@Z
0000788D 00007899 ?IsVarAddr@GenTree@@QAE_NXZ
0000793E 0000795C ?impEndTreeList@Compiler@@IAIXPAUBasicBlock@@@Z
0000795C 00007A1A ?gtFoldExpr@Compiler@@QAEPAUGenTree@@PAU2@@Z
00007AA7 00007ABC ?gtNewArgList@Compiler@@QAEPAUGenTree@@PAU2@@Z
00007B01 00007B2A ?gtHasLocalsWithAddrOp@Compiler@@QAE_NPAUGenTree@@@Z
00007B2A 00007B43 ?gtHasLocalsWithAddrOpCB@Compiler@@KG?AW4fgWalkResult@1@PAPAUGenTree@@PAX@Z
00007B58 00007B8B ?impPopStack@Compiler@@IAE?AUStackEntry@@AAPAUCORINFO_CLASS_STRUCT_@@@Z
00007B8B 00007C05 ?verMakeTypeInfo@Compiler@@QAE?AVtypeInfo@@PAUCORINFO_CLASS_STRUCT_@@_N@Z
00007C05 00007C30 ?fgAddrCouldBeNull@Compiler@@IAE_NPAUGenTree@@@Z
00007C30 00007C5A ?impCheckForNullPointer@Compiler@@IAEPAUGenTree@@PAU2@@Z
00007C5A 00007CA4 ?fgRemoveStmt@Compiler@@QAEXPAUBasicBlock@@PAUGenTree@@@Z
00007CA4 00007CBB ?impIsAddressInLocal@Compiler@@KGHPAUGenTree@@PAPAU2@@Z
00007CD1 00007D0F ?emitNewInstrSC@emitter@@IAEPAUinstrDesc@1@W4emitAttr@@H@Z
00007D60 00007DBC ?lvaGrabTemp@Compiler@@QAEI_N@Z
00007DBC 00007DD5 ?addVerifyFlag@Compiler@@QAE?AW4CORINFO_CALLINFO_FLAGS@@W42@@Z
00007DD5 00007E12 ?eeGetCallInfo@Compiler@@QAEXIIW4CORINFO_CALLINFO_FLAGS@@PAUCORINFO_CALL_INFO@@@Z
00007E12 00007F46 ?impMarkInlineCandidate@Compiler@@IAEXPAUGenTree@@PAUCORINFO_METHOD_STRUCT_@@@Z
00007F46 00008032 ?impPopList@Compiler@@IAEPAUGenTree@@IPAIPAUCORINFO_SIG_INFO@@PAU2@@Z
00008032 0000839B ?impImportCall@Compiler@@IAEEW4opcode_t@@HPAUGenTree@@_N22HPAUCORINFO_CALL_INFO@@@Z
00008456 0000848E ?impCheckForPInvokeCall@Compiler@@IAEXPAUGenTree@@PAUCORINFO_METHOD_STRUCT_@@PAUCORINFO_SIG_INFO@@I@Z
00008500 00008522 ?gtNewListNode@Compiler@@QAEPAUGenTree@@PAU2@0@Z
00008522 00008548 ?impTransformThis@Compiler@@IAEPAUGenTree@@PAU2@IW4CORINFO_THIS_TRANSFORM@@@Z
00008577 00008592 ?bbInCatchHandlerBlock@Compiler@@QAE_NPAUBasicBlock@@@Z
00008592 000085AD ?bbInFilterBlock@Compiler@@QAE_NPAUBasicBlock@@@Z
000085B9 000085D4 ?gtNewOperNode@Compiler@@QAEPAUGenTree@@E@Z
00008878 0000887E _memcpy
0000887E 000088B2 ?fgRemoveEmptyBlocks@Compiler@@QAEXXZ
000088B2 0000891E ?fgMorph@Compiler@@QAEXXZ
0000891E 0000898F ?fgInline@Compiler@@QAEXXZ
0000898F 000089AA ?fgUpdateInlineReturnExpressionPlaceHolder@Compiler@@KG?AW4fgWalkResult@1@PAPAUGenTree@@PAX@Z
000089AA 000089DF ?gtOverflowEx@GenTree@@QAE_NXZ
000089DF 00008A19 ?OperMayThrow@GenTree@@QAE_NXZ
00008A50 00008A8D ?gtFoldExprSpecial@Compiler@@QAEPAUGenTree@@PAU2@@Z
00008A8D 00008AAB ?emitInsCanOnlyWriteSSE2Reg@emitter@@AAE_NPAUinstrDesc@1@@Z
00008AAB 00008BBF ?fgAddInternal@Compiler@@QAEXXZ
00008BC4 00008C47 ?fgPromoteStructs@Compiler@@IAEXXZ
00008C47 00008C83 ?fgMarkAddrTakenLocalsCB@Compiler@@KG?AW4fgWalkResult@1@PAPAUGenTree@@PAX@Z
00008C83 00008D02 ?optAssertionReset@Compiler@@QAEXI@Z
00008DFE 00008E15 ?fgIsCommaThrow@Compiler@@IAE_NPAUGenTree@@_N@Z
00008E15 00008E5E ?fgFoldConditional@Compiler@@QAE_NPAUBasicBlock@@@Z
00008E5E 00008E6B ?IsNotAssign@GenTree@@QAEHXZ
00008E76 00008E84 ?fgMarkGCPollBlocks@Compiler@@QAEXXZ
00008E92 00008EB1 ?fgOptWhileLoop@Compiler@@IAEXPAUBasicBlock@@@Z
00008EB1 00008ECE ?fgReorderBlocks@Compiler@@QAEXXZ
00008ECE 00008F17 ?fgReachable@Compiler@@QAE_NPAUBasicBlock@@0@Z
00008F17 00008F32 ?optUnrollLoops@Compiler@@QAEXXZ
00008F32 00008F51 ?optHoistLoopCode@Compiler@@IAEXXZ
00008F51 00008F6C ?ehNeedsShadowSPslots@Compiler@@QAE_NXZ
00008F6C 0000902A ?optAddCopies@Compiler@@QAEXXZ
0000902A 0000905E ?lvaKeepAliveAndReportThis@Compiler@@QAE_NXZ
0000905E 00009098 ?optOptimizeBools@Compiler@@QAEXXZ
000090A3 00009132 ?optCSEinit@Compiler@@IAEXXZ
00009132 0000917F ?optRngChkInit@Compiler@@IAEXXZ
00009380 0000940E ?optAssertionGen@Compiler@@QAEXPAUGenTree@@@Z
0000940E 00009463 ?optAssertionPropMain@Compiler@@QAEXXZ
00009463 000094A0 ?optAssertionInit@Compiler@@QAEX_N@Z
000094A0 000094F3 ?fgMorphTreeDone@Compiler@@IAEXPAUGenTree@@0@Z
000094F3 00009587 ?fgMorphTree@Compiler@@IAEPAUGenTree@@PAU2@@Z
00009587 00009889 ?fgMorphSmpOp@Compiler@@IAEPAUGenTree@@PAU2@@Z
00009889 000098E3 ?lvaMarkLclRefs@Compiler@@IAEXPAUGenTree@@@Z
000098E3 000098FB ?lvaMarkLclRefsCallback@Compiler@@KG?AW4fgWalkResult@1@PAPAUGenTree@@PAX@Z
000098FB 0000992C ?optIsCSEcandidate@Compiler@@IAE_NPAUGenTree@@@Z
0000992C 00009AAA ?optOptimizeCSEs@Compiler@@QAEXXZ
00009AAE 00009B22 ?fgWalkTreePostRec@Compiler@@QAE?AW4fgWalkResult@1@PAUGenTree@@@Z
00009B22 00009B7A ?optPropagateNonCSE@Compiler@@KG?AW4fgWalkResult@1@PAUGenTree@@PAX@Z
00009B7A 00009B9F ?optHasNonCSEChild@Compiler@@KG?AW4fgWalkResult@1@PAPAUGenTree@@PAX@Z
00009BB1 00009E18 ?gtSetEvalOrder@Compiler@@QAEIPAUGenTree@@@Z
00009E1B 00009EC5 ?fgSetTreeSeq@Compiler@@IAEXPAUGenTree@@@Z
00009EE2 00009F06 ?OperIsControlFlow@@YG_NE@Z
00009F06 00009F4E ?fgCheckRemoveStmt@Compiler@@QAE_NPAUBasicBlock@@PAUGenTree@@@Z
00009F4E 0000A04F ?fgMorphStmts@Compiler@@QAEXPAUBasicBlock@@PA_N11@Z
0000A04F 0000A140 ?fgMorphBlocks@Compiler@@QAEXXZ
0000A268 0000A2A8 ?fgSetStmtSeq@Compiler@@IAEXPAUGenTree@@@Z
0000A2A8 0000A2D2 ?fgSetBlockOrder@Compiler@@IAEXPAUBasicBlock@@@Z
0000A2ED 0000A331 ?gtSetStmtInfo@Compiler@@QAEXPAUGenTree@@@Z
0000A331 0000A360 ?fgFindOperOrder@Compiler@@QAEXXZ
0000A50F 0000A536 ?fgCanCompactBlocks@Compiler@@QAE_NPAUBasicBlock@@0@Z
0000A536 0000A5F7 ?fgUpdateFlowGraph@Compiler@@QAEXXZ
0000A5F7 0000A63A ?fgMarkAddressTakenLocals@Compiler@@IAEXXZ
0000A63A 0000A683 ?fgDominate@Compiler@@QAE_NPAUBasicBlock@@0@Z
0000A683 0000A701 ?optSetBlockWeights@Compiler@@IAEXXZ
0000A701 0000A747 ?lvaMarkLocalVars@Compiler@@QAEXPAUBasicBlock@@@Z
0000A747 0000A843 ?lvaMarkLocalVars@Compiler@@QAEXXZ
0000A843 0000A85C ?lvaReportParamTypeArg@Compiler@@QAE_NXZ
0000A85C 0000A90C ?fgSetOptions@Compiler@@QAEXXZ
0000A90C 0000A924 ?fgIsThrowHlpBlk@Compiler@@IAE_NPAUBasicBlock@@@Z
0000A9D6 0000AA00 ?optOptimizeLoops@Compiler@@QAEXXZ
0000AA00 0000AA60 ?fgComputeDoms@Compiler@@QAEXXZ
0000AA60 0000AA81 ?lvaSortOnly@Compiler@@QAEXXZ
0000AA81 0000ABD9 ?lvaSortByRefCount@Compiler@@QAEXXZ
0000ABD9 0000AC3E ?fgRenumberBlocks@Compiler@@QAE_NXZ
0000AD51 0000AF06 ?fgComputeEdgeWeights@Compiler@@QAEXXZ
0000B044 0000B0BE ?fgComputePreds@Compiler@@QAEXXZ
0000B0BE 0000B0FF ?optOptimizeLayout@Compiler@@QAEXXZ
0000B0FF 0000B11D ?fgMarkEndOfEHRegions@Compiler@@QAEXXZ
0000B11D 0000B16C ?fgSetBlockOrder@Compiler@@QAEXXZ
0000B16C 0000B188 ?fgCreateGCPolls@Compiler@@QAEXXZ
0000B188 0000B1FA ?optOptimizeIndexChecks@Compiler@@QAEXXZ
0000B22B 0000B238 ?isBBCallAlwaysPair@BasicBlock@@QAE_NXZ
0000B238 0000B27C ?fgDataFlowInit@Compiler@@QAEXXZ
0000B2C1 0000B321 ?fgMarkIntf@Compiler@@QAEX_K@Z
0000B321 0000B344 ?optLoopCodeMotion@Compiler@@QAEXXZ
0000B344 0000B3BB ?raMarkStkVars@Compiler@@IAEXXZ
0000B3BB 0000B3CB ?lvaTempsHaveLargerOffsetThanVars@Compiler@@QAE_NXZ
0000B3CB 0000B400 ?lvaAllocateTemps@Compiler@@QAEXI@Z
0000B400 0000B454 ?siInit@Compiler@@QAEXXZ
0000B454 0000B46B ?compResetScopeLists@Compiler@@QAEXXZ
0000B46B 0000B4B2 ?gcRegPtrSetInit@Compiler@@QAEXXZ
0000B4B2 0000B4F8 ?gcVarPtrSetInit@Compiler@@QAEXXZ
0000B4F8 0000B515 ?genCountBits@@YGI_K@Z
0000B515 0000B537 ?siIgnoreBlock@Compiler@@KG_NPAUBasicBlock@@@Z
0000B537 0000B565 ?genCodeForEndBlockTransitionFlatFP@Compiler@@QAEXPAUBasicBlock@@@Z
0000B92D 0000BC26 ?rpPredictTreeRegUse@Compiler@@IAEIPAUGenTree@@W4rpPredictReg@@II@Z
0000BC2A 0000BC73 ?genLiveMask@Compiler@@IAEIPAUGenTree@@@Z
0000BC73 0000BCF9 ?genCodeForTree@Compiler@@IAEXPAUGenTree@@II@Z
0000BCF9 0000BD18 ?rpPredictRegMask@Compiler@@IAEIW4rpPredictReg@@@Z
0000BD18 0000BDD7 ?rpPredictRegPick@Compiler@@IAEIEW4rpPredictReg@@I@Z
0000BE27 0000BF30 ?fgGlobalDataFlow@Compiler@@QAEXXZ
0000BF30 0000BF48 ?lvaIsFieldOfDependentlyPromotedStruct@Compiler@@QAE_NPAULclVarDsc@1@@Z
0000BF48 0000C1E3 ?lvaAssignFrameOffsets@Compiler@@QAEX_N@Z
0000C1E3 0000C204 ?lvaFrameSize@Compiler@@QAEIXZ
0000C204 0000C299 ?siUpdate@Compiler@@QAEXXZ
0000C299 0000C312 ?siBeginBlock@Compiler@@QAEXXZ
0000C312 0000C3C0 ?fgPerStatementDataFlow@Compiler@@QAEPAUGenTree@@PAU2@00@Z
0000C453 0000C53E ?fgComputeLife@Compiler@@QAE_K_KPAUGenTree@@10@Z
0000C5D7 0000C65B ?fgPerBlockDataFlow@Compiler@@QAEXXZ
0000C65B 0000C68C ?genEndOfStatement@Compiler@@QAEXXZ
0000C68C 0000CAA2 ?genCodeForBBlist@Compiler@@IAEXXZ
0000CAB2 0000CAE4 ?compGetNextExitScope@Compiler@@QAEPAULocalVarDsc@1@I_N@Z
0000CAE4 0000CB46 ?siEndBlock@Compiler@@QAEXXZ
0000CB4D 0000CB63 ?jitGetILoffs@@YGII@Z
0000CB71 0000CB8E ?Init@FlatFPStateX87@@QAEXPAU1@@Z
0000CB8E 0000CC05 ?genSetupStateFlatFP@Compiler@@QAEXPAUBasicBlock@@@Z
0000CC05 0000CC34 ?FlatFPAllocFPState@Compiler@@QAEPAUFlatFPStateX87@@PAU2@@Z
0000CC34 0000CC4B ?emitCurIGnonEmpty@emitter@@IAE_NXZ
0000CC4B 0000CC7D ?emitAddLabel@emitter@@IAEXPAPAX@Z
0000CC7D 0000CCCE ?emitAddLabel@emitter@@IAEXPAPAX_KII@Z
0000CCCE 0000CD05 ?emitAllocIG@emitter@@IAEPAUinsGroup@1@XZ
0000CD05 0000CD2D ?emitNewIG@emitter@@IAEXXZ
0000CD2D 0000CE2B ?emitBegFN@emitter@@QAEX_NII@Z
0000CE2B 0000CFD9 ?genGenerateCode@Compiler@@QAEXPAPAXPAK@Z
0000CFD9 0000D07B ?genPrepForCompiler@Compiler@@IAEXXZ
0000D07B 0000D181 ?fgLiveVarAnalisys@Compiler@@QAEX_N@Z
0000D181 0000D224 ?raSetupArgMasks@Compiler@@IAEXXZ
0000D224 0000D4D7 ?rpPredictAssignRegVars@Compiler@@IAEII@Z
0000D4D7 0000D7DC ?rpPredictRegUse@Compiler@@IAEXXZ
0000D7E9 0000D808 ?genUpdateLife@Compiler@@IAEX_K@Z
0000D808 0000D834 ?genUpdateLife@Compiler@@IAEXPAUGenTree@@@Z
0000D88B 0000E8AF ?genCodeForTreeSmpOp@Compiler@@IAEXPAUGenTree@@II@Z
0000E9B0 0000E9D6 ?gcMarkRegPtrVal@Compiler@@QAEXIE@Z
0000E9D6 0000EB2A ?emitSavIG@emitter@@IAEPAUinsGroup@1@_N@Z
0000EB2A 0000EB6E ?emitEndEpilog@emitter@@QAEX_N@Z
0000EB6E 0000EBFF ?genExitCode@Compiler@@IAEX_N@Z
0000EBFF 0000EC6E ?genIPmappingAdd@Compiler@@IAEXI_N@Z
0000EC6E 0000ED1A ?emitAllocInstr@emitter@@IAEPAXIW4emitAttr@@@Z
0000ED1A 0000ED8B ?emitBegEpilog@emitter@@QAEXXZ
0000ED8B 0000EE1B ?fgDetermineFirstColdBlock@Compiler@@QAEXXZ
0000EEA8 0000EF21 ?emitGenIG@emitter@@IAEXPAUinsGroup@1@I@Z
0000EF21 0000EF4F ?raGenerateFPRefCounts@Compiler@@QAEXXZ
0000EF4F 0000EFF6 ?raAssignVars@Compiler@@QAEXXZ
0000EFF6 0000F0B5 ?raInitFlatFP@Compiler@@QAEXXZ
0000F0B5 0000F0EF ?raEnregisterVarsFlatFP@Compiler@@QAEXXZ
0000F624 0000F637 ?lvNormalizeOnStore@LclVarDsc@Compiler@@QAE_NXZ
0000F66A 0000F779 ?genCheckUseRepStosd@Compiler@@IAE_NPAI@Z
0000F779 0000F7D6 ?emitBegProlog@emitter@@QAEXXZ
0000F7D6 0000F841 ?genIPmappingAddToFront@Compiler@@IAEXI@Z
0000F841 0000F8AD ?genPushCalleeSavedRegisters@Compiler@@IAEXXZ
0000F8AD 0000F8D1 ?genZeroInitFrame@Compiler@@IAEX_NIIII@Z
0000F8D1 0000F8E8 ?genPrologPadForReJit@Compiler@@IAEXXZ
0000F8E8 0000F8EF ?emitSetProlog@emitter@@QAEIXZ
0000F8EF 0000F925 ?genEnregisterIncomingStackArgs@Compiler@@IAEXXZ
0000F925 0000F951 ?genCodeForPrologFlatFP@Compiler@@QAEXXZ
0000F98B 0000F9C0 ?eeSetLIcount@Compiler@@QAIXI@Z
0000F9C0 0000FA07 ?eeSetLIinfo@Compiler@@QAIXIII_N@Z
0000FA07 0000FA42 ?encodeUnsigned@@YGIPAEI@Z
0000FA42 0000FB2C ?gcCountForHeader@Compiler@@QAEXPAI0@Z
0000FB2C 0000FB4B ?gcPtrTableSave@Compiler@@QAEPAEPAEABUInfoHdr@@IPAI@Z
0000FD80 0000FE17 ?emitOutputInstr@emitter@@IAEIPAUinsGroup@1@PAUinstrDesc@1@PAPAE@Z
0000FE17 0000FE58 ?emitIssue1Instr@emitter@@IAEIPAUinsGroup@1@PAUinstrDesc@1@PAPAE@Z
0000FE58 000100FA ?emitEndCodeGen@emitter@@QAEIPAVCompiler@@_N111IPAI2PAPAX3@Z
000100FA 00010124 ?emitCurCodeOffs@emitter@@IAEIPAE@Z
000101C8 00010202 ?emitCodeOffset@emitter@@QAEIPAXI@Z
00010202 000102C3 ?genIPmappingGen@Compiler@@IAEXXZ
000102C3 000102F3 ?eeSetLIdone@Compiler@@QAEXXZ
0001033A 0001035D ?isHeaderMatch@InfoHdr@@QBE_NABU1@@Z
0001035D 00010506 ?encodeHeaderFirst@@YIEABUInfoHdr@@PAU1@PAH2@Z
00010511 00010547 ?compGetNextEnterScope@Compiler@@QAEPAULocalVarDsc@1@I_N@Z
00010547 000105C5 ?psiBegProlog@Compiler@@QAEXXZ
000105CE 000105E7 ?jitIsStackEmpty@@YG_NI@Z
000106B3 000106E9 ?gcPtrTableSize@Compiler@@QAEIABUInfoHdr@@IPAI@Z
000106E9 000108D6 ?gcMakeRegPtrTable@Compiler@@QAEIPAEHABUInfoHdr@@IPAI@Z
000108D6 000108F0 ?emitHasEpilogEnd@emitter@@QAE_NXZ
000108F0 00010BAA ?gcInfoBlockHdrSave@Compiler@@IAEIPAEHIIIPAUInfoHdr@@PAH@Z
00010BAA 00010BCD ?nraRlsm@norls_allocator@@QAEXAAUnraMarkDsc@@@Z
00010BCD 00010BE7 ?nraFreeTheAllocator@@YGXXZ
00010BE7 00010C12 ?emitRecomputeIGoffsets@emitter@@IAEXXZ
00010C12 00010C64 ?emitEndProlog@emitter@@QAEXXZ
00010C64 00010F4D ?genFnProlog@Compiler@@IAEIXZ
00010F4D 00010F64 ?psiEndProlog@Compiler@@QAEXXZ
00010F64 00010F92 ?emitDefEpilog@emitter@@QAEXPAEI@Z
00010F92 0001102D ?genFnEpilog@Compiler@@IAEXXZ
0001102D 0001106D ?genPopCalleeSavedRegisters@Compiler@@IAEPAEPAE@Z
0001106D 0001109D ?eeSetLVdone@Compiler@@QAEXXZ
0001109D 0001122D ?genSetScopeInfo@Compiler@@IAEXXZ
0001122D 00011262 ?eeSetLVcount@Compiler@@QAIXI@Z
00011262 000113D8 ?emitJumpDistBind@emitter@@IAEXXZ
000113D8 00011409 ?emitGCregDeadUpd@emitter@@QAEXW4emitRegs@@PAE@Z
00011578 000115D7 ?emitSizeOfInsDsc@emitter@@IAEIPAUinstrDesc@1@@Z
0001163C 000116BF ?genMakeAddressable@Compiler@@IAEIPAUGenTree@@IW4KeepReg@1@_N2@Z
000116BF 000116E4 ?emitInsSize@emitter@@QAEII@Z
0001171E 0001173F ?fgMorphConst@Compiler@@IAEPAUGenTree@@PAU2@@Z
000119A0 000119BF ?isFloatRegType@@YG_NH@Z
000119BF 000119E6 ?genMarkLclVar@Compiler@@QAEPAUGenTree@@PAU2@@Z
000119E6 00011A04 ?lvaResetSortAgainFlag@LclVarDsc@Compiler@@QAEXPAV2@@Z
00011A04 00011A74 ?incRefCnts@LclVarDsc@Compiler@@QAEXIPAV2@_N@Z
00011B1F 00011BC3 ?IsSharedStaticHelper@Compiler@@SG_NPAUGenTree@@@Z
00011D82 00011E2E ?fgMorphCall@Compiler@@IAEPAUGenTree@@PAU2@@Z
00011E2E 00011F8B ?fgMorphArgs@Compiler@@IAEPAUGenTree@@PAU2@@Z
00012036 0001205B ?fgMorphLeaf@Compiler@@IAEPAUGenTree@@PAU2@@Z
0001205B 000120BE ?fgMorphLocalVar@Compiler@@IAEPAUGenTree@@PAU2@@Z
000120BE 000120E0 ?genLog2@@YGI_K@Z
00012191 000121B5 ?genDoneAddressable@Compiler@@IAEXPAUGenTree@@IW4KeepReg@1@@Z
000121DB 00012201 ?genRegArgMask@@YGII@Z
