00014F25 00014F90 _smm_16@8
00017332 00017380 ?NonDelegatingQueryInterface@CBasePin@@UAGJABU_GUID@@PAPAX@Z
00017385 0001738F ?AddRef@CVPMFilter@@W3AGKXZ
00017394 00017534 ?NonDelegatingQueryInterface@CFilterGraph@@UAGJABU_GUID@@PAPAX@Z
00017539 00017553 ?QueryInterface@CFilterGraph@@UAGJABU_GUID@@PAPAX@Z
00017558 0001756C ??1CBaseObject@@QAE@XZ
00017571 000175A6 ?NonDelegatingQueryInterface@CUnknown@@UAGJABU_GUID@@PAPAX@Z
000175AB 000175DB ??0CUnknown@@QAE@PBGPAUIUnknown@@@Z
000175E0 000175F6 ??0CBaseObject@@QAE@PBG@Z
000175FB 0001763C ?ClearEvents@CEventStore@CImplMediaEvent@@QAEXJ@Z
00017641 00017672 ?ClearSegments@CImplMediaSeeking@CFGControl@@QAEXXZ
00017677 00017693 ??0CBaseList@@QAE@PAG@Z
000177C2 00017807 ?WndProc@@YGJPAUHWND__@@IIJ@Z
0001781C 00017832 ?SetType@CMediaType@@QAEXPBU_GUID@@@Z
00017837 000178C6 ?OnReceiveMessage@CGraphWindow@CFGControl@@UAEJPAUHWND__@@IIJ@Z
000178ED 00017977 ?OnReceiveMessage@CBaseWindow@@UAEJPAUHWND__@@IIJ@Z
0001797C 000179D5 ?AddHeadI@CBaseList@@IAEPAU__POSITION@@PAX@Z
000179DA 00017A0F ?Request@CAsyncRequest@@QAEJPAXPAVCCritSec@@_JJPAE0K@Z
00017A14 00017A8A ?Complete@CAsyncRequest@@QAEJPAXPAVCCritSec@@@Z
00017A8F 00017AB2 ?Length@CAsyncFile@@QAEJPA_J@Z
00017AB7 00017AE3 ?AlignUp@CImplReader_1@@AAEKK@Z
00017AE3 00017B0C __aulldiv
00017B11 00017B5A ?ConvertFromTick@CAviMSROutPin@@QAE_J_JW4TimeFormat@@@Z
00017B5F 00017CFE ?llMulDiv@@YG_J_J000@Z
00017CFE 00017D1B __allmul
00017D20 00017D33 ?GetI@CBaseList@@IBEPAXPAU__POSITION@@@Z
00017D38 00017D4F ?Next@CBaseList@@QBEPAU__POSITION@@PAU2@@Z
00017D74 00017D8D ?Wait@CAMEvent@@QAEHK@Z
00017D8D 00017DD5 __alldiv
00017DDA 00017DF0 ?ConvertInternalToRT@CAviMSROutPin@@UAE_J_J@Z
00017E4D 00017E55 ?AddRef@CVMRMediaSample@@UAGKXZ
00017E5A 00017E70 ?AddRef@CMediaSample@@UAGKXZ
00017E75 00017EC6 ?AdvancePointerForward@CImplStdAviIndex@@UAEJPAUIxReadReq@@@Z
00017ECB 00017F02 ?GetTicksInEntry@CImplStdAviIndex@@IAEKK@Z
00017F07 00017FA5 ?GetEntry@CImplStdAviIndex@@UAEJPAUIndexEntry@@@Z
00017FAA 00017FC3 ?GetKey@CImplStdAviIndex@@AAEHAAU_avistdindex_entry@@@Z
00018089 000180A6 ??$RELEASE@UIVMRSurfaceAllocatorNotify9@VMR9@@@VMR9@@YGXAAPAUIVMRSurfaceAllocatorNotify9@0@@Z
000180AB 000180B5 ?Release@CWAVEParse@@G3AGKXZ
000180BA 000180BD ?SizeMax@CPersistStream@@UAEHXZ
000180C2 00018113 ?NonDelegatingQueryInterface@CTransformOutputPin@@UAGJABU_GUID@@PAPAX@Z
00018118 0001813C ?NotifyEvent@CIVMRSurfaceAllocatorNotify@CVMRFilter@@UAGJJJJ@Z
00018141 00018185 ?PaintBorder@CAllocatorPresenter@@AAEJXZ
0001818A 000181DE ?PaintMonitorBorder@CAllocatorPresenter@@AAEJXZ
000181E3 00018217 ?GetUpdateOverlayFlags@CAllocatorPresenter@@AAEKKK@Z
0001821C 0001826C ?GetbmiHeader@@YGPAUtagBITMAPINFOHEADER@@PBU_AMMediaType@@@Z
00018271 000182D7 ?GetImageAspectRatio@@YGJPBU_AMMediaType@@PAJ1@Z
000182DC 00018339 ?GetInterlaceFlagsFromMediaType@@YGJPBU_AMMediaType@@PAK@Z
00018366 0001839F ?NeedToFlipOddEven@@YGHKKPAKH@Z
000183C3 000183D9 ?IsSingleFieldPerSample@VMR9@@YGHK@Z
000183DE 0001843C ?GetNativeVideoSize@CAllocatorPresenter@@UAGJPAJ000@Z
00018441 00018494 ?RealFreeEventParams@CImplMediaEvent@@SGJJJJ@Z
00018499 000184E0 ?GetCurrentPosition@CImplMediaSeeking@CFGControl@@UAGJPA_J@Z
000184E5 000185BB ?GetCurrentMediaTime@CImplMediaSeeking@CFGControl@@QAEJPA_J@Z
000185C0 000185C6 __ftol
000185E9 000185F3 ?AddRef@CURLCallback@@WBE@AGKXZ
000185F8 0001860F ?SetSubtype@CMediaType@@QAEXPBU_GUID@@@Z
00018655 00018672 ??0CAutoLock@CStats@@QAE@PAU_RTL_CRITICAL_SECTION@@@Z
00018677 00018701 ?NewValue@CStats@@QAE_NJN@Z
0001870D 0001879F ?Deliver@CEventStore@CImplMediaEvent@@QAEJJJJ@Z
000187A4 000187C5 ??_ECColourAllocator@@UAEPAXI@Z
000187CA 000187FD ?GetRate@CPosPassThru@@UAGJPAN@Z
00018802 0001881E ?GetRate@CImplSelect@CBaseMSROutPin@@UAGJPAN@Z
00019275 000192F5 ?ImageSyncInit@CVMRFilter@VMR9@@AAEJXZ
0001930D 000193E9 ?MixerInit@CVMRFilter@VMR9@@AAEJK@Z
00019449 0001952D ?CreateDefaultAllocatorPresenter@CVMRFilter@VMR9@@AAEJXZ
00019638 0001966B __chkstk
00019670 0001967A ??0CStats@@QAE@XZ
0001967F 00019699 _StreamPSDllMain@12
0001969E 00019709 __CRT_INIT@12
0001970E 00019753 ?InitClass@CFilterGraph@@SGXHPBU_GUID@@@Z
00019758 00019776 ?MapperInit@CFilterMapper2@@SGXHPBU_GUID@@@Z
0001977B 000197B2 ?CAMDynLinkLoad@@YGXH@Z
000197B7 000197FD ?OnProcessAttachment@@YGXHPBU_GUID@@@Z
00019802 00019820 ?InitClass@CMpegVideoCodec@@SGXHPBU_GUID@@@Z
00019825 0001986E ?InitClass@CMpegAudioCodec@@SGXHPBU_GUID@@@Z
00019881 000198BD ?InitClass@CDSoundDevice@@SGXHPBU_GUID@@@Z
000198C2 00019927 __DllMainCRTStartup@12
0001992C 00019A0C _DllMain@12
00019A73 00019A89 _DllEntryPoint@12
00019A89 00019AEA __DllEntryPoint@12
00019AEF 00019B27 ?DllInitClasses@@YGXH@Z
00019B2C 00019B5F ?GetListElem@COffsetList@@QAEPAVCOffsetListElem@@J@Z
00019B64 00019B69 ?InitCompositionTarget@CIIVMRImageCompositor@CVideoMixer@@UAGJPAUIUnknown@@PAUIDirectDrawSurface7@@@Z
00019B6E 00019BA4 ?SetNotifyWindow@CImplMediaEvent@@UAGJJJJ@Z
00019BA9 00019BE7 ?SetNotifyWindow@CEventStore@CImplMediaEvent@@QAEXPAUHWND__@@IJ@Z
00019BEC 00019DB4 ?ProcessAttach@CResourceManager@@SGXH@Z
00019DD7 00019DF5 ??0CAutoMutex@@QAE@PAVCAMMutex@@@Z
00019DFA 00019E26 ?ConnectedTo@CBasePin@@UAGJPAPAUIPin@@@Z
00019E2B 00019E40 ?AddRef@CModexRenderer@@UAGKXZ
00019E45 00019E5A ?Release@CRenderer@@UAGKXZ
00019E5F 00019E6B ?GetPinCount@CAsyncReader@@UAEHXZ
00019E70 00019EA2 ?GetPin@CAsyncReader@@UAEPAVCBasePin@@H@Z
00019EA7 00019EBC ?Passive@CReconnectList@@QAEXXZ
00019EC1 00019EDA ?FindI@CBaseList@@IBEPAU__POSITION@@PAX@Z
00019EDF 00019F02 ?FreeMediaType@@YGXAAU_AMMediaType@@@Z
00019F07 00019F1E ??4CMediaType@@QAEAAV0@ABV0@@Z
00019F23 00019F3A ??4CMediaType@@QAEAAV0@ABU_AMMediaType@@@Z
00019F3F 00019F6A ?Set@CMediaType@@QAEJABU_AMMediaType@@@Z
00019F6F 00019FCC ?CopyMediaType@@YGJPAU_AMMediaType@@PBU1@@Z
00019FD1 0001A007 ?AttemptDeferredConnections@CFilterGraph@@AAEJXZ
0001A00C 0001A017 ?NonDelegatingAddRef@COutputPin@CMpeg1Splitter@@UAGKXZ
0001A01C 0001A027 ?NonDelegatingRelease@COutputPin@CMpeg1Splitter@@UAGKXZ
0001A02C 0001A031 ?GetPinCount@CBaseMSRFilter@@UAEHXZ
0001A036 0001A05A ?NonDelegatingQueryInterface@CAviMSROutPin@@UAGJABU_GUID@@PAPAX@Z
0001A05A 0001A0A2 ?NonDelegatingQueryInterface@CBaseMSROutPin@@UAGJABU_GUID@@PAPAX@Z
0001A0B2 0001A0D3 ?GetPin@CBaseMSRFilter@@UAEPAVCBasePin@@H@Z
0001A10C 0001A135 ?InitialThreadProc@CAMThread@@SGKPAX@Z
0001A13A 0001A161 ?ThreadProc@CImplReader_1Worker@@UAEKXZ
0001A166 0001A17A ?GetRequest@CAMThread@@QAEKXZ
0001A17F 0001A1BC ?GetState@CVMRFilter@VMR9@@UAGJKPAW4_FilterState@@@Z
0001A1C1 0001A1E5 ?NumInputPinsConnected@CVMRFilter@@QBEHXZ
0001A1EA 0001A21D ?CoInitializeHelper@CAMThread@@SGJXZ
0001A222 0001A26A ?Create@CAMThread@@QAEHXZ
0001A26F 0001A27B ?GetStreamStart@CAviMSROutPin@@EAE_JXZ
0001A280 0001A28C ?GetStreamLength@CAviMSROutPin@@EAE_JXZ
0001A291 0001A2ED ??0CVMRMediaSample@@QAE@PAGPAVCBaseAllocator@@PAJPAEJPAX@Z
0001A2F2 0001A329 ??0CMediaSample@@QAE@PAGPAVCBaseAllocator@@PAJPAEJ@Z
0001A391 0001A396 ?DisplayModeChanged@CAllocatorPresenter@@UAGJXZ
0001A3AD 0001A3DE ?NonDelegatingQueryInterface@CEnumFilters@@UAGJABU_GUID@@PAPAX@Z
0001A3E3 0001A3FD ?QueryInterface@CEnumFilters@@UAGJABU_GUID@@PAPAX@Z
0001A402 0001A426 ?NonDelegatingQueryInterface@CAsyncReader@@UAGJABU_GUID@@PAPAX@Z
0001A426 0001A493 ?NonDelegatingQueryInterface@CBaseFilter@@UAGJABU_GUID@@PAPAX@Z
0001A498 0001A56C ?Next@CEnumFilters@@UAGJKPAPAUIBaseFilter@@PAK@Z
0001A571 0001A576 ??_ECEnumFilters@@W3AEPAXI@Z
0001A57B 0001A59C ??_GCEnumFilters@@UAEPAXI@Z
0001A5A1 0001A5DB ??1CEnumFilters@@UAE@XZ
0001A5E0 0001A64C ?EnumFilters@CFilterGraph@@UAGJPAPAUIEnumFilters@@@Z
0001A651 0001A6C1 ??0CEnumFilters@@QAE@PAVCFilterGraph@@@Z
0001A6C6 0001A6FF ?NonDelegatingQueryInterface@CAviMSRFilter@@UAGJABU_GUID@@PAPAX@Z
0001A712 0001A716 ?GetPinVersion@CBaseFilter@@UAEJXZ
0001A71B 0001A74A ?Release@CEnumPins@@UAGKXZ
0001A74F 0001A768 ?AreWeOutOfSync@CEnumPins@@AAEHXZ
0001A76D 0001A78B ?QueryDirection@CBasePin@@UAGJPAW4_PinDirection@@@Z
0001A790 0001A799 ??1CMediaType@@QAE@XZ
0001A79E 0001A7D7 ??0CEnumPin@@QAE@PAUIBaseFilter@@W4DirType@0@H@Z
0001A7DC 0001A7EC ??1CEnumSomePins@@QAE@XZ
0001A803 0001A80D ?Release@CImplMediaEvent@@WBE@AGKXZ
0001A812 0001A81C ?AddRef@CModexRenderer@@WBE@AGKXZ
0001A821 0001A82B ?Release@CAsyncOutputPin@@WBE@AGKXZ
0001A830 0001A855 ?RemoveAll@CBaseList@@QAEXXZ
0001A85A 0001A87B ??_ECEnumPins@@UAEPAXI@Z
0001A880 0001A8A0 ??1CEnumPins@@UAE@XZ
0001A8A0 0001A8B3 ??1CBaseList@@QAE@XZ
0001A8B3 0001A8CD ??1CNodeCache@CBaseList@@QAE@XZ
0001A8D2 0001A95F ??RCEnumPin@@QAEPAUIPin@@XZ
0001A964 0001AA2E ?Next@CEnumPins@@UAGJKPAPAUIPin@@PAK@Z
0001AA33 0001AA79 ?EnumPins@CBaseFilter@@UAGJPAPAUIEnumPins@@@Z
0001AA7E 0001AAE3 ??0CEnumPins@@QAE@PAVCBaseFilter@@PAV0@@Z
0001AAE8 0001AB7E ?JoinFilterGraph@CBaseFilter@@UAGJPAUIFilterGraph@@PBG@Z
0001AB8D 0001ABAE ??_G?$CGenericList@UIBaseFilter@@@@QAEPAXI@Z
0001ABB3 0001ABB8 ??_ECFilterMapper2@@WM@AEPAXI@Z
0001ABBD 0001ABDE ??_GCFilterMapper2@@UAEPAXI@Z
0001ABE3 0001AC53 ??1CFilterMapper2@@UAE@XZ
0001AC58 0001AC7E ?Del@CMapperCache@@CGXPAV?$CGenericList@VCMapFilter@CMapperCache@@@@@Z
0001ACA9 0001ACEE ?RemoveOutputPins@CBaseMSRFilter@@EAEJXZ
0001AD5D 0001AF3A ?NonDelegatingQueryInterface@CVMRFilter@@UAGJABU_GUID@@PAPAX@Z
0001AF71 0001AF8F ?GetState@CBaseFilter@@UAGJKPAW4_FilterState@@@Z
0001AF94 0001AFAF ?NonDelegatingRelease@CVMRInputPin@@UAGKXZ
0001AFB4 0001AFC7 ?GetPin@CVMRFilter@VMR9@@UAEPAVCBasePin@@H@Z
0001AFCC 0001AFD3 ?GetPinCount@CVMRFilter@@UAEHXZ
0001AFD8 0001B09B ?Notify@CImplMediaEvent@@UAGJJJJ@Z
0001B0A0 0001B0EA ?DontForwardEvent@CImplMediaEvent@@QAE_NJ@Z
0001B0EF 0001B129 ??AIntSmallSet@@QBEHH@Z
0001B12E 0001B172 ?Decommit@CBaseAllocator@@UAGJXZ
0001B177 0001B18F ?NonDelegatingRelease@CColourAllocator@@UAGKXZ
0001B194 0001B1AF ?NonDelegatingAddRef@CVMRInputPin@@UAGKXZ
0001B1B4 0001B1B8 ?GetPinCount@CTransformFilter@@UAEHXZ
0001B1BD 0001B1FB ?GetPin@CAVIDec@@UAEPAVCBasePin@@H@Z
0001B200 0001B239 ?GetPin@CColour@@UAEPAVCBasePin@@H@Z
0001B23E 0001B2D6 ?IsYUVType@CAVIDec@@AAEHPBU_AMMediaType@@@Z
0001B2DB 0001B2F3 ?NonDelegatingAddRef@CColourAllocator@@UAGKXZ
0001B2F8 0001B310 ?NonDelegatingAddRef@CVMRPinAllocator@@UAGKXZ
0001B32E 0001B37C ?ShouldUseExFuncs@CAVIDec@@AAEHPAUHIC__@@PBUtagVIDEOINFOHEADER@@1@Z
0001B381 0001B3E7 ?ShouldUseExFuncsByDriver@CAVIDec@@AAE_NPAUHIC__@@PBUtagBITMAPINFOHEADER@@1@Z
0001B455 0001B48F ?GetByFilter@CFilGenList@CFilterGraph@@QAEPAVFilGen@2@PAUIUnknown@@@Z
0001B494 0001B4AB ?DeleteConvertorObject@CColour@@QAEJXZ
0001B4B0 0001B504 ?SetReferenceClock@CImageSync@@UAGJPAUIReferenceClock@@@Z
0001B509 0001B553 ?SetSyncSource@CVMRFilter@@UAGJPAUIReferenceClock@@@Z
0001B558 0001B597 ?SetSyncSource@CBaseFilter@@UAGJPAUIReferenceClock@@@Z
0001B59C 0001B5C8 ?BreakConnect@CBaseOutputPin@@UAEJXZ
0001B5CD 0001B5FD ?BreakConnect@CBaseInputPin@@UAEJXZ
0001B602 0001B623 ?ReallyFree@CMemAllocator@@IAEXXZ
0001B628 0001B635 ?Release@CVMRInputPin@VMR9@@WIM@AGKXZ
0001B63A 0001B663 ??1CMemAllocator@@UAE@XZ
0001B663 0001B693 ??1CBaseAllocator@@UAE@XZ
0001B698 0001B6B6 ?BreakConnect@CBaseMSROutPin@@UAEJXZ
0001B6BB 0001B704 ?BreakConnect@CColour@@UAEJW4_PinDirection@@@Z
0001B709 0001B748 ?DeleteSurfaces@CVMRInputPin@@AAEXH@Z
0001B74D 0001B767 ?BreakConnect@CTransformOutputPin@@UAEJXZ
0001B76C 0001B811 ?BreakConnect@CVMRInputPin@@UAEJXZ
0001B816 0001B84E ?BreakConnect@CVMRFilter@@QAEJK@Z
0001B85C 0001B8BA ?RemoveAllConnections2@CFilterGraph@@QAEJPAUIBaseFilter@@@Z
0001B8BF 0001B900 ?RemovePointer@CFilterGraph@@AAEPAVFilGen@1@AAVCFilGenList@1@PAUIBaseFilter@@@Z
0001B905 0001B917 ?BreakConnect@CAVIDec@@UAEJW4_PinDirection@@@Z
0001B91C 0001B940 ?InitTypeList@CColour@@AAEXXZ
0001B945 0001B96C ?JoinFilterGraph@CVMRFilter@@UAGJPAUIFilterGraph@@PBG@Z
0001B971 0001B98B ?BreakConnect@CTransformInputPin@@UAEJXZ
0001B990 0001BA67 ?RemoveFilterInternal@CFilterGraph@@AAEJPAUIBaseFilter@@K@Z
0001BA6C 0001BA8D ??_GFilGen@CFilterGraph@@QAEPAXI@Z
0001BA92 0001BAAE ??1FilGen@CFilterGraph@@QAE@XZ
0001BAB3 0001BAD4 ??_GCVMRDeinterlaceContainer@@QAEPAXI@Z
0001BAD9 0001BAEF ?Term@CVMRDeinterlaceContainer@@AAEXXZ
0001BAF4 0001BB4A ?NonDelegatingQueryInterface@CSeekingPassThru@@UAGJABU_GUID@@PAPAX@Z
0001BB4F 0001BB65 ?Prev@CBaseList@@QBEPAU__POSITION@@PAU2@@Z
0001BB78 0001BBB5 ?NonDelegatingQueryInterface@CPosPassThru@@UAGJABU_GUID@@PAPAX@Z
0001BBBA 0001BBF9 ?GetImageSequenceState@CImageSync@@UAGJKPAK@Z
0001BC1D 0001BC39 __aullshr
0001BC3E 0001BC61 ?MapGuidToFormat@CBaseMSRFilter@@SG?AW4TimeFormat@@QBU_GUID@@@Z
0001BC66 0001BC82 ?GetTimeFormatW@CBaseMSROutPin@@UAEJPAU_GUID@@@Z
0001BC87 0001BCC2 ?NonDelegatingQueryInterface@CImplSelect@CBaseMSROutPin@@UAGJABU_GUID@@PAPAX@Z
0001BCC7 0001BD0A ?IsUsingTimeFormat@CImplSelect@CBaseMSROutPin@@UAGJPBU_GUID@@@Z
0001BD0F 0001BDBA ?GetState@CFilterGraph@@UAGJKPAW4_FilterState@@@Z
0001BDBF 0001BDF2 ?IsUsingTimeFormat@CPosPassThru@@UAGJPBU_GUID@@@Z
0001BDF7 0001BE4A ?GetPeerSeeking@CPosPassThru@@AAEJPAPAUIMediaSeeking@@@Z
0001BE4F 0001BE6E ??YIntSmallSet@@QAEXH@Z
0001BE6E 0001BE8A __allshl
0001BE8F 0001BEB2 ?GetListSeeking@CFGControl@@QAEJPAPAV?$CGenericList@UIMediaSeeking@@@@@Z
0001BEB7 0001BF03 ?UpdateLists@CFGControl@@QAEJXZ
0001BF29 0001BF41 ?NonDelegatingRelease@CVMRPinAllocator@VMR9@@UAGKXZ
0001BF46 0001BF62 ?IsEqualObject@@YGHPAUIUnknown@@0@Z
0001BF67 0001BFCF ?EmptyLists@CFGControl@@IAEXXZ
0001BFD4 0001C003 ?SetFirstVW@CFGControl@@QAEXPAUIVideoWindow@@@Z
0001C02E 0001C06A ?Disconnect@CBasePin@@UAGJXZ
0001C06F 0001C0A2 ?DisconnectInternal@CBasePin@@IAGJXZ
0001C0B9 0001C0EB ?Disconnect@CVMRInputPin@@UAGJXZ
0001C109 0001C184 ?FreeSurface@CAllocatorPresenter@@UAGJK@Z
0001C189 0001C1D2 ?RecordStartAndStop@CAviMSROutPin@@UAEJPA_J0PANQBU_GUID@@@Z
0001C1D7 0001C221 ?SeekOtherStreams@CBaseMSRFilter@@QAEJKPA_J0NK@Z
0001C22B 0001C26B ?RequestSeekingIf@CBaseMSRFilter@@QAEHK@Z
0001C2F5 0001C3B0 ?UpdateSelectionAndTellWorker@CBaseMSROutPin@@QAEJPA_J0PANNQBU_GUID@@K@Z
0001C3B5 0001C423 ?GetState@CImplMediaControl@CFGControl@@UAGJJPAJ@Z
0001C428 0001C44C ?GetLieState@CFGControl@@QAE?AW4_FilterState@@XZ
0001C461 0001C46B ?Release@CFilterGraph@@WBM@AGKXZ
0001C470 0001C4AE ??1CVFWDynLink@@QAE@XZ
0001C4B3 0001C4D4 ??_GCFileRendInPin@@UAEPAXI@Z
0001C4D9 0001C4F8 ??1CBaseInputPin@@UAE@XZ
0001C4F8 0001C517 ??1CBasePin@@UAE@XZ
0001C51C 0001C53D ??_ECAVIDec@@UAEPAXI@Z
0001C542 0001C58A ??1CAVIDec@@UAE@XZ
0001C58A 0001C5A3 ??1CVideoTransformFilter@@UAE@XZ
0001C5A3 0001C5E6 ??1CTransformFilter@@UAE@XZ
0001C5E6 0001C608 ??1CBaseFilter@@UAE@XZ
0001C60D 0001C642 ??_ECDecOutputPin@@UAEPAXI@Z
0001C647 0001C678 ??1CTransformOutputPin@@UAE@XZ
0001C6E4 0001C875 ?SetDDrawDeviceWorker@CVMRFilter@@AAEJPAUIDirectDraw7@@PAUHMONITOR__@@@Z
0001C87A 0001C8D7 ?AdviseNotify@CAllocatorPresenter@@UAGJPAUIVMRSurfaceAllocatorNotify@@@Z
0001C8DC 0001C8F7 ??1CBaseWindow@@QAE@XZ
0001C8FC 0001C912 ?Release@CIVMRSurfaceAllocatorNotify@CVMRFilter@@UAGKXZ
0001C917 0001C921 ?Release@CImageSync@@W7AGKXZ
0001C926 0001C984 ?SetImagePresenter@CImageSync@@UAGJPAUIVMRImagePresenter@@K@Z
0001C989 0001C9E1 ?SetEventNotify@CImageSync@@UAGJPAUIImageSyncNotifyEvent@@@Z
0001C9E6 0001C9F3 ?InactivateWindow@CBaseWindow@@UAEJXZ
0001C9F8 0001CA38 ?UninitialiseWindow@CBaseWindow@@UAEJXZ
0001CA3D 0001CABC ?DoneWithWindow@CBaseWindow@@UAEJXZ
0001CAC1 0001CAE2 ??_ECAllocatorPresenter@@UAEPAXI@Z
0001CAE7 0001CB3A ??1CAllocatorPresenter@@UAE@XZ
0001CB3F 0001CB67 ?TerminateDisplaySystem@CMonitorArray@@QAEXXZ
0001CB6C 0001CB9B ?TermDDrawMonitorInfo@@YGXPAUCAMDDrawMonitorInfo@@@Z
0001CBA0 0001CBC7 ??1CMediaPosition@@UAE@XZ
0001CBCC 0001CBD7 ??1CBaseDispatch@@QAE@XZ
0001CBDC 0001CC27 ?CallWorker@CAMThread@@QAEKK@Z
0001CC2C 0001CC57 ?Accumulate@CumulativeHRESULT@@QAIXJ@Z
0001CCC3 0001CCDE ?Active@CVMRFilter@@QAEJK@Z
0001CCE3 0001CD15 ?StopStreaming@CImageSync@VMR9@@AAEJXZ
0001CD1A 0001CD3C ?SourceThreadCanWait@CImageSync@VMR9@@AAEJH@Z
0001CD41 0001CD56 ?ResetEndOfStreamTimer@CBaseRenderer@@QAEXXZ
0001CD5B 0001CDE2 ?Pause@CBaseMSRFilter@@UAGJXZ
0001CDE7 0001CE73 ?DoRunLoop@CBaseMSRWorker@@IAEXXZ
0001CE78 0001CE95 ?Cue@CFGControl@@QAEJXZ
0001CE9A 0001CFBE ?Pause@CFilterGraph@@UAGJXZ
0001CFC3 0001CFF1 ?EndRun@CCmdQueue@@UAEJXZ
0001CFF6 0001D041 ?SetTimeAdvise@CCmdQueue@@IAEXXZ
0001D046 0001D05C ?CancelStep@CFilterGraph@@UAGJXZ
0001D061 0001D09D ?CancelStepInternal@CFilterGraph@@QAEJW4FRAME_SKIP_NOTIFY@@@Z
0001D0A2 0001D0BE ?SetRequestedApplicationState@CFGControl@@QAEXW4_FilterState@@@Z
0001D0C3 0001D0D4 ?CancelAction@CFGControl@@QAEXXZ
0001D0D9 0001D0F7 ?Pause@CAVIDec@@UAGJXZ
0001D0FC 0001D197 ?Pause@CTransformFilter@@UAGJXZ
0001D19C 0001D209 ?Pause@CBaseFilter@@UAGJXZ
0001D20E 0001D2AC ?Pause@CVMRFilter@@UAGJXZ
0001D2B1 0001D2E7 ?AutoShowWindow@CVMRFilter@@AAEXXZ
0001D2EC 0001D36A ?CueImageSequence@CImageSync@VMR9@@UAGJXZ
0001D36F 0001D3A0 ?CompleteStateChange@CImageSync@@AAEJK@Z
0001D3A5 0001D3CC ?ThreadProc@CBaseMSRWorker@@UAEKXZ
0001D3D1 0001D3F6 ?Reply@CAMThread@@QAEXK@Z
0001D3FB 0001D45F ?WaitForSample@CImplReader_1@@UAEJI@Z
0001D464 0001D49C ?get_c_i_and_c@CStreamInfo@CImplReader_1@@QAEKXZ
0001D4A1 0001D4EF ?Pause@CFGControl@@QAEJXZ
0001D51D 0001D54D ?DeliverNewSegment@CBaseOutputPin@@UAEJ_J0N@Z
0001D55B 0001D5B8 ?Commit@CBaseAllocator@@UAGJXZ
0001D5E8 0001D626 ?Create@CAVIWorker@@QAEHPAVCAVIStream@@@Z
0001D62B 0001D650 ?CheckNegBiHeight@CAVIDec@@AAEXXZ
0001D655 0001D687 ?StartStreaming@CColour@@UAEJXZ
0001D68C 0001D70A ?Active@CVMRInputPin@@UAEJXZ
0001D76F 0001D785 ?OnActive@CAviMSROutPin@@UAEJXZ
0001D78A 0001D874 ?PushLoopInit@CAviMSRWorker@@UAEJPA_JPAUImsValues@@@Z
0001D8AA 0001D8B1 ?Reset@CImplStdAviIndex@@UAEJXZ
0001D8B6 0001D95A ?SetPointer@CImplStdAviIndex@@UAEJ_J@Z
0001D95F 0001D996 ?AdvancePointerBackwardKeyFrame@CImplStdAviIndex@@UAEJXZ
0001D99B 0001D9D0 ?NewSegment@CTransformFilter@@UAEJ_J0N@Z
0001DA36 0001DB85 ?SetNewSelection@CBaseMSRWorker@@UAEJXZ
0001DB8A 0001DBD6 ?NewSegmentHelper@CBaseMSRWorker@@IAEJXZ
