00004B65 00004B6A ??4_Lockit@std@@QAEAAV01@ABV01@@Z
000051BD 000051C6 ?AllPropertiesAreRequired@CFrameworkQuery@@QAE_NXZ
000051CB 000051CF ?KeysOnly@CFrameworkQuery@@QAE_NXZ
000051D4 000051DA ?GetLocalComputerName@Provider@@IAEABVCHString@@XZ
000051DF 000051E3 ?GetNamespace@Provider@@IAEABVCHString@@XZ
000051E8 000051EC ?GetProviderName@Provider@@IAEABVCHString@@XZ
000051F1 00005258 ??0Provider@@QAE@ABV0@@Z
0000525D 0000529B ??4Provider@@QAEAAV0@ABV0@@Z
000052A0 000052EE ??_EProvider@@UAEPAXI@Z
000052F3 000052FB ?CancelAsyncRequest@CWbemProviderGlue@@UAGJJ@Z
00005300 00005308 ?DeleteClassAsync@CWbemProviderGlue@@UAGJQAGJPAUIWbemContext@@PAUIWbemObjectSink@@@Z
0000530D 00005315 ?OpenNamespace@CWbemProviderGlue@@UAGJQAGJPAUIWbemContext@@PAPAUIWbemServices@@PAPAUIWbemCallResult@@@Z
0000531A 00005322 ?QueryObjectSink@CWbemProviderGlue@@UAGJJPAPAUIWbemObjectSink@@@Z
00005327 0000532F ?ExecMethod@CWbemProviderGlue@@UAGJQAG0JPAUIWbemContext@@PAUIWbemClassObject@@PAPAU3@PAPAUIWbemCallResult@@@Z
00005334 0000533A ?GetOSMajorVersion@CWbemProviderGlue@@SGKXZ
0000533F 00005345 ?GetPlatform@CWbemProviderGlue@@SGKXZ
0000534A 00005350 ?GetCSDVersion@CWbemProviderGlue@@SGPBGXZ
00005355 00005361 ?LockProviderMap@CWbemProviderGlue@@CGXXZ
00005366 00005372 ?UnlockProviderMap@CWbemProviderGlue@@CGXXZ
00005377 00005383 ?LockFactoryMap@CWbemProviderGlue@@CGXXZ
00005388 00005394 ?UnlockFactoryMap@CWbemProviderGlue@@CGXXZ
00005399 000053BF ??0CInstance@@QAE@ABV0@@Z
000053C4 000053E4 ??4CInstance@@QAEAAV0@ABV0@@Z
000053E9 00005437 ??_ECInstance@@UAEPAXI@Z
0000543C 00005451 ?GetQueryClassName@CFrameworkQuery@@QAEPAGXZ
00005456 00005470 ??0CWbemGlueFactory@@QAE@ABV0@@Z
00005475 00005489 ??4CWbemGlueFactory@@QAEAAV0@ABV0@@Z
0000548E 000054B2 ??0_bstr_t@@QAE@ABV0@@Z
000054B7 000054D8 ??_GData_t@_bstr_t@@AAEPAXI@Z
000054DD 00005537 ??0CWbemProviderGlue@@QAE@ABV0@@Z
00005569 0000559B ??4CWbemProviderGlue@@QAEAAV0@ABV0@@Z
000055A0 000055CA ?Release@Data_t@_bstr_t@@QAEKXZ
000055CF 000055E4 ?_Free@_bstr_t@@AAEXXZ
000055E9 000055EE ??1_bstr_t@@QAE@XZ
000055F3 00005622 ??4_bstr_t@@QAEAAV0@ABV0@@Z
00005627 000056C3 ??0CFrameworkQuery@@QAE@ABV0@@Z
000056C8 0000573D ??4CFrameworkQuery@@QAEAAV0@ABV0@@Z
00005742 00005756 ??0_Lockit@std@@QAE@XZ
0000575B 00005767 ??1_Lockit@std@@QAE@XZ
0000576C 00005770 ?GethKey@CRegistry@@QAEPAUHKEY__@@XZ
00005775 00005779 ?GetClassNameW@CRegistry@@QAEPAGXZ
0000577E 00005785 ?GetCurrentSubKeyCount@CRegistry@@QAEKXZ
0000578A 00005791 ?GetLongestSubKeySize@CRegistry@@QAEKXZ
00005796 0000579D ?GetLongestClassStringSize@CRegistry@@QAEKXZ
000057A2 000057A9 ?GetValueCount@CRegistry@@QAEKXZ
000057AE 000057B5 ?GetLongestValueName@CRegistry@@QAEKXZ
000057BA 000057C1 ?GetLongestValueData@CRegistry@@QAEKXZ
000057C6 000058A7 ??0CRegistry@@QAE@ABV0@@Z
000058AC 0000597A ??4CRegistry@@QAEAAV0@ABV0@@Z
0000597F 000059CA ??0CRegistrySearch@@QAE@ABV0@@Z
000059CF 000059FF ??4CRegistrySearch@@QAEAAV0@ABV0@@Z
00005A04 00005A2E ??0CImpersonateSelf@@QAE@XZ
00005A33 00005A50 ??1CImpersonateSelf@@QAE@XZ
00005A55 00005A64 ??1SmartCloseHandle@@QAE@XZ
00005A69 00005A89 ??4SmartCloseHandle@@QAEPAXPAX@Z
00005A8E 00005ABD ??0CSmartBuffer@@QAE@K@Z
00005AC2 00005B0B ??1ProviderLog@@UAE@XZ
00005B10 00005B92 ?CheckFileSize@ProviderLog@@AAEXAAT_LARGE_INTEGER@@ABVCHString@@@Z
00005B97 00005BFC ??0ProviderLog@@QAE@ABV0@@Z
00005C01 00005C45 ??4ProviderLog@@QAEAAV0@ABV0@@Z
00005C4A 00005C98 ??_EProviderLog@@UAEPAXI@Z
00005C9D 00005FD6 ?IsLoggingOn@ProviderLog@@QAE?AW4LogLevel@1@PAVCHString@@@Z
00005FDB 000061D8 ?LocalLogMessage@ProviderLog@@QAEXPBG0HW4LogLevel@1@@Z
000061F4 00006255 ?LocalLogMessage@ProviderLog@@QAAXPBGHW4LogLevel@1@0ZZ
0000625A 000062B9 ??0ProviderLog@@QAE@XZ
000062BE 00006325 ??1CWbemGlueFactory@@QAE@XZ
0000632A 000063DC ?QueryInterface@CWbemGlueFactory@@UAGJABU_GUID@@PAPAX@Z
000063E7 00006439 ?AddRef@CWbemGlueFactory@@UAGKXZ
00006444 000064D0 ?Release@CWbemGlueFactory@@UAGKXZ
000064D5 000065AB ?CreateInstance@CWbemGlueFactory@@UAGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
000065B6 00006650 ?LockServer@CWbemGlueFactory@@UAGJH@Z
00006655 0000669C ??0CWbemGlueFactory@@QAE@PAJ@Z
000066A1 000066DE ??0CWbemGlueFactory@@QAE@XZ
000066E3 000066F5 ??4CAutoEvent@@QAEAAV0@ABV0@@Z
000066FA 00006716 ??1CreateMutexAsProcess@@QAE@XZ
0000671B 0000683E ??0CreateMutexAsProcess@@QAE@PBG@Z
00006843 00006864 ??_GSQL_LEVEL_1_RPN_EXPRESSION@@QAEPAXI@Z
00006869 00006883 ??9@YGHABVCHString@@PBG@Z
00006888 000068AD ?GetRequiredProperties@CFrameworkQuery@@QAEXAAVCHStringArray@@@Z
000068B2 000068C7 ?CheckError@_com_util@@YGXJ@Z
000068CC 0000693D ?IsInList@CFrameworkQuery@@IAEKABVCHStringArray@@PBG@Z
00006942 0000698E ?Reset@CFrameworkQuery@@AAEXXZ
00006993 000069CD ?IsReference@CFrameworkQuery@@IAEHPBG@Z
000069D2 000069D6 ?GetNamespace@CFrameworkQuery@@IAEABVCHString@@XZ
000069DB 000069EE ?size@?$vector@HV?$allocator@H@std@@@std@@QBEIXZ
000069F3 00006A2B ??0Data_t@_bstr_t@@QAE@PBG@Z
00006A30 00006A7C ??0Data_t@_bstr_t@@QAE@PAG_N@Z
00006A81 00006A91 ??1_variant_t@@QAE@XZ
00006A96 00006AB7 ?NextChar@CTextLexSource@@UAEGXZ
00006ABC 00006ACC ?Pushback@CTextLexSource@@UAEXG@Z
00006AD1 00006AD8 ?Reset@CTextLexSource@@UAEXXZ
00006ADD 00006B40 ?IsPropertyRequired@CFrameworkQuery@@QAE_NPBG@Z
00006B45 00006D23 ?GetValuesForProp@CFrameworkQuery@@QAEJPBGAAVCHStringArray@@@Z
00006D28 00006D7F ??0_bstr_t@@QAE@PAG_N@Z
00006D84 00006D9C ??I?$_com_ptr_t@V?$_com_IIID@UIWbemClassObject@@$1?_GUID_dc12a681_737f_11cf_884d_00aa004b2e24@@3U__s_GUID@@B@@@@QAEPAPAUIWbemClassObject@@XZ
00006DA1 00007056 ?Init2@CFrameworkQuery@@QAEXPAUIWbemClassObject@@@Z
0000705B 000070A3 ??4_bstr_t@@QAEAAV0@PBG@Z
000070A8 000070D0 ??$copy@PAV_bstr_t@@PAV1@@std@@YGPAV_bstr_t@@PAV1@00@Z
000070D5 000070F6 ??_G_bstr_t@@QAEPAXI@Z
000070FB 00007167 ??0CFrameworkQuery@@QAE@XZ
0000716C 000071E9 ??1CFrameworkQuery@@QAE@XZ
000071EE 000073FD ?Init@CFrameworkQuery@@QAEJQAG0JAAVCHString@@@Z
00007402 000076F2 ?Init@CFrameworkQuery@@QAEJPAUParsedObjectPath@@PAUIWbemContext@@PBGAAVCHString@@@Z
000076F7 00007844 ?GetQuery@CFrameworkQuery@@QAEABVCHString@@XZ
00007849 0000785C ??$_Destroy@V_bstr_t@@@std@@YGXPAV_bstr_t@@@Z
00007861 0000787F ?_Destroy@?$vector@V_bstr_t@@V?$allocator@V_bstr_t@@@std@@@std@@IAEXPAV_bstr_t@@0@Z
00007884 000078B8 ?erase@?$vector@V_bstr_t@@V?$allocator@V_bstr_t@@@std@@@std@@QAEPAV_bstr_t@@PAV3@@Z
000078BD 000078EE ?erase@?$vector@V_bstr_t@@V?$allocator@V_bstr_t@@@std@@@std@@QAEPAV_bstr_t@@PAV3@0@Z
000078F3 00007B36 ?GetValuesForProp@CFrameworkQuery@@QAEJPBGAAV?$vector@V_bstr_t@@V?$allocator@V_bstr_t@@@std@@@std@@@Z
00007B3B 00007B79 ??0CFrameworkQueryEx@@QAE@XZ
00007B7E 00007BBA ??1CFrameworkQueryEx@@QAE@XZ
00007BBF 00007CDC ?Is3TokenOR@CFrameworkQueryEx@@QAEHPBG0AAUtagVARIANT@@1@Z
00007CE2 00007CF5 ?IsExtended@CFrameworkQueryEx@@UAE_NXZ
00007CFA 00007D0D ?size@?$vector@V_variant_t@@V?$allocator@V_variant_t@@@std@@@std@@QBEIXZ
00007D12 00007D36 ??$copy@PAHPAH@std@@YGPAHPAH00@Z
00007D3B 00007D61 ??0_variant_t@@QAE@ABUtagVARIANT@@@Z
00007D66 00007D85 ??4_variant_t@@QAEAAV0@ABV0@@Z
00007D8A 00007E7B ??8_variant_t@@QBE_NPBUtagVARIANT@@@Z
00007ED4 00008050 ?IsNTokenAnd@CFrameworkQueryEx@@QAEHAAVCHStringArray@@AAVCHPtrArray@@@Z
00008055 00008140 ?GetPropertyBitMask@CFrameworkQueryEx@@QAEXABVCHPtrArray@@PAX@Z
00008145 0000816D ??$copy@PAV_variant_t@@PAV1@@std@@YGPAV_variant_t@@PAV1@00@Z
00008172 0000819B ??_G_variant_t@@QAEPAXI@Z
000081A0 000081E9 ??4_variant_t@@QAEAAV0@PBG@Z
000081EE 0000826E ?CreateInstance@?$_com_ptr_t@V?$_com_IIID@UIWbemQuery@@$1?_GUID_81166f58_dd98_11d3_a120_00105a1f515a@@3U__s_GUID@@B@@@@QAEJABU_GUID@@PAUIUnknown@@K@Z
00008273 00008286 ??$_Destroy@V_variant_t@@@std@@YGXPAV_variant_t@@@Z
0000828B 000082B0 ?erase@?$vector@HV?$allocator@H@std@@@std@@QAEPAHPAH@Z
000082B5 000082E6 ??0?$_com_ptr_t@V?$_com_IIID@UIWbemQuery@@$1?_GUID_81166f58_dd98_11d3_a120_00105a1f515a@@3U__s_GUID@@B@@@@QAE@ABU_GUID@@PAUIUnknown@@K@Z
000082EB 0000830D ?erase@?$vector@HV?$allocator@H@std@@@std@@QAEPAHPAH0@Z
00008312 00008445 ?InitEx@CFrameworkQueryEx@@UAEJQAG0JAAVCHString@@@Z
0000844A 00008468 ?_Destroy@?$vector@V_variant_t@@V?$allocator@V_variant_t@@@std@@@std@@IAEXPAV_variant_t@@0@Z
0000846D 0000850B ?GetValuesForProp@CFrameworkQueryEx@@QAEJPBGAAV?$vector@HV?$allocator@H@std@@@std@@@Z
00008510 00008544 ?erase@?$vector@V_variant_t@@V?$allocator@V_variant_t@@@std@@@std@@QAEPAV_variant_t@@PAV3@@Z
00008549 0000857A ?erase@?$vector@V_variant_t@@V?$allocator@V_variant_t@@@std@@@std@@QAEPAV_variant_t@@PAV3@0@Z
0000857F 000085D4 ??0CFrameworkQueryEx@@QAE@ABV0@@Z
000085D9 0000860D ??4CFrameworkQueryEx@@QAEAAV0@ABV0@@Z
00008612 0000886A ?GetValuesForProp@CFrameworkQueryEx@@QAEJPBGAAV?$vector@V_variant_t@@V?$allocator@V_variant_t@@@std@@@std@@@Z
0000886F 000088AA ??0CInstance@@QAE@PAUIWbemClassObject@@PAVMethodContext@@@Z
000088AF 000088D5 ??1CInstance@@UAE@XZ
000088DA 000088E5 ?AddRef@CInstance@@QAEJXZ
000088EA 000088F6 ?Commit@CInstance@@QAEJXZ
000088FB 0000890E ?GetClassObjectInterface@CInstance@@QAEPAUIWbemClassObject@@XZ
00008913 00008917 ?GetMethodContext@CInstance@@QBEPAVMethodContext@@XZ
0000891C 00008951 ??0_variant_t@@QAE@PBG@Z
00008956 00008966 ?SetCharSplat@CInstance@@QAE_NPBGK@Z
0000896B 00008A84 ?Release@CInstance@@QAEJXZ
00008A89 00008B29 ?GetStatus@CInstance@@QBE_NPBGAA_NAAG@Z
00008B2E 00008C8B ?LogError@CInstance@@IBEXPBG00J@Z
00008C90 00008D5F ?SetWCHARSplat@CInstance@@QAE_NPBG0@Z
00008D64 00008E38 ?SetNull@CInstance@@QAE_NPBG@Z
00008E3D 00008F44 ?SetStringArray@CInstance@@QAE_NPBGABUtagSAFEARRAY@@@Z
00008F49 00009073 ?GetCHString@CInstance@@QBE_NPBGAAVCHString@@@Z
00009078 000091BA ?GetStringArray@CInstance@@QBE_NPBGAAPAUtagSAFEARRAY@@@Z
000091BF 00009324 ?GetWCHAR@CInstance@@QBE_NPBGPAPAG@Z
00009329 000093EB ?SetWORD@CInstance@@QAE_NPBGG@Z
000093F0 0000950B ?GetWORD@CInstance@@QBE_NPBGAAG@Z
00009510 000095CE ?SetDWORD@CInstance@@QAE_NPBGK@Z
000095D3 000096E8 ?GetDWORD@CInstance@@QBE_NPBGAAK@Z
000096ED 000097AE ?SetDOUBLE@CInstance@@QAE_NPBGN@Z
000097B3 000098C0 ?GetDOUBLE@CInstance@@QBE_NPBGAAN@Z
000098C5 00009983 ?SetByte@CInstance@@QAE_NPBGE@Z
00009988 00009A82 ?SetEmbeddedObject@CInstance@@QAE_NPBGAAV1@@Z
00009A87 00009BAD ?GetByte@CInstance@@QBE_NPBGAAE@Z
00009BB2 00009D27 ?GetEmbeddedObject@CInstance@@QBE_NPBGPAPAV1@PAVMethodContext@@@Z
00009D2C 00009DEF ?Setbool@CInstance@@QAE_NPBG_N@Z
00009DF4 00009F0F ?Getbool@CInstance@@QBE_NPBGAA_N@Z
00009F14 00009FA5 ?SetVariant@CInstance@@QAE_NPBGABUtagVARIANT@@@Z
00009FAA 0000A03C ?GetVariant@CInstance@@QBE_NPBGAAUtagVARIANT@@@Z
0000A041 0000A13A ?SetDateTime@CInstance@@QAE_NPBGABVWBEMTime@@@Z
0000A13F 0000A288 ?GetDateTime@CInstance@@QBE_NPBGAAVWBEMTime@@@Z
0000A28D 0000A384 ?SetTimeSpan@CInstance@@QAE_NPBGABVWBEMTimeSpan@@@Z
0000A389 0000A4D2 ?GetTimeSpan@CInstance@@QBE_NPBGAAVWBEMTimeSpan@@@Z
0000A4D7 0000A4ED ?SetCHString@CInstance@@QAE_NPBGABVCHString@@@Z
0000A4F2 0000A538 ?SetWBEMINT64@CInstance@@QAE_NPBG_J@Z
0000A53D 0000A583 ?SetWBEMINT64@CInstance@@QAE_NPBG_K@Z
0000A588 0000A593 ?GetWBEMINT64@CInstance@@QBE_NPBGAAVCHString@@@Z
0000A598 0000A5F7 ?GetWBEMINT64@CInstance@@QBE_NPBGAA_J@Z
0000A5FC 0000A6BE ?SetWBEMINT16@CInstance@@QAE_NPBGABF@Z
0000A6C3 0000A7EB ?GetWBEMINT16@CInstance@@QBE_NPBGAAF@Z
0000A7F0 0000A8C4 ?IsNull@CInstance@@QBE_NPBG@Z
0000A8D9 0000A922 ?SetCharSplat@CInstance@@QAE_NPBGPBD@Z
0000A927 0000A97E ??0MethodContext@@QAE@PAUIWbemContext@@PAVCWbemProviderGlue@@@Z
0000A983 0000A9D0 ??1MethodContext@@UAE@XZ
0000A9E9 0000A9ED ?GetProviderGlue@MethodContext@@AAEPAVCWbemProviderGlue@@XZ
0000A9F2 0000AA41 ??0ExternalMethodContext@@QAE@PAUIWbemObjectSink@@PAUIWbemContext@@PAVCWbemProviderGlue@@PAX@Z
0000AA46 0000AA5C ?Release@ExternalMethodContext@@QAEJXZ
0000AA61 0000AA72 ?QueryPostProcess@ExternalMethodContext@@UAEXXZ
0000AA77 0000AAC5 ??0InternalMethodContext@@QAE@PAV?$TRefPointerCollection@VCInstance@@@@PAUIWbemContext@@PAVCWbemProviderGlue@@@Z
0000AACA 0000AAF3 ??1InternalMethodContext@@UAE@XZ
0000AAF8 0000AB11 ?Release@InternalMethodContext@@QAEJXZ
0000AB16 0000AB80 ??0InternalMethodContextAsynch@@QAE@PAVProvider@@P6GJ0PAVCInstance@@PAVMethodContext@@PAX@ZPAUIWbemContext@@23@Z
0000AB85 0000ABAE ??1InternalMethodContextAsynch@@UAE@XZ
0000ABB3 0000ABCB ?Commit@InternalMethodContextAsynch@@UAEJPAVCInstance@@@Z
0000ABD0 0000ABF5 ?Release@InternalMethodContextAsynch@@QAEJXZ
0000ABFA 0000AC4E ?GetIWBEMContext@MethodContext@@UAEPAUIWbemContext@@XZ
0000AC6A 0000ACC9 ?SetStatusObject@MethodContext@@QAE_NPAUIWbemClassObject@@@Z
0000ACE5 0000AD37 ?GetStatusObject@MethodContext@@QAEPAUIWbemClassObject@@XZ
0000AD53 0000AD74 ??_GExternalMethodContext@@UAEPAXI@Z
0000AD79 0000AD9C ??1ExternalMethodContext@@UAE@XZ
0000ADA1 0000ADC2 ??_EInternalMethodContext@@UAEPAXI@Z
0000ADC7 0000ADE8 ??_EInternalMethodContextAsynch@@UAEPAXI@Z
0000ADED 0000AE61 ?Add@?$TRefPointerCollection@VCInstance@@@@QAEHPAVCInstance@@@Z
0000AE7D 0000AEDC ?Commit@ExternalMethodContext@@UAEJPAVCInstance@@@Z
0000AEE1 0000AF08 ?Commit@InternalMethodContext@@UAEJPAVCInstance@@@Z
0000AF0D 0000AFA1 ?FRGetComputerName@@YGHPAGPAK@Z
0000AFA6 0000B022 ?FRCreateMutex@@YGPAXPAU_SECURITY_ATTRIBUTES@@HPBG@Z
0000B027 0000B183 ?FRExpandEnvironmentStrings@@YGKPBGPAGK@Z
0000B189 0000B21A ?InitComputerName@Provider@@CGXXZ
0000B21F 0000B223 ?ValidateIMOSPointer@Provider@@AAEHXZ
0000B228 0000B247 ?Commit@Provider@@IAEJPAVCInstance@@_N@Z
0000B24C 0000B272 ?CreateInstanceEnum@Provider@@AAEJPAVMethodContext@@J@Z
0000B277 0000B27F ?EnumerateInstances@Provider@@MAEJPAVMethodContext@@J@Z
0000B284 0000B28C ?ExecMethod@Provider@@MAEJABVCInstance@@QAGPAV2@2J@Z
0000B291 0000B317 ?MakeLocalPath@Provider@@IAE?AVCHString@@ABV2@@Z
0000B31C 0000B455 ?SetKeyFromParsedObjectPath@Provider@@AAEHPAVCInstance@@PAUParsedObjectPath@@@Z
0000B45A 0000B47F ?SetCreationClassName@Provider@@IAE_NPAVCInstance@@@Z
0000B484 0000B49E ?ValidateFlags@Provider@@IAEJJW4FlagDefs@1@@Z
0000B4A3 0000B4BD ?ValidateEnumerationFlags@Provider@@MAEJJ@Z
0000B4C2 0000B4DC ?ValidateMethodFlags@Provider@@MAEJJ@Z
0000B4E1 0000B4FB ?ValidatePutInstanceFlags@Provider@@MAEJJ@Z
0000B500 0000B508 ?ExecQuery@Provider@@MAEJPAVMethodContext@@AAVCFrameworkQuery@@J@Z
0000B50D 0000B521 ?GetObject@Provider@@MAEJPAVCInstance@@JAAVCFrameworkQuery@@@Z
0000B526 0000B53E ??C?$_com_ptr_t@V?$_com_IIID@UIWbemServices@@$1?_GUID_9556dc99_828c_11cf_a37e_00aa003240c7@@3U__s_GUID@@B@@@@QBEPAUIWbemServices@@XZ
0000B543 0000B57B ??0CFramework_Exception@@QAE@PBGJ@Z
0000B580 0000B5EE ??0Provider@@QAE@PBG0@Z
0000B5F3 0000B654 ??1Provider@@UAE@XZ
0000B659 0000B6B9 ?Flush@Provider@@MAEXXZ
0000B6D5 0000B756 ?ExecuteQuery@Provider@@AAEJPAVMethodContext@@AAVCFrameworkQuery@@J@Z
0000B75B 0000B7D7 ?GetLocalInstancePath@Provider@@IAE_NPBVCInstance@@AAVCHString@@@Z
0000B7DC 0000B830 ??0_bstr_t@@QAE@PBG@Z
0000B835 0000B841 ??1?$_com_ptr_t@V?$_com_IIID@VCInstance@@$1?_GUID_3402945e_d19a_11d2_b35e_00104bc97924@@3U__s_GUID@@B@@@@QAE@XZ
0000B846 0000B8DE ?PutInstance@Provider@@AAEJPAUIWbemClassObject@@JPAVMethodContext@@@Z
0000B8E4 0000BA6E ?GetClassObjectInterface@Provider@@AAEPAUIWbemClassObject@@PAVMethodContext@@@Z
0000BA74 0000BAAF ??0CFramework_Exception@@QAE@ABV0@@Z
0000BAB4 0000BAD7 ??1CFramework_Exception@@QAE@XZ
0000BADC 0000BBB1 ?CreateNewInstance@Provider@@IAEPAVCInstance@@PAVMethodContext@@@Z
0000BBB7 0000BC34 ?DeleteInstance@Provider@@AAEJPAUParsedObjectPath@@JPAVMethodContext@@@Z
0000BC39 0000BCBF ?ExecMethod@Provider@@AAEJPAUParsedObjectPath@@PAGJPAVCInstance@@2PAVMethodContext@@@Z
0000BCC4 0000BDEF ?GetObject@Provider@@AAEJPAUParsedObjectPath@@PAVMethodContext@@J@Z
0000BDF4 0000C03B _DoCmd@16
0000C040 0000C06C ??0CThreadBase@@QAE@W4THREAD_SAFETY_MECHANISM@0@@Z
0000C071 0000C082 ??1CThreadBase@@UAE@XZ
0000C087 0000C092 ?OnFinalRelease@CThreadBase@@MAEXXZ
0000C097 0000C0A2 ?AddRef@CThreadBase@@QAEJXZ
0000C0A7 0000C0C9 ?Release@CThreadBase@@QAEJXZ
0000C0CE 0000C0EF ?trans_func@CSetStructuredExceptionHandler@@SAXIPAU_EXCEPTION_POINTERS@@@Z
0000C0F5 0000C10F ??0CSetStructuredExceptionHandler@@QAE@XZ
0000C114 0000C11E ??1CSetStructuredExceptionHandler@@QAE@XZ
0000C123 0000C12E ??1CWbemGlueImpersonation@@QAE@XZ
0000C133 0000C152 ??M@YGHABVCHString@@0@Z
0000C157 0000C207 ?Init@CWbemProviderGlue@@CGXXZ
0000C20C 0000C250 ?UnInit@CWbemProviderGlue@@CGXXZ
0000C25B 0000C39D ?QueryInterface@CWbemProviderGlue@@UAGJABU_GUID@@PAPAX@Z
0000C3A8 0000C433 ?AddRef@CWbemProviderGlue@@UAGKXZ
0000C43E 0000C487 ?GetComputerNameW@CWbemProviderGlue@@CGXAAVCHString@@@Z
0000C48C 0000C4CE ?IncrementObjectCount@CWbemProviderGlue@@SGXXZ
0000C4D3 0000C51B ?DecrementObjectCount@CWbemProviderGlue@@SGJXZ
0000C520 0000C55D ?FrameworkLoginDLL@CWbemProviderGlue@@SGHPBGPAJ@Z
0000C562 0000C5AF ?FrameworkLogoffDLL@CWbemProviderGlue@@SGHPBGPAJ@Z
0000C5B4 0000C5C0 ?IncrementMapCount@CWbemProviderGlue@@KGJPAJ@Z
0000C5C5 0000C624 ?DecrementMapCount@CWbemProviderGlue@@KGJPAJ@Z
0000C62F 0000C694 ??0?$WaitException@PAU_RTL_CRITICAL_SECTION@@P6GXPAU1@@Z$1?EnterCriticalSection@@YGX0@Z$0DOI@@@QAE@PAU_RTL_CRITICAL_SECTION@@@Z
0000C699 0000C6AF ?Exec@?$FrameDynOnDelete@PAU_RTL_CRITICAL_SECTION@@P6GXPAU1@@Z$1?LeaveCriticalSection@@YGX0@Z@@QAEXXZ
0000C6B4 0000C6C0 ??1?$FrameDynOnDelete@PAU_RTL_CRITICAL_SECTION@@P6GXPAU1@@Z$1?LeaveCriticalSection@@YGX0@Z@@QAE@XZ
0000C6C5 0000C6E8 ??1?$pair@$$CBVCHString@@PAX@std@@QAE@XZ
0000C6ED 0000C709 ??$_Allocate@D@std@@YGPADHPAD@Z
0000C70E 0000C748 ??0?$pair@$$CBVCHString@@PAX@std@@QAE@ABVCHString@@ABQAX@Z
