000017B4 000017C8 __EH_epilog3
00001DE5 00001DF5 _CTPMethodTable__CallTargetHelper2@12
00001DF5 00001E08 _CTPMethodTable__CallTargetHelper3@16
00001E08 00001E24 _setFPReturn@12
00001E24 00001E40 _getFPReturn@8
00001E40 00001E63 _UM2MThunk_WrapperHelper@20
00001E63 00001E70 _UMThunkStubRareDisable
00001E70 00001E81 _CRemotingServices__CheckForContextMatch@4
00001E81 00001E84 _CRemotingServices__DispatchInterfaceCall@0
00001E84 00001E99 _CRemotingServices__DispatchInterfaceCall_Worker@0
00001E99 00001EBC _CRemotingServices__CallFieldGetter@20
00001EBC 00001EDF _CRemotingServices__CallFieldSetter@20
00001EDF 00001EFB _CTPMethodTable__GenericCheckForContextMatch@4
00001EFB 00001EFE _JIT_ProfilerEnterLeaveStub@16
00001EFE 00001F01 _JIT_ProfilerTailcallStub@12
00001F01 00001F05 _GetCurrentIP@0
00001F05 00001F08 _GetCurrentSP@0
00001F08 00001F42 _ProfileEnterNaked@16
00001F42 00001FA2 _ProfileLeaveNaked@16
00001FA2 00001FD9 _ProfileTailcallNaked@12
00001FE0 00002028 __SEH_prolog4_GS
00002028 00002037 __SEH_epilog4_GS
00002037 00002045 @__security_check_cookie@4
00002045 0000204B _memcpy
0000204B 00002077 ??0SOIntolerantTransitionHandler@@QAE@PAX@Z
00002077 00002089 ??1SOIntolerantTransitionHandler@@QAE@XZ
00002089 000020BF __EH_prolog3_catch
000020BF 000020CB ?GetClass_NoLogging@MethodTable@@QAEPAVEEClass@@XZ
00002120 00002130 ?Pop@Frame@@QAEXPAVThread@@@Z
00002130 00002142 ?CORDebuggerAttached@@YG_NXZ
00002220 00002254 __allmul
00002254 00002273 ?StressLogOn@StressLog@@SGHII@Z
00002273 00002289 ?EtwOn@StressLog@@SGHII@Z
00002293 000022AB ?ClrFlsGetValue@@YGPAXK@Z
000022AB 000022B1 _memset
000022B1 000022B4 ?getTimeStamp@@YG_KXZ
000022B4 000022CC ?Pop@?$GCHolder@$00$0A@$00@@QAEXXZ
000022CC 000022FD ??0?$GCHolder@$00$0A@$0A@@@QAE@H@Z
000022FD 0000230B ??1ContextScope@MemoryReport@@QAE@XZ
0000230B 00002337 ??0ContextScope@MemoryReport@@QAA@PBDZZ
00002337 0000234A ?GetEEMemoryManager@@YGPAUIEEMemoryManager@@XZ
00002366 00002370 ?IsDomainNeutral@MethodTable@@QAEHXZ
00002370 000023B5 __SEH_prolog4
000023B5 000023C9 __SEH_epilog4
000023C9 000023D5 ?FinishSOWork@Thread@@QAEXXZ
000023D5 00002429 ?EEVirtualAlloc@@YGPAXPAXKKK@Z
00002429 00002441 ?ClrVirtualAlloc@CExecutionEngine@@EAGPAXPAXKKK@Z
00002441 0000245F ?ClrVirtualAlloc@@YGPAXPAXKKK@Z
00002460 0000250A __alldiv
00002510 00002511 _JIT_WriteBarrierStart@0
00002514 0000251A @JIT_CheckedWriteBarrier@8
0000251C 00002525 @JIT_WriteBarrier@8
00002528 00002560 _JIT_CheckedWriteBarrierEAX@0
00002560 00002598 _JIT_CheckedWriteBarrierEBX@0
00002598 000025D0 _JIT_CheckedWriteBarrierECX@0
000025D0 00002608 _JIT_CheckedWriteBarrierESI@0
00002608 00002640 _JIT_CheckedWriteBarrierEDI@0
00002640 00002678 _JIT_CheckedWriteBarrierEBP@0
00002678 000026C0 _JIT_ByRefWriteBarrier@0
000026C0 000026C1 _JIT_WriteBarrierLast@0
000026C1 000026C2 _JIT_WriteBarrierEnd@0
000026D0 000026E2 _JIT_LLsh@0
000026F0 00002703 _JIT_LRsh@0
00002710 00002722 _JIT_LRsz@0
00002730 00002764 @JIT_LMul@16
00002764 00002790 @JIT_Dbl2LngOvf@8
00002790 000027F7 @JIT_Dbl2Lng@8
000027F7 00002824 @JIT_Dbl2LngP4x87@8
00002824 00002831 @JIT_Dbl2IntSSE2@8
00002831 00002850 _JIT_WriteBarrierReg_PreGrow@0
00002850 00002877 _JIT_WriteBarrierReg_PostGrow@0
0000287C 00002890 _JIT_TailCallReturnFromVSD@0
00002890 000029C3 _JIT_TailCall@0
000029C3 000029DB _JIT_FltRem@8
000029DB 000029F3 _JIT_DblRem@16
000029F3 000029F4 _JIT_MonStart@0
000029F4 000029F5 _JIT_PatchedCodeStart@0
000029F5 00002B1B @JIT_MonEnterWorker@4
00002B1B 00002C6F @JIT_MonTryEnter@8
00002C6F 00002D0E @JIT_MonExitWorker@4
00002D0E 00002D4D @JIT_MonEnterStatic@4
00002D4D 00002D8E @JIT_MonExitStatic@4
00002D8E 00002D8F _JIT_PatchedWriteBarrierStart@0
00002E80 00002E81 _JIT_PatchedWriteBarrierLast@0
00002E90 00002EB5 _PrecodeRemotingThunk@0
00002EB5 00002EB6 _JIT_PatchedCodeLast@0
00002EB6 00002EB7 _JIT_PatchedCodeEnd@0
00002EB7 00002EB8 _JIT_MonEnd@0
00002EC0 00002F0A @JIT_IsInstanceOfInterface@8
00002F10 00002F4D @JIT_ChkCastInterface@8
00003190 000031AF @LazyMachStateCaptureState@4
000031AF 000031D2 ??0HelperMethodFrame@@QAE@PAXPAULazyMachState@@I@Z
000031D2 000031F9 ?LazyInit@HelperMethodFrame@@IAEXPAXPAULazyMachState@@@Z
000031F9 0000321E ??0?$FrameWithCookie@VHelperMethodFrame@@@@QAE@PAXPAULazyMachState@@I@Z
0000321E 0000322F ?UseAllocationContexts@GCHeap@@SG_NXZ
0000322F 00003297 ?Alloc@@YGPAVObject@@IHH@Z
00003297 000032BA ?addition@?$ClrSafeInt@K@@SG_NKKAAK@Z
000032BA 000032E2 ?IsValueType@MethodTable@@QAEHXZ
000032E2 0000330F ?GetInternalCorElementType@MethodTable@@QAE?AW4CorElementType@@XZ
0000330F 0000332B ?IsTruePrimitive@MethodTable@@QAEHXZ
0000332B 00003344 ?IsPrimitiveType@CorTypeInfo@@SGHW4CorElementType@@@Z
00003344 0000337E ??H?$ClrSafeInt@I@@QBE?AV0@V0@@Z
0000337E 0000339C ?multiply@?$ClrSafeInt@K@@SG_NKKAAK@Z
0000339C 000033D6 ??D?$ClrSafeInt@I@@QBE?AV0@V0@@Z
00003478 0000348A ?IsRestored@TypeHandle@@QBEHXZ
000036B0 000036E8 ?GetSignatureCorElementType@TypeHandle@@QBE?AW4CorElementType@@XZ
0000370D 0000371F ?CheckRestore@TypeHandle@@QBEXXZ
00003723 0000373A ?IsGenericVariable@TypeDesc@@QAEHXZ
0000373A 0000375A ?GetTypeParam@TypeDesc@@QAE?AVTypeHandle@@XZ
0000375A 00003780 ?GetMethodTable@TypeDesc@@QAEPAVMethodTable@@XZ
00003780 000037A9 ?IsRestored@TypeDesc@@QAEHXZ
00003D80 00003DAB __chkstk
00003DAB 00003DDF ??0?$GCHolder@$0A@$0A@$0A@@@QAE@H@Z
00003DDF 00003DF0 ?AVInRuntimeImplOkayRelease@Thread@@CGXXZ
00003DF0 00003E01 ?AVInRuntimeImplOkayAcquire@Thread@@CGXXZ
00003E74 00003E78 ?GetDebuggerEval@FuncEvalFrame@@UAEPAVDebuggerEval@@XZ
00003E78 00003E7D ?GetDomain@Module@@QAEPAVBaseDomain@@XZ
00003E7D 00003E93 ?GetDomain@MethodTable@@QAEPAVBaseDomain@@XZ
00003E93 00003EA3 ?IsCompilationProcess@CompilationDomain@@SGHXZ
00003EA3 00003EC1 ?GetSlot@MethodTable@@QAEKI@Z
00003EC1 00003F0F ?GetRestoredSlot@MethodTable@@QAEKK@Z
00003F0F 00003F2C ?CanThreadEnter@AppDomain@@QAEHPAVThread@@@Z
00003F2C 00003F54 ?SetBackground@Thread@@QAEXH@Z
00003F54 00003F5A ?GetFinalizerThread@GCHeap@SVR@@UAEPAVThread@@XZ
00003F5A 00003F81 ??1TypedAddressInitHolder@?$BaseWrapper@PAGV?$FunctionBase@PAG$1??$DoNothing@PAG@@YGXPAG@Z$1?HolderSysFreeString@@YGX0@Z$01@@$0A@$1??$CompareDefault@PAG@@YGHPAG0@Z$01@@QAE@XZ
00003F81 00003F9B ?UnhijackThread@Thread@@QAEXXZ
00003FE0 00003FE4 ?IsValid@CNgenIndex@@QAEHXZ
00004038 00004057 ?BeginThreadAffinity@Thread@@SGXXZ
00004057 00004076 ?EndThreadAffinity@Thread@@SGXXZ
00009C50 00009C72 ??1SaveLastErrorHolder@@QAE@XZ
00009C72 00009CBD ?ClrFlsSetValue@@YGXKPAX@Z
00009CBD 00009CCE ?DecCantStopCount@@YGXXZ
00009CD5 00009D01 ??1?$BaseWrapper@PAVPEFileListLock@@V?$FunctionBase@PAVPEFileListLock@@$1?HolderEnter@1@SGXPAV1@@Z$1?HolderLeave@1@SGX0@Z$01@@$0A@$1??$CompareDefault@PAVPEFileListLock@@@@YGHPAV1@0@Z$01@@QAE@XZ
00009D01 00009D3C ?Leave@CrstBase@@AAEXXZ
00009D3C 00009D72 ?UnsafeEELeaveCriticalSection@@YGXPAU_RTL_CRITICAL_SECTION@@@Z
00009D72 00009D86 ?DECTHREADNONHOSTLOCKCOUNT@@YGXPAVThread@@@Z
00009E9C 00009EB3 ?IsGCInProgress@GCHeap@@SGHH@Z
0000A030 0000A07E ?EEHeapAlloc@@YGPAXPAXKK@Z
0000A07E 0000A096 ??0SaveLastErrorHolder@@QAE@W4SaveLastErrorFlag@0@@Z
0000A096 0000A0DE ?EEHeapAllocInProcessHeap@@YGPAXKK@Z
0000A0DE 0000A119 ??2@YAPAXIABUNoThrow@@@Z
0000A120 0000A15C ??3@YAXPAX@Z
0000A15C 0000A1A5 ?EEHeapFree@@YGHPAXK0@Z
0000A1A5 0000A1C5 ?EEHeapFreeInProcessHeap@@YGHKPAX@Z
0000A398 0000A451 ?Enter@CrstBase@@AAEXXZ
0000A451 0000A465 ?INCTHREADNONHOSTLOCKCOUNT@@YGXPAVThread@@@Z
0000A465 0000A476 ?IncCantStopCount@@YGXXZ
0000A480 0000A4C8 ?MapTargetBackToMethod@ECall@@SGPAVMethodDesc@@KPAK@Z
0000A57C 0000A59D ?ClrFlsCheckValue@@YGHKPAPAX@Z
0000A59D 0000A5A4 ?IncCantAllocCount@@YGXXZ
0000A5A4 0000A5D5 ?MarkThread@CantAllocThreads@@QAEXXZ
0000A5D5 0000A5DC ?DecCantAllocCount@@YGXXZ
0000A5DC 0000A611 ?UnmarkThread@CantAllocThreads@@QAEXXZ
0000A611 0000A631 ?IncrementReader@ExecutionManager@@CGXPAV1@@Z
0000A631 0000A644 ?DecrementReader@ExecutionManager@@CGXPAV1@@Z
0000A644 0000A670 ??1?$Holder@PAVExecutionManager@@$1?IncrementReader@1@CGXPAV1@@Z$1?DecrementReader@1@CGX0@Z$0A@$1??$NoNull@PAVExecutionManager@@@@YGH00@Z$01@@QAE@XZ
0000A670 0000A6B4 ?FindJitManNonZeroWrapper@ExecutionManager@@CGPAVIJitManager@@K@Z
0000A9DC 0000AA1A ?GetRangeSection@ExecutionManager@@SGPAU_rangesection@@PAU2@K@Z
0000AA1A 0000AA44 ?GetScanFlags@IJitManager@@SG?AW4ScanFlag@1@XZ
0000AA44 0000AA6A ?FindJitManNonZero@ExecutionManager@@CGPAVIJitManager@@KW4ScanFlag@2@@Z
0000AE08 0000AEA9 ?FindMethodCode@EEJitManager@@SGIPAKK@Z
0000AEA9 0000AF5A ?LookupValue@HashMap@@QAEKKK@Z
0000AF5A 0000AF6E ?CompareValues@HashMap@@AAEKKK@Z
0000AF6E 0000AF8E ?InsureInit@HelperMethodFrame@@QAEK_NPAUMachState@@@Z
0000AF8E 0000AFAA ?LookupValue@PtrHashMap@@QAEPAXKPAX@Z
0000AFAA 0000AFAE ?GetOffsOfGSCookie@Frame@@UAEHXZ
0000C01C 0000C01F ?GetFrameAttribs@Frame@@UAEIXZ
0000C1CC 0000C20A @JIT_Stelem_Ref@12
0000C20A 0000C233 @JIT_IsInstanceOfClass@8
0000C233 0000C248 @JIT_ChkCastClassSpecial@8
0000C38B 0000C391 ?GetGCThread@GCHeap@SVR@@UAEPAVThread@@XZ
0000C391 0000C3DF ?FindZapModule@ExecutionManager@@SGPAVModule@@K@Z
0000C3DF 0000C400 ?GetStackGuarantee@Thread@@SGIXZ
0000C400 0000C416 ?GetLastNormalStackAddress@Thread@@SGII@Z
0000C416 0000C422 ?GetLastNormalStackAddress@Thread@@QAEIXZ
0000C422 0000C47D ?IsStackSpaceAvailable@Thread@@QAEHM@Z
0000C49A 0000C4AF ?GetCl@EEClass@@QAEIXZ
0000C51D 0000C53A ?GetHotData@StgPoolReadOnly@@QBEPBXK@Z
0000C53A 0000C550 ?LogBlobAccess@MetaDataTracker@@SGXPAEK@Z
0000C550 0000C567 ?LogHeapAccess@MetaDataTracker@@SGPAXPAXK@Z
0000C567 0000C56A ?GetContextType@CLoadContext@@QAE?AW4__MIDL___MIDL_itf_fusionpriv_0127_0001@@XZ
0000C56A 0000C56E ?GetReturnExecutionContextAddr@ContextTransitionFrame@@UAEPAPAVObject@@XZ
0000C56E 0000C5D4 ?FastAllocateObject@@YGPAVObject@@PAVMethodTable@@@Z
0000C5D4 0000C6B5 ?JIT_NewFast@@YIPAVObject@@PAUCORINFO_CLASS_STRUCT_@@@Z
0000C6BB 0000C7B0 ?__DangerousSwitchToThread@@YGHKH@Z
0000C7D8 0000C7E9 ?__SwitchToThread@@YGHK@Z
0000C7E9 0000C822 __EH_prolog3_catch_GS
0000C822 0000C831 __EH_epilog3_catch_GS
0000C831 0000C84B ?CatchAtSafePoint@Thread@@QAEKXZ
0000C84B 0000C888 ?GetModule@MethodTable@@QAEPAVModule@@XZ
0000C888 0000C89A ?GetMethodTable@TypeHandle@@QBEPAVMethodTable@@XZ
0000C8A8 0000C8BB ?GetMemberDef@MethodDesc@@QAEIXZ
0000C8BB 0000C8DC ?GetMemberDef_NoLogging@MethodDesc@@QAEIXZ
0000C8DC 0000C916 ?getMethod@?$CMiniMdTemplate@VCMiniMd@@@@QAEPAVMethodRec@@K@Z
0000C916 0000C929 ?GetModule@MethodDesc@@QAEPAVModule@@XZ
0000C929 0000C946 ?GetModule_NoLogging@MethodDesc@@QAEPAVModule@@XZ
0000C946 0000C95B ?GetInternalCorElementType@TypeHandle@@QBE?AW4CorElementType@@XZ
0000C95B 0000C96A ?CheckRunClassInitThrowing@MethodTable@@QAEXXZ
0000C971 0000C98A ?EnablePreemptiveGC@Thread@@QAEXXZ
0000C98A 0000C99F ?DisablePreemptiveGC@Thread@@QAEXXZ
0000C99F 0000C9A6 ?GetCurrentSEHRecord@@YGPAU_EXCEPTION_REGISTRATION_RECORD@@XZ
0000C9AA 0000C9C7 ?getRevisionNumberOfAssemblyRef@?$CMiniMdTemplate@VCMiniMdRW@@@@QAEGPAVAssemblyRefRec@@@Z
0000C9C7 0000CA0A ?GetAttrs@MethodDesc@@QAEKXZ
0000CA0A 0000CA34 ?GetMethodDefProps@MDInternalRO@@UAGKI@Z
0000CA34 0000CA67 ?IsNullableType@Nullable@@SGHVTypeHandle@@@Z
0000CB51 0000CB77 ?AllocThrows@?$CQuickMemoryBase@$0CAA@$0IA@@@QAEPAXK@Z
0000CB77 0000CB8E ?FastGetCurrentThread@ThreadNative@@SIPAXXZ
0000CB8E 0000CB9B ?BeginCriticalRegion@ThreadNative@@SIXXZ
0000CB9B 0000CBA8 ?EndCriticalRegion@ThreadNative@@SIXXZ
0000CBA8 0000CC23 ?AllocateObject@@YGPAVObject@@PAVMethodTable@@@Z
0000CC23 0000CC4A ??0HelperMethodFrame_1OBJ@@QAE@PAXPAULazyMachState@@IPAPAVObject@@@Z
0000CC4A 0000CC72 ??0?$FrameWithCookie@VHelperMethodFrame_1OBJ@@@@QAE@PAXPAULazyMachState@@IPAPAVObject@@@Z
0000CC72 0000CCE7 ?m_memmove@@YGXPAE0H@Z
0000CCE7 0000CD14 ??0HelperMethodFrame_PROTECTOBJ@@QAE@PAXPAULazyMachState@@IPAPAVObject@@H@Z
0000CD14 0000CD55 ?NewString@COMString@@SGPAVStringObject@@PBGH@Z
0000D750 0000D76B ?GetLowerBoundsPtr@ArrayBase@@QBEPAHXZ
0000D76B 0000D7B2 ?GetArrayElementTypeHandle@ArrayBase@@QBE?AVTypeHandle@@XZ
0000D7DA 0000D807 ??0HelperMethodFrame_2OBJ@@QAE@PAXPAULazyMachState@@IPAPAVObject@@2@Z
0000D807 0000D84A ?JIT_LMod@@YI_J_J0@Z
0000D84A 0000D861 ?__GetSystemTimeAsFileTime@SystemNative@@SI_JXZ
0000D861 0000D872 ?Pop@Frame@@QAEXXZ
0000D872 0000D886 ?Push@Frame@@QAEXXZ
0000D886 0000D8AC ??0SigTypeContext@@QAE@PAVMethodDesc@@VTypeHandle@@@Z
0000D8AC 0000D8F5 ?SlowAllocateString@@YGPAVStringObject@@K@Z
0000D8F5 0000D906 ?UnframedAllocateString@@YIPAVStringObject@@K@Z
0000D906 0000D92B ??0?$FrameWithCookie@VGCFrame@@@@QAE@PAPAVObject@@IH@Z
0000D92B 0000D953 ?Init@GCFrame@@QAEXPAVThread@@PAPAVObject@@IH@Z
0000D953 0000D97D ??0GCFrame@@QAE@PAPAVObject@@IH@Z
0000D97D 0000D987 ?Pop@GCFrame@@QAEXXZ
0000D987 0000D9AF ??0HandlerState@CLRException@@QAE@XZ
0000D9AF 0000D9FE ?CleanupTry@HandlerState@CLRException@@QAEXXZ
0000D9FE 0000DA19 ?GetExecutionEngine@@YGPAUIExecutionEngine@@XZ
0000DA8A 0000DAB1 ?GetRuntimeType@RuntimeTypeHandle@@SIPAVObject@@PAX@Z
0000DAB1 0000DAC9 ?Clear@StackingAllocator@@AAEXPAUStackBlock@@@Z
0000DAC9 0000DB07 ?Collapse@StackingAllocator@@QAEXPAX@Z
0000DB07 0000DB0B ?GetCleanupWorkList@DelegateTransitionFrame@@UAEPAVCleanupWorkList@@XZ
0000DB0B 0000DB25 ?RunningOnWinNT@@YGHXZ
0000DC88 0000DC8B ?PrereturnNativeFromCLR@?$DefaultMarshalOverrides@VObjectMarshalerBase@@@@UAEXPAX0@Z
0000DC8B 0000DCA3 ?GetClassCtorInfoIfExists@MethodTable@@QAEPAUClassCtorInfoEntry@@XZ
0000DCA3 0000DCCF ?GetCl@MethodTable@@QAEIXZ
0000DCCF 0000DCEA ?IsDynamicStatics@MethodTable@@QAEKXZ
0000DCEA 0000DD15 ?GetModuleForStatics@MethodTable@@QAEPAVModule@@XZ
0000DD15 0000DD3D ?GetDomainLocalModule@MethodTable@@QAEPAUDomainLocalModule@@PAVAppDomain@@@Z
0000DD3D 0000DD73 ?GetClassFlags@DomainLocalModule@@AAEHPAVMethodTable@@K@Z
0000DD73 0000DD9D ?IsClassInited@MethodTable@@QAEHPAVAppDomain@@@Z
0000DEA8 0000DEBE ?GetNumVirtuals@MethodTable@@QAEIXZ
0000DEDA 0000DEE0 ?ThePreStub@@YGPAVStub@@XZ
0000DEE0 0000DEF1 ?IfFailThrow@@YGXJ@Z
0000DEF1 0000DEFE ?IsResource@PEFile@@QAEHXZ
0000DF20 0000DF36 __alloca_probe_16
0000DF36 0000DF4C __alloca_probe_8
0000DF4C 0000DF68 ?GetPtr@ArrayListBase@@QAEPAPAXK@Z
0000DF68 0000DF8E ?Next@Iterator@ArrayListBase@@QAEHXZ
0000DF8E 0000DF96 ?IsIntrospectionOnly@DomainFile@@QAEHXZ
0000DF96 0000DFB4 ?HndAssignHandle@@YGXPAUOBJECTHANDLE__@@PAVObject@@@Z
0000DFB4 0000DFFC ?TableAllocSingleHandleFromCache@@YGPAUOBJECTHANDLE__@@PAUHandleTable@@I@Z
0000DFFC 0000E078 ?HndCreateHandle@@YGPAUOBJECTHANDLE__@@PAUHHANDLETABLE__@@IPAVObject@@J@Z
0000E08A 0000E09D ?GetCurrentThreadHomeHeapNumber@@YGHXZ
0000E09D 0000E0C0 ?HandleFetchType@@YGIPAUOBJECTHANDLE__@@@Z
0000E0C0 0000E110 ?HndWriteBarrier@@YGXPAUOBJECTHANDLE__@@PAVObject@@@Z
0000E110 0000E127 ?CreateTypedHandle@@YGPAUOBJECTHANDLE__@@PAUHHANDLETABLE__@@PAVObject@@H@Z
0000E127 0000E14D ?CreateTypedHandle@BaseDomain@@QAEPAUOBJECTHANDLE__@@PAVObject@@H@Z
0000E14D 0000E168 ?CompareExchangePointer@COMInterlocked@@SIPAXPAPAXPAX1@Z
0000E168 0000E1FA _ObjIsInstanceOfNoGC@8
0000E23C 0000E2B7 ?RegisterForFinalization@CFinalize@SVR@@QAEXHPAVObject@@I@Z
0000E2B7 0000E2CD ?SetAppDomain@Object@@QAEXPAVAppDomain@@@Z
0000E2CD 0000E2E0 ?SetAppDomain@Object@@QAEXXZ
0000E2E0 0000E2F6 ?GetArrayElementType@ArrayClass@@QAE?AW4CorElementType@@XZ
0000E2F6 0000E30F ?GetHeaderSyncBlockIndex@ObjHeader@@QAEKXZ
0000E30F 0000E33C ?EnterSpinLock@ObjHeader@@QAEXXZ
0000E353 0000E3B5 ?SetAppDomainIndex@ObjHeader@@QAEXUADIndex@@@Z
0000E3B5 0000E3C8 ?GetMethodTable@MethodDesc@@QAEPAVMethodTable@@XZ
0000E3C8 0000E3E0 ?GetMethodTable_NoLogging@MethodDesc@@QAEPAVMethodTable@@XZ
0000E3E0 0000E405 ?IsSharedByGenericInstantiations@MethodTable@@QAEHXZ
0000E405 0000E415 ?IsInstantiatingStub@MethodDesc@@QAEHXZ
0000E415 0000E42D ?IsWrapperStub@MethodDesc@@QAEHXZ
0000E42D 0000E441 ?RequiresInstMethodTableArg@MethodDesc@@QAEHXZ
0000E441 0000E468 ?IsSharedByGenericInstantiations@MethodDesc@@QAEHXZ
0000E468 0000E478 ?IsSharedByGenericMethodInstantiations@MethodDesc@@QAEHXZ
0000E478 0000E48C ?RequiresInstMethodDescArg@MethodDesc@@QAEHXZ
0000E48C 0000E4AD ?RequiresInstArg@MethodDesc@@QAEHXZ
0000E4FC 0000E500 ?RequiresManagedCleanup@DispParamCustomMarshaler@@UAEHXZ
0000E500 0000E56A ?SafeGetLength@CPackedLen@@SGJPBX0PAKPAPBX@Z
0000E56A 0000E5AC ?SafeGetData@CPackedLen@@SGJPBX0PAKPAPBX@Z
0000E5F0 0000E636 ?GetData@StgPoolReadOnly@@MAEPAEK@Z
0000E636 0000E686 ?IsValidOffset@StgBlobPoolReadOnly@@MAEHK@Z
0000E686 0000E6F9 ?GetBlob@StgPoolReadOnly@@UAEPAXKPAK@Z
0000E6F9 0000E72F ?GetInstantiation@MethodTable@@QAE?AVInstantiation@@XZ
0000E72F 0000E75D ?GetMethodInstantiation@MethodDesc@@QAE?AVInstantiation@@XZ
0000E75D 0000E786 ?HasStoredSig@MethodDesc@@QAEHXZ
0000E786 0000E7CA ?GetSig@MethodDesc@@QAEXPAPBEPAK@Z
0000E7CA 0000E7E8 ?InitTypeContext@SigTypeContext@@SGXPAVMethodDesc@@VTypeHandle@@PAV1@@Z
0000E7E8 0000E836 ?InitTypeContext@SigTypeContext@@SGXPAVMethodDesc@@PAV1@@Z
0000E86E 0000E8A0 ?CorSigEatAnyVASentinel@@YGJPAPBEKPAK@Z
0000E8A0 0000E8FA ?CorSigEatCustomModifiers@@YGJPAPBEKPAK@Z
0000E8FA 0000E944 ?CorSigEatCustomModifiersAndUncompressElementType@@YGJPAPBEKPAKPAW4CorElementType@@@Z
0000E944 0000E982 ?SkipExactlyOne@SigParser@@QAEJXZ
0000E99D 0000E9E3 ?CorSigUncompressData@@YGJPBEKPAK1@Z
0000E9E3 0000EA0D ?GetCallingConvInfo@SigParser@@QAEJPAK@Z
0000EA0D 0000EA46 ?PeekElemType@SigParser@@QBEJPAW4CorElementType@@@Z
0000EA46 0000EA90 ?PeekElemTypeClosed@SigPointer@@QBE?AW4CorElementType@@PAVModule@@PBVSigTypeContext@@@Z
0000EA90 0000EAD4 ?getSignatureOfMethod@?$CMiniMdTemplate@VCMiniMd@@@@QAEPBEPAVMethodRec@@PAK@Z
0000EAD4 0000EAFE ?GetSigOfMethodDef@MDInternalRO@@UAGPBEIPAK@Z
0000EB7C 0000EBB4 ?CorSigUncompressToken@@YGJPBEKPAIPAK@Z
0000EBB4 0000EBBA _strlen
0000EBC2 0000EBC8 _memcmp
0000EC23 0000EC4E ?InitTypeContext@SigTypeContext@@SGXPBV1@PAV1@@Z
0000EC4E 0000ED81 ??0MetaSig@@QAE@PBEKPAVModule@@PBVSigTypeContext@@HW4MetaSigKind@0@H@Z
0000ED81 0000ED91 ?GetReturnType@MetaSig@@QBE?AW4CorElementType@@XZ
0000ED91 0000ED95 ?GetReturnAddressPtr@HijackFrame@@UAEKXZ
0000EDB2 0000EDD9 ?GetStoredMethodSig@StoredSigMethodDesc@@QAEPBEPAK@Z
0000EDDE 0000EE0F ?FindDelegateInvokeMethod@COMDelegate@@SGPAVMethodDesc@@PAVMethodTable@@@Z
0000EE0F 0000EE32 ?NeedsSecureDelegate@COMDelegate@@SGHPAVAssembly@@PAVAppDomain@@PAVMethodDesc@@@Z
0000EE32 0000EEBD ??0MetaSig@@QAE@PAVMethodDesc@@VTypeHandle@@@Z
