000025A7 000025D0 KeQuerySystemTime
00004BBF 00004BD2 RtlLargeIntegerAdd
00004BD3 00004BDE RtlEnlargedIntegerMultiply
00004BDF 00004BEA RtlEnlargedUnsignedMultiply
00004BEB 00004C08 RtlEnlargedUnsignedDivide
00004C0B 00004C65 RtlExtendedLargeIntegerDivide
00004C68 00004CF6 RtlExtendedMagicDivide
00004CF8 00004D4E RtlExtendedIntegerMultiply
00004D50 00004D77 RtlLargeIntegerShiftLeft
00004D78 00004D9F RtlLargeIntegerShiftRight
00004DA0 00004DCC RtlLargeIntegerArithmeticShift
00004DCC 00004DDE RtlLargeIntegerNegate
00004DE0 00004DF3 RtlLargeIntegerSubtract
00004DF4 00004DFC RtlConvertLongToLargeInteger
00004DFC 00004E05 RtlConvertUlongToLargeInteger
00004E05 00004E24 ExAcquireFastMutexUnsafe
00004E25 00004E38 ExReleaseFastMutexUnsafe
00004E39 00004E87 ExInterlockedAddLargeInteger
00004E8A 00004EBC ExInterlockedAddUlong
00004EBE 00004EFF ExInterlockedInsertHeadList
00004F02 00004F43 ExInterlockedInsertTailList
00004F46 00004F8F ExInterlockedRemoveHeadList
00004F92 00004FC9 ExInterlockedPopEntryList
00004FCA 00004FFF ExInterlockedPushEntryList
00005002 00005013 ExInterlockedIncrementLong
00005016 00005027 ExInterlockedDecrementLong
0000502A 00005037 ExInterlockedExchangeUlong
0000503A 0000504B Exi386InterlockedIncrementLong
0000504E 0000505F Exi386InterlockedDecrementLong
00005062 0000506F Exi386InterlockedExchangeUlong
00005142 00005170 RtlCaptureContext
00005204 0000521F IoGetStackLimits
000053F0 00005530 KeWaitForSingleObject
00005589 00005641 ExReleaseResourceLite
00005852 00005924 KiDispatchInterrupt
00005DF1 00005E80 KiDeliverApc
00007219 00007385 Kei386EoiHelper
0000A129 0000A148 KiCoprocessorError
0000A2DD 0000A2FC ExInterlockedFlushSList
0000A2FD 0000A31A InterlockedPopEntrySList
0000A31D 0000A321 ExInterlockedPushEntrySList
0000A321 0000A33F InterlockedPushEntrySList
0000A397 0000A39D IofCallDriver
0000A4D4 0000A61B KeDelayExecutionThread
0000A7AD 0000A7B3 IofCompleteRequest
0000A900 0000A94B ObfDereferenceObject
0000A950 0000A9C3 ExAcquireResourceSharedLite
0000AA03 0000AB85 KeWaitForMultipleObjects
0000AC90 0000AE5B MmCreateSection
0000AF46 0000AF97 MmIsAddressValid
0000B079 0000B0D9 KeSetEvent
0000B0DE 0000B13A KeSetTimerEx
0000B13F 0000B15B KeSetTimer
0000B184 0000B2DC KeRemoveQueue
0000B3E7 0000B3F4 KeInitializeSpinLock
0000B3F7 0000B40B KefAcquireSpinLockAtDpcLevel
0000B40B 0000B425 KeAcquireSpinLockAtDpcLevel
0000B438 0000B43C KefReleaseSpinLockFromDpcLevel
0000B43C 0000B446 KeReleaseSpinLockFromDpcLevel
0000B448 0000B45C KiAcquireSpinLock
0000B468 0000B46C KiReleaseSpinLock
0000B4E8 0000B4F3 KeAcquireInStackQueuedSpinLockAtDpcLevel
0000B520 0000B524 KeReleaseInStackQueuedSpinLockFromDpcLevel
0000B57B 0000B5D8 KdPollBreakIn
0000B5D8 0000B761 KeUpdateSystemTime
0000B764 0000B8BD KeUpdateRunTime
0000B8BE 0000B8C6 KeProfileInterrupt
0000B8C6 0000BA34 KeProfileInterruptWithSource
0000BA36 0000BA38 DbgBreakPoint
0000BA3E 0000BA46 DbgBreakPointWithStatus
0000BB9C 0000BBB0 _CIsqrt
0000BE73 0000BEAE __SEH_prolog
0000BEAE 0000BEBF __SEH_epilog
0000BEC8 0000BFAE _except_handler3
0000BFC9 0000BFE9 _global_unwind2
0000C024 0000C094 _local_unwind2
0000C094 0000C0B7 _abnormal_termination
0000C0DE 0000C19A ExRaiseException
0000C19C 0000C1A6 ExRaiseStatus
0000C29A 0000C2AE ZwAccessCheckAndAuditAlarm
0000C326 0000C33A ZwAddBootEntry
0000C34E 0000C362 ZwAdjustPrivilegesToken
0000C376 0000C38A ZwAlertThread
0000C3C6 0000C3DA ZwAllocateVirtualMemory
0000C3EE 0000C402 ZwAssignProcessToJobObject
0000C42A 0000C43E ZwCancelIoFile
0000C43E 0000C452 ZwCancelTimer
0000C452 0000C466 ZwClearEvent
0000C466 0000C47A ZwClose
0000C47A 0000C48E ZwCloseObjectAuditAlarm
0000C4DE 0000C4F2 ZwConnectPort
0000C51A 0000C52E ZwCreateDirectoryObject
0000C52E 0000C542 ZwCreateEvent
0000C556 0000C56A ZwCreateFile
0000C57E 0000C592 ZwCreateJobObject
0000C5A6 0000C5BA ZwCreateKey
0000C65A 0000C66E ZwCreateSection
0000C682 0000C696 ZwCreateSymbolicLinkObject
0000C6AA 0000C6BE ZwCreateTimer
0000C736 0000C74A ZwDeleteBootEntry
0000C74A 0000C75E ZwDeleteFile
0000C75E 0000C772 ZwDeleteKey
0000C786 0000C79A ZwDeleteValueKey
0000C79A 0000C7AE ZwDeviceIoControlFile
0000C7AE 0000C7C2 ZwDisplayString
0000C7C2 0000C7D6 ZwDuplicateObject
0000C7D6 0000C7EA ZwDuplicateToken
0000C7EA 0000C7FE ZwEnumerateBootEntries
0000C7FE 0000C812 ZwEnumerateKey
0000C826 0000C83A ZwEnumerateValueKey
0000C88A 0000C89E ZwFlushInstructionCache
0000C89E 0000C8B2 ZwFlushKey
0000C8B2 0000C8C6 ZwFlushVirtualMemory
0000C8EE 0000C902 ZwFreeVirtualMemory
0000C902 0000C916 ZwFsControlFile
0000C9B6 0000C9CA ZwInitiatePowerAction
0000C9CA 0000C9DE ZwIsProcessInJob
0000CA06 0000CA1A ZwLoadDriver
0000CA1A 0000CA2E ZwLoadKey
0000CAA6 0000CABA ZwMakeTemporaryObject
0000CAE2 0000CAF6 ZwMapViewOfSection
0000CB1E 0000CB32 ZwNotifyChangeKey
0000CB46 0000CB5A ZwOpenDirectoryObject
0000CB5A 0000CB6E ZwOpenEvent
0000CB82 0000CB96 ZwOpenFile
0000CBAA 0000CBBE ZwOpenJobObject
0000CBBE 0000CBD2 ZwOpenKey
0000CBFA 0000CC0E ZwOpenProcess
0000CC0E 0000CC22 ZwOpenProcessToken
0000CC22 0000CC36 ZwOpenProcessTokenEx
0000CC36 0000CC4A ZwOpenSection
0000CC5E 0000CC72 ZwOpenSymbolicLinkObject
0000CC72 0000CC86 ZwOpenThread
0000CC86 0000CC9A ZwOpenThreadToken
0000CC9A 0000CCAE ZwOpenThreadTokenEx
0000CCAE 0000CCC2 ZwOpenTimer
0000CCD6 0000CCEA ZwPowerInformation
0000CD3A 0000CD4E ZwPulseEvent
0000CD62 0000CD76 ZwQueryBootEntryOrder
0000CD76 0000CD8A ZwQueryBootOptions
0000CD9E 0000CDB2 ZwQueryDefaultLocale
0000CDB2 0000CDC6 ZwQueryDefaultUILanguage
0000CDC6 0000CDDA ZwQueryDirectoryFile
0000CDDA 0000CDEE ZwQueryDirectoryObject
0000CDEE 0000CE02 ZwQueryEaFile
0000CE16 0000CE2A ZwQueryFullAttributesFile
0000CE3E 0000CE52 ZwQueryInformationFile
0000CE52 0000CE66 ZwQueryInformationJobObject
0000CE7A 0000CE8E ZwQueryInformationProcess
0000CE8E 0000CEA2 ZwQueryInformationThread
0000CEA2 0000CEB6 ZwQueryInformationToken
0000CEB6 0000CECA ZwQueryInstallUILanguage
0000CEF2 0000CF06 ZwQueryKey
0000CF2E 0000CF42 ZwQueryObject
0000CF7E 0000CF92 ZwQuerySection
0000CF92 0000CFA6 ZwQuerySecurityObject
0000CFBA 0000CFCE ZwQuerySymbolicLinkObject
0000CFF6 0000D00A ZwQuerySystemInformation
0000D046 0000D05A ZwQueryValueKey
0000D06E 0000D082 ZwQueryVolumeInformationFile
0000D0BE 0000D0D2 ZwReadFile
0000D186 0000D19A ZwReplaceKey
0000D212 0000D226 ZwRequestWaitReplyPort
0000D23A 0000D24E ZwResetEvent
0000D262 0000D276 ZwRestoreKey
0000D29E 0000D2B2 ZwSaveKey
0000D2B2 0000D2C6 ZwSaveKeyEx
0000D2EE 0000D302 ZwSetBootEntryOrder
0000D302 0000D316 ZwSetBootOptions
0000D352 0000D366 ZwSetDefaultLocale
0000D366 0000D37A ZwSetDefaultUILanguage
0000D37A 0000D38E ZwSetEaFile
0000D38E 0000D3A2 ZwSetEvent
0000D3F2 0000D406 ZwSetInformationFile
0000D406 0000D41A ZwSetInformationJobObject
0000D42E 0000D442 ZwSetInformationObject
0000D442 0000D456 ZwSetInformationProcess
0000D456 0000D46A ZwSetInformationThread
0000D4F6 0000D50A ZwSetSecurityObject
0000D532 0000D546 ZwSetSystemInformation
0000D55A 0000D56E ZwSetSystemTime
0000D582 0000D596 ZwSetTimer
0000D5BE 0000D5D2 ZwSetValueKey
0000D5D2 0000D5E6 ZwSetVolumeInformationFile
0000D672 0000D686 ZwTerminateJobObject
0000D686 0000D69A ZwTerminateProcess
0000D6D6 0000D6EA ZwTranslateFilePath
0000D6EA 0000D6FE ZwUnloadDriver
0000D6FE 0000D712 ZwUnloadKey
0000D74E 0000D762 ZwUnmapViewOfSection
0000D78A 0000D79E ZwWaitForMultipleObjects
0000D79E 0000D7B2 ZwWaitForSingleObject
0000D7DA 0000D7EE ZwWriteFile
0000D82A 0000D83C ZwYieldExecution
0000E050 0000E097 RtlCompareMemory
0000E0A0 0000E0C1 RtlCompareMemoryUlong
0000E0D0 0000E101 RtlFillMemory
0000E140 0000E156 RtlFillMemoryUlong
0000E160 0000E184 RtlZeroMemory
0000E190 0000E1D3 RtlMoveMemory
0000E501 0000E502 RtlPrefetchMemoryNonTemporal
0000E580 0000E58C ExInterlockedAddLargeStatistic
0000E58C 0000E5B6 ExfInterlockedAddUlong
0000E5B8 0000E5EE ExfInterlockedInsertHeadList
0000E5F0 0000E627 ExfInterlockedInsertTailList
0000E628 0000E659 ExfInterlockedRemoveHeadList
0000E65C 0000E68A ExfInterlockedPopEntryList
0000E68C 0000E6C0 ExfInterlockedPushEntryList
0000E6C0 0000E6CB Exfi386InterlockedIncrementLong
0000E6CC 0000E6D7 Exfi386InterlockedDecrementLong
0000E6D8 0000E6DD InterlockedExchange
0000E6E0 0000E6EB InterlockedIncrement
0000E6EC 0000E6F7 InterlockedDecrement
0000E6F8 0000E703 InterlockedCompareExchange
0000E704 0000E720 ExfInterlockedCompareExchange64
0000E720 0000E73C ExInterlockedCompareExchange64
0000E73C 0000E743 InterlockedExchangeAdd
0000E743 0000E757 _CIcos
0000E7FC 0000E810 _CIsin
0000E8AC 0000E92B strstr
0000E93B 0000E9F9 strchr
0000EA0E 0000EA14 KeQueryTimeIncrement
0000EA74 0000EA84 KeClearEvent
0000EA89 0000EAB8 KeInsertQueue
0000EC0B 0000EC30 IoStartNextPacket
0000EC35 0000EC37 KeQueryInterruptTime
0000EC69 0000ECBA KeInitializeApc
0000ECBF 0000ED35 KeInsertQueueApc
0000ED77 0000ED7E PsGetCurrentThread
0000ED8B 0000ED9A KeReadStateSemaphore
0000EE06 0000EE10 PsGetCurrentProcess
0000EF69 0000EFAF KeInsertByKeyDeviceQueue
0000EFB4 0000EFEB KeRemoveDeviceQueue
0000EFF0 0000F029 KeRemoveByKeyDeviceQueue
0000F02E 0000F06C KeInsertDeviceQueue
0000F071 0000F0D9 IoStartPacket
0000F0FC 0000F134 IoCsqRemoveNextIrp
0000F195 0000F1BF KeCancelTimer
0000F24F 0000F27A IoQueueWorkItem
0000F88C 0000F939 KeSetEventBoostPriority
0000F967 0000F974 PsGetCurrentProcessId
0000FB9A 0000FBAC PsGetThreadWin32Thread
0000FBE9 0000FBF8 KeReadStateTimer
00010D18 00010D2A PsGetThreadProcessId
00010D2F 00010D41 PsGetThreadId
00010D88 00010DB1 KeInitializeDpc
00010DB6 00010DDA KeInitializeEvent
000110F0 00011141 _wcsicmp
0001118D 000111A2 IoReleaseCancelSpinLock
000111A7 000111BE IoAcquireCancelSpinLock
000113BE 000113CB PsGetCurrentThreadId
000113D0 000113E2 PsGetThreadProcess
00011400 00011442 IoGetRelatedDeviceObject
00011447 00011460 IoGetAttachedDevice
00011465 0001147D IoSetTopLevelIrp
00011482 0001148F IoGetTopLevelIrp
000114D8 000114F0 KeReleaseMutex
000114F5 0001151B KeResetEvent
000116C5 0001174D PsReturnPoolQuota
00011752 00011812 ExAllocatePoolWithQuotaTag
00011817 000118AB PsChargeProcessPoolQuota
000118C1 000118E8 KeInitializeSemaphore
0001209E 00012105 KeReleaseSemaphore
000121DD 00012202 ExFreeToPagedLookasideList
00012207 00012227 ExAllocateFromPagedLookasideList
000123FF 0001241F FsRtlCheckOplock
00012450 00012482 IoSetThreadHardErrorMode
00012BC5 00012C55 KeFlushEntireTb
00012E62 00012EBA ExDeleteResourceLite
00012EBF 00012F05 ExInitializeResourceLite
000130CD 00013106 wcscmp
00013150 00013162 PsGetThreadFreezeCount
00013459 00013468 PsGetCurrentProcessSessionId
00013479 00013493 wcslen
00013498 000134AA PsGetProcessPeb
00013571 000135A4 ObReferenceObjectByPointer
00013975 000139B6 RtlClearBits
00013CC3 00013CF1 IoReleaseRemoveLockEx
00013CF6 00013D23 IoAcquireRemoveLockEx
00013F32 00013F3E IoFreeIrp
00013F8D 00013F99 IoAllocateIrp
00013F9E 00013FCF IoIsOperationSynchronous
00013FE2 00014034 ExIsResourceAcquiredSharedLite
000151EC 00015236 KeSetPriorityThread
000152FA 000153C5 KeTerminateThread
000154CB 000154DE KeInitializeTimer
000154E3 00015514 KeInitializeTimerEx
000157FB 0001580D KeSetImportanceDpc
000158E5 00015980 FsRtlGetNextLargeMcbEntry
000159B3 000159EB DeferredRoutine
000159F0 00015A0A FsRtlResetLargeMcb
00015CE5 00015D93 FsRtlLookupLargeMcbEntry
00015E28 00015EB2 IoReuseIrp
00015EB7 000160CB CcFlushCache
000162ED 0001630F IoGetBaseFileSystemDeviceObject
00016965 0001698E KeQueryTickCount
00016D81 00016E31 IoAllocateMdl
00016E36 00016E87 IoFreeMdl
00016E8C 00016F17 MmBuildMdlForNonPagedPool
00016F1C 00017083 MmMapLockedPagesSpecifyCache
00017088 000170FD MmUnmapLockedPages
00017102 000171B5 IoBuildPartialMdl
00017BE6 00017C99 IoSynchronousPageWrite
0001800B 000180FF MmSetAddressRangeModified
00018348 00018395 ExAcquireSharedStarveExclusive
0001839A 000183C4 ExDisableResourceBoostLite
00018418 0001852F CcSetDirtyPinnedData
00018BE4 00018C2D ExSetResourceOwnerPointer
00018EF4 00018F5D ExReleaseResourceForThreadLite
00018FE4 000190CD CcGetDirtyPages
000193CD 0001940C RtlSetBits
0001941D 00019623 RtlFindClearBits
000197BB 00019849 PsChargeProcessNonPagedPoolQuota
00019A10 00019A1F PsGetThreadTeb
00019A78 00019AA6 RtlFindClearBitsAndSet
00019B95 00019BB5 RtlSetBit
0001A3F9 0001A47A PsReturnProcessNonPagedPoolQuota
0001A595 0001A5E9 KeAttachProcess
0001A5EE 0001A689 KeDetachProcess
0001A6F5 0001A709 PsIsThreadTerminating
0001A70E 0001A73F RtlRealSuccessor
0001B899 0001B8DC ExIsResourceAcquiredExclusiveLite
0001BAA9 0001BAEE CcRemapBcb
0001BAF3 0001BB42 ExAcquireSharedWaitForExclusive
0001BD81 0001BDDD RtlCopyUnicodeString
0001BF91 0001BFC9 RtlDelete
0001C42D 0001C502 RtlSplay
0001C6B9 0001C6D8 wcscpy
0001C80C 0001C869 FsRtlLookupPerStreamContextInternal
0001CC4E 0001CC8F ExAllocatePoolWithTagPriority
0001CF95 0001CFF4 KeStackAttachProcess
0001CFF9 0001D0C8 KeUnstackDetachProcess
0001D1AC 0001D1BE PsGetProcessWin32WindowStation
0001D1C3 0001D1D5 PsGetProcessJob
0001D301 0001D31B IoGetRequestorProcess
0001D355 0001D46D KeSaveFloatingPointState
0001D472 0001D544 KeRestoreFloatingPointState
0001D583 0001D5A7 FsRtlCheckLockForReadAccess
0001D5AC 0001D5C8 KeSetKernelStackSwapEnable
0001D754 0001D773 PsChargePoolQuota
0001E110 0001E467 CcInitializeCacheMap
0001E46C 0001E482 CcSetReadAheadGranularity
0001E540 0001E693 CcUninitializeCacheMap
0001E6C1 0001E6DF FsRtlFastUnlockAll
0001EBAE 0001EBD8 RtlLookupElementGenericTableFullAvl
0001EEE9 0001EF59 RtlAppendUnicodeToString
0001F089 0001F150 PsReturnProcessPagedPoolQuota
0001F2F7 0001F388 PsChargeProcessPagedPoolQuota
0001FBCF 0001FE80 MmProbeAndLockPages
0001FE85 0001FF6D MmUnlockPages
000200DE 00020120 MmFlushImageSection
0002016D 000201A8 MmCanFileBeTruncated
00020262 00020286 FsRtlFastCheckLockForRead
00020562 00020678 CcSetFileSizes
0002086F 000208B2 CcGetFlushedValidData
00020B9C 00020C01 RtlAppendUnicodeStringToString
00020D56 00020DD0 CcPurgeCacheSection
00020E3A 00020E5A FsRtlCheckLockForWriteAccess
00020E5F 00020E7E FsRtlInitializeFileLock
00020E83 00020F28 FsRtlAddLargeMcbEntry
00021325 00021339 IoIsFileOriginRemote
0002133E 000213EF CcCanIWrite
00021618 00021720 CcCopyWrite
00021F11 00021F96 RtlAreBitsClear
00021F9B 00021FF3 FsRtlTruncateLargeMcb
00022026 0002208A RtlAreBitsSet
000220DE 00022166 FsRtlLookupLastLargeMcbEntry
00022191 000221B6 FsRtlNumberOfRunsInLargeMcb
00022784 000227A0 MmMapLockedPages
000229AB 000229C7 FsRtlUninitializeFileLock
00022A70 00022A95 ExLocalTimeToSystemTime
00022A9A 00022AD1 ExConvertExclusiveToSharedLite
00022B31 00022B50 IoGetRequestorProcessId
00023094 00023097 nullsub_1
000230BC 000231E4 MmGrowKernelStack
00023321 00023370 RtlImageNtHeader
0002339E 000233B0 PsGetProcessSectionBaseAddress
000237BC 000237F0 KeInitializeMutant
000238C9 000238DB PsGetProcessId
000239F0 00023A42 MmCreateMdl
00023BE9 00023C27 MmDisableModifiedWriteOfSection
00023C79 00023C9E MmSizeOfMdl
000241DC 000241FB IoPageRead
000249DE 00024A48 _strnicmp
00024A4D 00024A8A RtlEnumerateGenericTableWithoutSplaying
00024A8F 00024A9E RtlNumberGenericTableElements
00024AE5 00024B1F RtlInsertElementGenericTableFull
00024B24 00024B51 RtlInsertElementGenericTable
00024BBB 00024C45 RtlInsertElementGenericTableFullAvl
00024C4A 00024CD4 FsRtlInitializeLargeMcb
00024CFC 00024D41 FsRtlInsertPerStreamContext
00025192 000251E0 RtlDeleteElementGenericTableAvl
00025211 00025232 FsRtlUninitializeOplock
00025257 000252B4 ExReinitializeResourceLite
000252B9 000252FC FsRtlUninitializeLargeMcb
00025456 00025474 RtlSubtreePredecessor
000254EA 00025547 _wcsnicmp
0002554C 000255F0 IoBuildAsynchronousFsdRequest
00025643 00025683 wcsncpy
00025A01 00025A5C swprintf
00025F5F 00025F99 mbtowc
00026231 00026353 RtlUnwind
00026538 00026573 FsRtlRemoveLargeMcbEntry
000271EA 00027209 wcschr
0002720E 00027219 PsGetProcessSessionId
00027243 00027287 RtlImageDirectoryEntryToData
00027840 00027886 KeInitializeQueue
00027939 00027957 FsRtlFreeFileLock
0002795C 0002799B KeRundownQueue
00027B18 00027B50 IoQueueThreadIrp
00027B55 00027B68 IoFreeWorkItem
00027B6D 00027B9B IoAllocateWorkItem
000286B6 0002871D wcsstr
0002873E 00028750 PsGetProcessInheritedFromUniqueProcessId
00028755 00028786 RtlInitializeGenericTableAvl
00029A33 00029A53 RtlEnumerateGenericTableAvl
00029A58 00029A70 RtlEnumerateGenericTableWithoutSplayingAvl
00029A75 00029AD8 FsRtlProcessFileLock
00029E7C 00029EAE RtlSecondsSince1970ToTime
00029EF8 00029F2A MmForceSectionClosed
0002A00B 0002A029 FsRtlGetNextFileLock
0002A29C 0002A2D3 wcsncmp
0002AA68 0002AAB5 _vsnprintf
0002ADC0 0002AEA2 vDbgPrintExWithPrefix
0002AEB9 0002AED5 DbgPrint
0002B27F 0002B38B CcScheduleReadAhead
0002B3FA 0002B43B CcSetAdditionalCacheAttributes
0002C561 0002C60F RtlFindLastBackwardRunClear
0002C614 0002C654 RtlNumberOfClearBits
0002C6DA 0002C724 RtlEqualString
0002C8C0 0002C8D5 FsRtlIsTotalDeviceFailure
0002C8F0 0002C902 PsGetProcessDebugPort
0002C9F2 0002CC36 RtlFindClearRuns
0002DD82 0002DE05 MmAllocateContiguousMemorySpecifyCache
0002DEC9 0002DF0C MmFreeContiguousMemory
0002E036 0002E0A5 MmGetPhysicalAddress
0002E398 0002E484 MmCommitSessionMappedView
0002E489 0002E5B6 IoReportTargetDeviceChangeAsynchronous
0002E60D 0002E662 PoRegisterDeviceForIdleDetection
0002E710 0002E781 IoDeleteDevice
0002E7DA 0002E81D IoGetDriverObjectExtension
0002E880 0002E897 IoAcquireVpbSpinLock
0002E89C 0002E8B1 IoReleaseVpbSpinLock
0002ED8D 0002EDDE IoInvalidateDeviceRelations
0002F1CE 0002F21D sprintf
0002F222 0002F256 wctomb
0002F276 0002F2AA wcsrchr
0002F2C1 0002F307 DbgLoadImageSymbols
0002F5D1 0002F5E0 RtlNumberGenericTableElementsAvl
0002F608 0002F61C RtlIsGenericTableEmptyAvl
0002F621 0002F64F KeInitializeDeviceQueue
0002FBA6 0002FBBC IoAttachDeviceToDeviceStack
0002FD08 0002FD6A KeSetSystemAffinityThread
0002FD6F 0002FDB8 KeRevertToUserAffinityThread
0002FF29 000300B3 RtlTimeFieldsToTime
00030119 000301CD PoStartNextPowerIrp
00030253 00030300 PoCallDriver
00030305 00030417 PoRequestPowerIrp
00030C35 00030C7C toupper
00030C81 00030CBD IoStopTimer
00030DD5 00030ECA PoSetPowerState
00030F74 00030FD1 IoDetachDevice
000315EE 0003188A MmProbeAndLockSelectedPages
000318E1 000318E7 KeGetRecommendedSharedDataAlignment
000318F9 00031915 IoSetHardErrorOrVerifyDevice
0003191A 00031920 MmQuerySystemSize
000319D0 00031A4B ExInitializeNPagedLookasideList
00031A50 00031A99 IoStartTimer
00031B8A 00031BA3 PsGetThreadHardErrorsAreDisabled
00031BA8 00031BCE PsSetThreadHardErrorsAreDisabled
00031D76 00031DB7 IoGetLowerDeviceObject
00031E0A 00031E40 IoGetDeviceAttachmentBaseRef
00031E53 00031E78 IoAttachDeviceToDeviceStackSafe
00032111 00032150 wcsncat
000321B3 000321DB IoFreeController
000321E0 00032224 IoAllocateController
0003227D 00032280 nullsub_2
0003247A 0003256A IoWMIWriteEvent
000325D7 000325E9 PsGetJobUIRestrictionsClass
00032625 0003262B MmIsThisAnNtAsSystem
00032643 00032657 KeSetTargetProcessorDpc
000326C6 000326FF RtlInitializeGenericTable
0003294B 000329E7 IoAllocateDriverObjectExtension
000329EC 00032A28 IoCsqInitialize
00032A2D 00032A66 VerSetConditionMask
00032A9C 00032C0B RtlVerifyVersionInfo
00032C10 00032C71 ExInitializeZone
00032C89 00032C9E KeIsAttachedProcess
00032F67 00032F6D HalSystemVectorDispatchEntry
00032FA8 0003301E KeDisconnectInterrupt
00033032 000330C5 KeInitializeInterrupt
000330CA 00033181 KeConnectInterrupt
0003324E 000332C7 IoEnumerateDeviceObjectList
000332CC 0003330D IoGetDiskDeviceObject
00033321 00033333 IoGetDeviceToVerify
00033338 0003334D IoSetDeviceToVerify
00033352 00033380 FsRtlIsNtstatusExpected
00033385 000333A1 FsRtlNormalizeNtstatus
00033411 000334A8 IoRaiseHardError
000334AD 000335B6 IoCreateStreamFileObjectEx
00033816 00033864 _snprintf
000338E3 000339D1 RtlTimeToTimeFields
0003415C 000343B6 qsort
00034434 00034450 IoWMIHandleToInstanceName
000344B0 000344BD InbvCheckDisplayOwnership
000344C2 00034515 StartRoutine
00034544 0003456D _wcsupr
00034572 000346A1 MmMapIoSpace
000346BE 000346C4 VidCleanUp
000346C9 00034713 MmUnmapIoSpace
00034872 000348C0 vsprintf
00034A25 00034A47 RtlSetAllBits
00034A59 00034A74 ExIsProcessorFeaturePresent
00034A87 00034AC7 IoInvalidateDeviceState
00034B15 00034B45 IoAllocateErrorLogEntry
00034BF8 00034D70 RtlIpv4StringToAddressW
00034D75 00034DE1 IoWriteErrorLogEntry
000351CA 0003520C InbvNotifyDisplayOwnershipLost
0003538A 000353CD MmAllocateContiguousMemory
00035FF7 00035FFD VidBufferToScreenBlt
00036002 00036008 VidBitBlt
0003600D 00036013 VidSolidColorFill
0003605C 000360EC ExRegisterCallback
000361BA 000361FE InbvEnableBootDriver
000362A0 000362F3 HeadlessDispatch
000362F8 00036367 InbvDisplayString
000363CB 000363D1 VidDisplayString
000363F3 000364CA HalExamineMBR
000364CF 000364E6 InbvEnableDisplayString
00036522 0003653B ExAllocatePool
00036669 000366AF RtlCopyString
00036990 000369F5 IoSetCompletionRoutineEx
00036AD2 00036B59 KeRegisterBugCheckCallback
00036BCD 00036C24 Ke386QueryIoAccessMap
00036C29 00036CA0 Ke386IoSetAccessProcess
00036CC7 00036D71 Ke386SetIoAccessMap
00037090 000370BC ExVerifySuite
000370C1 0003713A KeRegisterBugCheckReasonCallback
000371CD 000371E9 MmIsDriverVerifying
00037306 00037332 IoSetStartIoAttributes
00039691 000396E5 FsRtlRegisterFileSystemFilterCallbacks
000397C1 00039845 IoReadDiskSignature
