0000A066 0000A092 _CcCopyReadExceptionFilter@8
0001623C 00016382 _FsFilterPerformCallbacks@16
00016388 000163C6 _FsFilterPerformCompletionCallbacks@8
000163CC 00016463 _FsFilterInit@0
00016468 00016504 _FsFilterAllocateCompletionStack@12
0001650A 0001658A _FsFilterCtrlInit@24
00016590 0001673F _FsRtlCreateSectionForDataScan@40
00016744 000167B9 _FsRtlLookupPerStreamContextInternal@12
000167BE 00016849 _FsRtlLookupPerFileObjectContext@12
0001684E 000168EA _FsRtlRemovePerFileObjectContext@12
000168F0 000168FB _FsRtlIsPagingFile@4
00016900 00016945 _FsRtlInsertPerStreamContext@8
0001694A 000169DB _FsRtlRemovePerStreamContext@12
000169E0 00016AA7 _FsRtlInsertPerFileObjectContext@8
00016AAC 00016D50 _FsRtlCancelNotify@8
00016D56 00016DCC _FsRtlNotifySetCancelRoutine@8
00016DD2 00016E24 _FsRtlStackOverflowRead@4
00016E2A 00016E81 _FsRtlWorkerThread@4
00016E88 00016EFB _FsRtlpPostStackOverflow@16
00016F00 00016F19 _FsRtlPostStackOverflow@12
00016F1E 00016F37 _FsRtlPostPagingFileStackOverflow@12
00016F3C 00017022 @HalExamineMBR@16
00017028 00017130 @xHalGetPartialGeometry@12
00017136 00017139 @xHalHandlerForBus@8
0001713E 00017144 _xHalInitPnpDriver@0
0001714A 00017152 _xHalInitPowerManagement@8
00017158 00017160 _xHalEndMirroring@4
00017166 0001716E _xHalMirrorPhysicalMemory@16
00017174 00017182 _xHalTranslateBusAddress@24
00017188 0001718C _xHalHaltSystem@0
00017192 0001719A _xKdSetupPciDeviceForDebugging@8
000171A0 000171A8 _xKdReleasePciDeviceForDebugging@4
000171AE 000171B3 _xKdGetAcpiTablePhase0@8
000171B8 000171B9 @xHalReferenceHandler@4
000171BE 000171CA _xHalVectorToIDTEntry@4
000171D0 000171D3 _xKdUnmapVirtualAddress@8
000171D8 000172C7 _IoReadDiskSignature@12
000172CC 00017307 _InbvAcquireLock@0
0001730C 0001732F _InbvReleaseLock@0
00017334 00017383 _InbvEnableBootDriver@4
00017388 0001739F _InbvEnableDisplayString@4
000173A4 000173AA _InbvIsBootDriverInstalled@0
000173B0 000173CF _InbvResetDisplay@0
000173D4 000173F5 _InbvScreenToBufferBlt@24
000173FA 0001741B _InbvBufferToScreenBlt@24
00017420 00017453 _InbvBitBlt@12
00017458 000174D8 _InbvSolidColorFill@20
000174DE 0001753E _InbvSetTextColor@4
00017544 00017555 _InbvInstallDisplayStringFilter@4
0001755A 000175C5 _InbvDisplayString@4
000175CA 000175EA _InbvSetProgressBarCoordinates@8
000175F0 00017669 _InbvUpdateProgressBar@4
0001766E 00017698 _InbvSetProgressBarSubset@8
0001769E 000176BD _InbvGetResourceAddress@4
000176C2 00017712 _InbvNotifyDisplayOwnershipLost@4
00017718 00017738 _InbvAcquireDisplayOwnership@0
0001773E 00017758 _InbvSetDisplayOwnership@4
0001775E 0001776B _InbvCheckDisplayOwnership@0
00017770 00017776 _InbvGetDisplayState@0
0001777C 00017787 _InbvSetScrollRegion@16
0001778C 00017791 _ExpOkayToLockRoutine@4
00017796 000177B1 _ExpAcquireLockRoutine@4
000177B6 000177CD _ExpReleaseLockRoutine@4
000177D6 0001781C _DisplayFilter@4
00017822 00017A46 _DisplayBootBitmap@4
00017A4C 00017B17 _RotBarInit@0
00017B1C 00017B88 _FadePalette@4
00017B8E 00017BF9 _FadePaletteColor@8
00017BFE 00017DDB _RotBarUpdate@0
00017DE0 00017DEE _InbvRotBarInit@0
00017DF4 00017E47 _InbvRotateGuiBootDisplay@4
00017E4C 00017E7B _FinalizeBootLogo@0
00017E80 00017E97 _IoAcquireCancelSpinLock@4
00017E9C 00017EB3 _IoAcquireVpbSpinLock@4
00017EB8 00017EE6 _IoAllocateAdapterChannel@20
00017EEC 00017FA1 _IoAllocateDriverObjectExtension@16
00017FA6 00018045 _IopAllocateErrorLogEntry@12
0001804A 0001808A _IoFreeErrorLogEntry@4
00018090 0001809C _IoAllocateIrp@8
000180A2 00018159 _IoBuildPartialMdl@16
0001815E 00018191 @IopfCallDriver@8
00018196 0001819C @IofCallDriver@8
000181A2 000181DE _IoCheckQuerySetFileInformation@12
000181E4 00018220 _IoCheckQuerySetVolumeInformation@12
00018226 0001822C @IofCompleteRequest@8
00018232 0001827E _IopInsertRemoveDevice@12
00018284 000183A5 _IoCreateStreamFileObjectEx@12
000183AA 000183EB _IopRemoveTimerFromTimerList@4
000183F0 00018455 _IoDetachDevice@4
0001845A 0001848B _IoFreeController@4
00018490 0001849C _IoFreeIrp@4
000184A2 00018596 _IopFreeIrp@4
0001859C 0001860F _IoFreeMdl@4
00018614 0001862B _IoGetAttachedDevice@4
00018630 00018666 _IoGetAttachedDeviceReference@4
0001866C 000186A0 _IoGetBaseFileSystemDeviceObject@4
000186A6 000186B8 _IoGetDeviceToVerify@4
000186BE 00018701 _IoGetDriverObjectExtension@8
00018706 00018710 _IoGetInitialStack@0
00018716 0001874C _IoComputeDesiredAccessFileObject@8
00018752 000187BD _IoGetRelatedDeviceObject@4
000187C2 000187DC _IoGetRequestorProcess@4
000187E2 000187EF _IoGetTopLevelIrp@0
000187F4 0001886D _IoInitializeIrp@12
00018872 000188FC _IoReuseIrp@8
00018902 00018931 _IoIsOperationSynchronous@4
00018936 00018A7E _IoMakeAssociatedIrp@8
00018A84 00018B7E _IopPageReadInternal@24
00018B84 00018BA3 _IoPageRead@20
00018BA8 00018BE0 _IoQueueThreadIrp@4
00018BE6 00018C75 _IopCheckHardErrorsDisabled@4
00018C7A 00018D62 _IoRaiseHardError@12
00018D68 00018FCE _IoRaiseInformationalHardError@12
00018FD4 00018FE9 _IoReleaseCancelSpinLock@4
00018FEE 00019003 _IoReleaseVpbSpinLock@4
00019008 0001901D _IoSetDeviceToVerify@8
00019022 0001903E _IoSetHardErrorOrVerifyDevice@8
00019044 00019076 _IoSetThreadHardErrorMode@4
0001907C 00019094 _IoSetTopLevelIrp@4
0001909A 00019106 _IopStartNextPacket@8
0001910C 0001917B _IopStartNextPacketByKey@12
00019180 00019231 _IoStartPacket@16
00019236 000192DA _IopStartNextPacketByKeyEx@12
000192E0 0001931C _IoStartNextPacket@8
00019322 00019362 _IoStartNextPacketByKey@12
00019368 00019394 _IoSetStartIoAttributes@12
0001939A 000193E3 _IoStartTimer@4
000193E8 00019424 _IoStopTimer@4
0001942A 000194E0 _IoSynchronousPageWrite@20
000194E6 000194F8 _IoThreadToProcess@4
000194FE 000195BB _IoWriteErrorLogEntry@4
000195C0 000195D5 _IoCallDriver@8
000195DA 000195EF _IoCompleteRequest@8
000195F4 00019626 _IoGetRequestorSessionId@8
0001962C 00019655 _IopUpdateOtherOperationCount@0
0001965A 00019683 _IopUpdateReadOperationCount@0
00019688 000196B1 _IopUpdateWriteOperationCount@0
000196B6 000196EF _IopUpdateOtherTransferCount@4
000196F4 0001972D _IopUpdateReadTransferCount@4
00019732 0001976B _IopUpdateWriteTransferCount@4
00019770 000197C6 _IoRetryIrpCompletions@0
000197CC 000197EB _IoAsynchronousPageRead@20
000197F0 00019826 _IopUnloadSafeCompletion@12
0001982C 00019894 _IoSetCompletionRoutineEx@28
0001989A 000198E0 _IoGetLowerDeviceObject@4
000198E6 0001995D _IoEnumerateDeviceObjectList@16
00019962 00019998 _IoGetDeviceAttachmentBaseRef@4
0001999E 00019A04 _IoGetDiskDeviceObject@8
00019A3C 00019B6B _IoSetSystemPartition@4
00019B70 00019B84 _IoIsFileOriginRemote@4
00019B8A 00019BCF _IoSetFileOrigin@8
00019BD4 00019BED _IoGetFileObjectFilterContext@4
00019BF2 00019C34 _IoChangeFileObjectFilterContext@12
00019C3A 00019C5B _IoIsDeviceEjectable@4
00019C60 00019CB1 _IoValidateDeviceIoControlAccess@8
00019CB6 00019CFE _IoAllocateController@16
00019D04 00019D3A _IoAllocateErrorLogEntry@8
00019D40 00019D55 _IoAllocateGenericErrorLogEntry@4
00019D5A 00019F37 _IopAllocateIrpPrivate@8
00019F3C 0001A047 _IoAllocateMdl@20
0001A04C 0001A137 _IoAsynchronousPageWrite@28
0001A13C 0001A1E8 _IopAttachDeviceToDeviceStackSafe@12
0001A1EE 0001A328 _IoBuildAsynchronousFsdRequest@24
0001A32E 0001A528 _IoBuildDeviceIoControlRequest@36
0001A52E 0001A58A _IoBuildSynchronousFsdRequest@28
0001A590 0001A608 _IoCancelIrp@4
0001A60E 0001A8DC @IopfCompleteRequest@8
0001A8E2 0001A968 _IoDeleteDevice@4
0001A96E 0001A98D _IoGetRequestorProcessId@4
0001A992 0001AA60 _IopShutdownBaseFileSystems@4
0001AA66 0001AA7C _IoAttachDeviceToDeviceStack@8
0001AA82 0001AAA7 _IoAttachDeviceToDeviceStackSafe@12
0001AAAC 0001AACE _IoAttachDeviceByPointer@8
0001AAD4 0001AAE7 _IoFreeWorkItem@4
0001AAEC 0001AB17 _IoQueueWorkItem@16
0001AB1C 0001AB4A _IoAllocateWorkItem@4
0001AB50 0001AB8C _IoCsqInitialize@28
0001AB92 0001ABEE _IoCsqRemoveNextIrp@8
0001ABF4 0001AC4C _IoCsqRemoveIrp@8
0001AC52 0001ACAE _IopCsqCancelRoutine@8
0001ACB4 0001AD38 _IoCsqInsertIrp@12
0001AD3E 0001AD55 _X86PaeEnabled@0
0001AD5A 0001ADA7 _IopIsAddressRangeValid@8
0001ADAC 0001ADFD _IopGetMaxValidMemorySize@8
0001AE02 0001AE86 _IoAddTriageDumpDataBlock@8
0001AE8C 0001AEDD _IopAddRunTimeTriageDataBlocks@20
0001AEE2 0001AEF7 _IoIsTriageDumpEnabled@0
0001AEFC 0001AF44 _IopDisplayString
0001AF4A 0001AF64 _KdCheckForDebugBreak@0
0001AF6A 0001AFF4 _IopGetDumpControlBlockCheck@4
0001AFFA 0001B055 _IoInitializeDumpStack@8
0001B05A 0001B0AC _IoGetDumpHiberRanges@8
0001B0B2 0001B0FE _IopGetSecondaryDumpDataLimits@12
0001B104 0001B187 _IopMapPhysicalMemory@16
0001B18C 0001B1A9 _IopAddPageToPageMap@16
0001B1AE 0001B1CB _IopRemovePageFromPageMap@16
0001B1D0 0001B285 _IoSetDumpRange@16
0001B28A 0001B30C _IoFreeDumpRange@16
0001B312 0001B378 _IopCalculateRequiredDumpSpace@16
0001B37E 0001B3E4 _IopGetLoadedDriverInfo@8
0001B3EA 0001B4F0 _IopWriteDriverList@16
0001B4F6 0001B54F _IopSizeTriageDumpDataBlocks@12
0001B554 0001B5D7 _IopWriteTriageDumpDataBlocks@8
0001B5DC 0001B63D _IopMapVirtualToPhysicalMdl@12
0001B642 0001B692 _IopCreateSummaryDump@4
0001B698 0001B7B0 _IopInvokeDumpIoCallbacks@12
0001B814 0001BD46 _KeCapturePersistentThreadState@32
0001BD4C 0001BDED _IopInitializeDumpSpaceAndType@12
0001BDF2 0001BF19 _IopWritePageToDisk@16
0001BF28 0001BFBF _IopWriteSummaryDump@24
0001BFC4 0001C029 _IopInitializeSummaryDump@8
0001C02E 0001C0D9 _IopWriteSummaryHeader@24
0001C0DE 0001C199 _IopWriteToDisk@28
0001C19E 0001C4B8 _IopInvokeSecondaryDumpDataCallbacks@36
0001C4BE 0001C504 _IopGetSecondaryDumpDataSpace@8
0001C50A 0001C837 _IopWriteTriageDump@44
0001C850 0001CE3B _IoWriteCrashDump@32
0001CE76 0001D113 _IoVolumeDeviceToDosName@8
0001D118 0001D1D0 _IopLogErrorEvent@32
0001D1D6 0001D260 _IopAllocateIrpMustSucceed@4
0001D266 0001D2BA _IopCompletePageWrite@20
0001D2C0 0001D37A _IopDisassociateThreadIrp@0
0001D380 0001D3E7 _IopDropIrp@8
0001D3EC 0001D426 _IopExceptionFilter@8
0001D42C 0001D457 _IopFreeIrpAndMdls@4
0001D45C 0001D491 _IopGetMountFlag@4
0001D4CE 0001D509 _IopRemoveHardErrorPacket@0
0001D50E 0001D54C _IopCheckHardErrorEmpty@0
0001D552 0001D583 _IopInvalidDeviceRequest@8
0001D588 0001D5A5 _IopGetDeviceAttachmentBase@4
0001D5AA 0001D6CE _IopNotifyPnpWhenChainDereferenced@16
0001D6D4 0001D72B _IopResurrectDriver@4
0001D730 0001D799 _IopTimerDispatch@16
0001D79E 0001D7D5 @IopInterlockedInsertHeadList@8
0001D7DA 0001D812 @IopInterlockedInsertTailList@8
0001D818 0001D84B @IopInterlockedRemoveHeadList@4
0001D850 0001D876 @IopInterlockedDecrementUlong@8
0001D87C 0001D8A2 @IopInterlockedIncrementUlong@8
0001D8A8 0001D8FE _IopCallBootDriverReinitializationRoutines@0
0001D904 0001D965 _IopAllocateReserveIrp@4
0001D96A 0001D98D _IopFreeReserveIrp@8
0001D992 0001D9E6 _IopMountInitializeVpb@12
0001D9EC 0001DA22 _IopVerifyDeviceObjectOnStack@8
0001DA28 0001DA88 _IopVerifyDiskSignature@12
0001DA8E 0001DAB6 _IopVerifyDriverObjectOnStack@8
0001DABC 0001DAD3 _IopIncrementDeviceObjectHandleCount@4
0001DAD8 0001DB16 _IopProcessIrpStackProfiler@0
0001DB1C 0001DE4E _IopCompleteRequest@20
0001DE54 0001DEFC _IopGetDriverPathInformation@12
0001DF02 0001DF5F _IopIrpStackProfilerTimer@16
0001DF64 0001DFB4 _IopInitializeIrpStackProfiler@0
0001DFBA 0001E1C2 _IopCompleteUnloadOrDelete@12
0001E1C8 0001E211 _IopDecrementDeviceObjectRef@12
0001E216 0001E22B _IopDecrementDeviceObjectHandleCount@4
0001E230 0001E279 _IopErrorLogGetEntry@0
0001E27E 0001E2C4 _IopErrorLogRequeueEntry@4
0001E2CA 0001E307 _IopErrorLogDpc@16
0001E30C 0001E372 _IopCheckDeviceAndDriver@8
0001E378 0001E453 _IopCheckVpbMounted@16
0001E458 0001E49D _IopDereferenceVpbAndFree@4
0001E4A2 0001E4E2 _IopGetDevicePDO@4
0001E4E8 0001E58C _IopCheckUnloadDriver@8
0001E592 0001E834 _IopUnloadDriver@8
0001E83A 0001E8F9 @IoPerfCompleteRequest@8
0001E8FE 0001E91C _IopPerfLogFileCreate@8
0001E922 0001E9C5 _IoAcquireRemoveLockEx@20
0001E9CA 0001EA88 _IoReleaseRemoveLockEx@12
0001EA8E 0001EAEE _IoInvalidateDeviceRelations@8
0001EAF4 0001EB39 _IoInvalidateDeviceState@4
0001EB40 0001EB91 _IopQueueDeviceWorkItem@12
0001EB96 0001EBB0 _PopCompleteFindIrp@12
0001EBB6 0001EC03 _IoGetDeviceInstanceName@8
0001EC0A 0001EC46 _IoRequestDeviceEject@4
0001EC4C 0001ED02 _IopDoDeferredSetInterfaceState@4
0001ED08 0001EE34 _IoReportTargetDeviceChangeAsynchronous@16
0001EE3A 0001EE6E _IopMarkHalDeviceNode@0
0001EE74 0001EEBD _IopPnpDriverStarted@12
0001EEC2 0001F14E _PipEnumerateCompleted@4
0001F154 0001F197 _PiMarkDeviceStackStartPending@8
0001F19C 0001F204 _PipProcessStartPhase1@8
0001F20A 0001F2B9 _PipProcessStartPhase2@4
0001F2BE 0001F2E9 _PipProcessRestartPhase1@8
0001F2EE 0001F345 _PipProcessRestartPhase2@4
0001F34A 0001F3CB _PpRemoveDeviceActionRequests@4
0001F46A 0001F769 _PipProcessStartPhase3@4
0001F76E 0001F821 _PiCollapseEnumRequests@4
0001F826 0001FA12 _PipDeviceActionWorker@4
0001FA60 0001FB88 _PipRequestDeviceAction@24
0001FB8E 0001FBF0 _PpProcessClearProblem@4
0001FBF6 0001FC2E _IopDeviceEjectComplete@12
0001FC34 0001FD05 _IopLockMountedDeviceForRemove@12
0001FD0A 0001FD8D _IopUnlockMountedDeviceForRemove@12
0001FD92 0001FDFB _IopQueryDeviceRelations@16
0001FE00 00020050 _IopRemoveLockedDeviceNode@12
00020056 00020080 _PipIsDevNodeDNStarted@4
00020086 0002009D _PipClearDevNodeProblem@4
000200A2 000200BB _PipSetDevNodeProblem@8
000200C0 00020130 _PipSetDevNodeState@12
00020136 0002017F _PipRestoreDevNodeState@4
00020184 000201AA _PipIsProblemReadonly@4
000201EC 0002027F _PpDevNodeRemoveFromTree@4
00020284 000202DF _PpDevNodeInsertIntoTree@8
000202E4 00020308 _IopSetLegacyResourcesFlag@4
0002030E 000203A0 _IopEliminateBogusConflict@8
000203A6 000203ED @PpvUtilCallAddDevice@16
000203F2 00020401 @PpvUtilTestStartedPdoStack@4
00020406 00020480 @PpvUtilFailDriver@16
00020486 000204FB _IopPowerDispatch@8
00020500 0002051F _IopPnPCompleteRequest@12
000205E0 00020729 _PiProfileUpdateHardwareProfile@4
0002072E 0002076B _KdUpdateTimeSlipEvent@4
00020770 0002081B _KdpSetCommonState@12
00020820 00020871 _ExceptionRecord32To64@8
00020876 000208E5 _KdDisableDebugger@0
000208EA 0002093D _KdEnableDebugger@0
00020942 00020972 _KdPowerTransition@4
00020978 000209A3 _KdpSwitchProcessor@12
000209A8 000209B2 _KdpPortLock@0
000209B8 000209C2 _KdpPortUnlock@0
000209C8 00020A3B _KdPollBreakIn@0
00020A40 00020A73 _KdpPollBreakInWithPortLock@0
00020A78 00020A7E _KdGetDataBlock@0
00020A84 00020BB2 _KdLogDbgPrint@4
00020BB8 00020BE1 _KdDeleteAllBreakpoints@0
00020BE6 00020CB9 _KdSetOwedBreakpoints@0
00020CBE 00020D66 _KdpIsTryFinallyReturn@8
00020D6C 00020DBB _KdpStub@24
