000068F0 0000691A _MapPredefinedHandle@8
00008E33 00008E4B _MartaDllInitialize@12
00008E50 00008E7D _WmiDllInitialize@12
00008E82 00008E86 _LocalInitializeRegCreateKey@0
00008E86 00008F48 _rc4_key@12
00008F79 00008FBF _SetHandleProtection@12
00008FC4 00008FE0 _LocalOpenCurrentUser@12
00008FE5 00009046 _CodeAuthzpGetTokenInformation@8
0000904B 0000907A _SaferpLevelObjpTableCompare@12
0000911D 00009148 _CodeAuthzLevelObjpLookupByLevelId@8
0000914D 00009190 _SaferpGuidIdentsTableCompare@12
00009239 0000924E _CleanupPredefinedHandlesTable@0
00009253 00009264 _CleanupLeakTrackTable@0
000092A1 000092E8 _CodeAuthzLevelObjpEntireTableFree@4
000092F7 0000930F _EncryptMemoryShutdown@0
00009328 0000937A _CodeAuthzDeinitializeGlobals@0
0000937F 00009399 _CodeAuthzGuidIdentsEntireTableFree@4
000093C7 000093FD _AccProvUnload@0
00009402 0000941F _AccProvpFreeProviderList@4
00009479 0000948A _PerfRegCleanup@0
0000948F 00009553 _GatherRandomKeyFastUserMode@16
00009558 00009595 _rc4_safe_key@16
000095C7 00009649 _IsRNGWinNT@0
0000964E 0000967D _GetCircularHashValue@12
000096A9 000096EC _LocalOpenLocalMachine@12
000096F1 00009727 _InitCircularHash@16
0000972C 00009790 _rc4_safe_startup@4
000097B3 000097B9 ??0CEventsBase@@QAE@XZ
000097BE 00009826 ?InitDebugSupport@@YGXK@Z
0000989F 000098C2 _CodeAuthzLevelObjpInitializeTable@4
000098C7 000098EA _CodeAuthzGuidIdentsInitializeTable@4
000098EF 0000992A _MartaInitialize@0
0000992F 00009945 _WmipInitializeDll@0
0000994A 0000995F _InitializePredefinedHandlesTable@0
00009964 00009A21 _CodeAuthzInitializeGlobals@0
00009A75 00009A93 _AdvApi_InitializeTermsrvFpns@8
00009A98 00009AC0 _IsTerminalServerCompatible@0
00009ACF 00009AF8 ___security_init_cookie
00009AFD 00009B09 _InitializeClassesRoot@0
00009B0E 00009B22 _InitializeClassesEnumTable@0
00009B27 00009B54 _EnumTableInit@4
00009B59 00009B6F _InitializeLeakTrackTable@0
00009B74 00009C58 _ReadRegLeakTrackInfo@0
00009E8B 00009EB3 _SaferpSkipPolicyForAdmins@0
00009EB8 00009F88 _SaferIdentifyLevel@16
00009FC1 0000A17D ___CodeAuthzpIdentifyOneCodeAuthzLevel@16
0000A182 0000A20D _CodeAuthzFullyQualifyFilename@16
0000A3A3 0000A423 ___CodeAuthzpCheckIdentityCertificateRules@16
0000A5AD 0000A5DE _SaferpIsNetworkVolume@4
0000A5FD 0000A693 _CodeAuthzpCreateLevelHandleFromRecord@28
0000A698 0000A72F _CodeAuthzHandleToLevelStruct@8
0000A734 0000A76A _IsSaferDisabled@0
0000A76F 0000A79B ___CodeAuthzpEnsureUnmapped@4
0000A7A0 0000A7D5 ___CodeAuthzpCheckIdentityUrlZoneRules@12
0000A7DA 0000A7E0 _wcsncpy
0000A7E5 0000A969 ___CodeAuthzpCheckIdentityPathRules@16
0000A96E 0000A9C4 _CodeAuthzpCompareImagePath@8
0000A9C9 0000AAAA _CodeAuthzpCompareUnicodeImagePath@8
0000AAB3 0000AB28 ___CodeAuthzpCompareImagePathHelper@16
0000AB2D 0000AC00 _SaferComputeTokenFromLevel@20
0000AC05 0000AEBD ___CodeAuthzpComputeAccessTokenFromCodeAuthzObject@24
0000AEC2 0000AF83 ___CodeAuthzpCheckIdentityHashRules@12
0000AF88 0000AFA4 _SaferCloseLevel@4
0000AFA9 0000B029 _CodeAuthzCloseLevelHandle@4
0000B02E 0000B106 _SaferpLogResultsToFile@16
0000B16F 0000B219 ___CodeAuthzpEnsureMapped@4
0000B21E 0000B25C _SaferpReloadPolicyIfNeeded@0
0000B261 0000B379 _SaferpCheckKeyStamp@4
0000B45A 0000B5C0 _CodeAuthzpOpenPolicyRootKey@24
0000B66F 0000B68F _SaferpGenericTableFree@8
0000B6BA 0000B77D _SaferpLevelObjpCleanupEntry@4
0000B8EB 0000B961 _SaferpLoadUnicodeResourceString@16
0000B96D 0000B98D _SaferpGenericTableAllocate@8
0000B9AB 0000BABF _SaferpGuidIdentsLoadTable@20
0000BE73 0000BFAC _SaferpEnforceDefaultLevelDefinitions@4
0000BFB1 0000C066 _CodeAuthzpImmediateReloadCacheTables@0
0000C06B 0000C0E1 _CodeAuthzGuidIdentsLoadTableAll@16
0000C539 0000C6B7 _CodeAuthzLevelObjpLoadTable@12
0000C8F5 0000C978 _SaferpEnumerateHiddenLevels@0
0000C9AB 0000C9C7 _CodeAuthzPol_GetInfoRegistry_DefaultLevel@16
0000C9CC 0000CB4F _SaferpPol_GetInfoCommon_DefaultLevel@20
0000CB6F 0000CBA3 _CodeAuthzpRecomputeEffectiveDefaultLevel@0
0000CC9D 0000CCA3 _wcsstr
0000D1B6 0000D1D5 _StateObjectListRemove@8
0000D1DA 0000D20B _StateObjectListFind@8
0000D24C 0000D29A _EnumTableRemoveKey@12
0000D357 0000D36B _StateObjectListIsEmpty@4
0000D370 0000D51B _LocalBaseRegEnumKey@20
0000D520 0000D542 _EnumSubtreeStateClear@4
0000D547 0000D568 _StateObjectListAdd@8
0000D56D 0000D5B9 _EnumStateClear@4
0000D5D4 0000D67F _RegEnumKeyW@16
0000D684 0000D752 _LocalBaseRegSetValue@20
0000D757 0000D865 _RegSetValueExW@24
0000D86A 0000D8DB _RegQueryValueW@16
0000D8EE 0000D971 _RegNotifyChangeKeyValue@20
0000D9A1 0000D9D8 _KeyStateListDestroy@4
0000DA39 0000DAE8 _ImpersonateLoggedOnUser@4
0000DB0B 0000DBDE _BaseRegGetUserPrefixLength@4
0000DC06 0000DD99 _BaseRegGetKeySemantics@12
0000DD9E 0000DDE3 _BaseRegCchSpecialKeyLen@12
0000DDFF 0000DE80 _BaseRegOpenClassKey@20
0000DE85 0000DFC0 _BaseRegOpenClassKeyFromLocation@24
0000DFC5 0000E010 _BaseRegTranslateToMachineClassKey@12
0000E05B 0000E0B9 _KeySemanticsRemovePrefix@12
0000E0BE 0000E0FD _BaseRegTranslateToUserClassKey@12
0000E102 0000E153 _BaseRegConstructUserClassPrefix@8
0000E170 0000E244 _BaseRegGetUserAndMachineClass@20
0000E27E 0000E2C6 _EnumClassKey@8
0000E2CB 0000E343 _EnumStateSetLimits@20
0000E348 0000E40A _EnumStateChooseNext@24
0000E40F 0000E476 _EnumStateCompareSubtrees@12
0000E47B 0000E4B5 _EnumTableGetKeyState@24
0000E4BA 0000E4FA _EnumTableFindKeyState@12
0000E4FF 0000E57D _EnumTableGetNextEnum@28
0000E582 0000E609 _EnumStateGetNextEnum@28
0000E60E 0000E68C _EnumSubtreeStateCopyKeyInfo@20
0000E69C 0000E6C4 _EnumStateDestroy@4
0000E7A9 0000E8FD _EnumTableAddKey@20
0000E902 0000E9DF _EnumStateInit@20
0000E9E4 0000EAD2 _RegCreateKeyExA@36
0000EAD7 0000EC43 _RegSetValueExA@24
0000EC48 0000ECD0 _LocalBaseRegDeleteValue@8
0000ECD5 0000ED58 _RegDeleteValueA@8
0000EDB1 0000EDDC _KeyStateListInit@4
0000EDE1 0000EE5A _RegDeleteValueW@8
0000EFB8 0000EFF7 _RegOpenKeyA@12
0000EFFC 0000F02E _AdjustTokenPrivileges@24
0000F05F 0000F065 __wcsicmp
0000F06A 0000F08A _EqualSid@8
0000F0D7 0000F0FA _CopySid@12
0000F0FF 0000F17E _ConvertSidToStringSidW@8
0000F183 0000F1B4 _SetThreadToken@8
0000F1B9 0000F204 _AccessCheckByType@44
0000F209 0000F226 _IsValidSid@4
0000F22B 0000F23F _GetSidIdentifierAuthority@4
00010A15 00010A26 _EVENTLOG_HANDLE_W_unbind@8
00010A2B 00010A46 _RpcpUnbindRpc@4
00010A5F 00010B34 _RpcpBindRpc@16
00011DE5 00011E04 _PLSAPR_SERVER_NAME_bind@4
00011E17 00011E9B _LsaOpenPolicy@16
00011EBD 00011EDF _LsarOpenPolicy2@16
00011EE4 00011F1D _LsaClose@4
00011F3D 00011F5F _LsarClose@4
00012DA5 00012DB9 _MIDL_user_allocate@4
00012DBE 00012DD1 _LsaFreeMemory@4
00012DD6 00012DE2 _MIDL_user_free@4
00012DE7 00012E47 _LsaQueryInformationPolicy@12
00012E59 00012E7B _LsarQueryInformationPolicy2@12
00012E91 00012EB3 _LsarQueryInformationPolicy@12
00012EB8 00012EE1 _AddAccessAllowedAceEx@20
00012EE6 00012F2F _ConvertStringSecurityDescriptorToSecurityDescriptorW@16
00012F34 0001307F _LocalConvertStringSDToSD_Rev1@24
0001318F 000131FB _LookupAccessMaskInTable@12
00013200 0001326E _LookupAceTypeInTable@12
000132FB 00013706 _LocalConvertSDToStringSD_Rev1@20
000138F1 00013A57 _LocalGetSidForString@32
00013BBB 00013DEF _LocalGetAclForString@32
00013E07 00013F26 _InitializeSidLookupTable@4
00013F2B 00014159 _LocalBaseRegQueryInfoKey@40
0001415E 00014192 _QueryKeyInfo@24
00014197 0001427B _LocalBaseRegDeleteKey@8
00014280 0001430D _RegDeleteKeyA@8
00014312 0001445C _RegQueryInfoKeyA@48
0001468E 000147EE _BaseRegCreateMultipartKey@36
000147F3 00014826 _ObjectCloseAuditAlarmW@12
0001482B 00014837 _MapGenericMask@8
0001483C 000148A4 _ObjectOpenAuditAlarmW@48
000148A9 00014919 _IsTokenRestricted@4
0001494D 00014969 _GetUserNameW@8
0001496E 00014974 _GetUserNameExW@12
00014979 00014983 __imp_load__GetUserNameExW@12
000149AE 00014AE0 _RegQueryInfoKeyW@48
00014AE5 00014B08 _SetSecurityDescriptorOwner@12
00014B0D 00014B30 _SetSecurityDescriptorGroup@12
00014B35 00014B62 _GetSecurityDescriptorOwner@12
00014B67 00014B94 _GetSecurityDescriptorGroup@12
00014B99 00014BBC _GetSecurityDescriptorControl@12
00014BC1 00014BD1 _AccProvpLoadMartaFunctions@0
00014BF1 00014C0E _IsValidSecurityDescriptor@4
00014C13 00014C36 _GetAce@12
00014C3B 00014C58 _ImpersonateAnonymousToken@4
00014C5D 00014D14 _WmipSendWmiKMRequest@32
00014D19 00014D3A _WmipFreeEvent@4
00014D3F 00014D5A _WmipAllocEvent@0
00014D5F 00014DAA _WmipFindGuidNotification@4
00014DAF 00014DCA _WmipSetDosError@4
00014E7A 00014E9D _SetKernelObjectSecurity@12
00014EA2 00014EBB _SetEntriesInAclW@16
00014EC0 00014EDD _ImpersonateSelf@4
00014EEC 00014F09 _DestroyPrivateObjectSecurity@4
00014F0E 00014F40 _CreatePrivateObjectSecurityEx@32
00014F45 00014F74 _GetKernelObjectSecurity@20
00014F79 00014FC1 ?GetErrorChecks@@YGKW4_SE_OBJECT_TYPE@@KPAPAX1PAPAU_ACL@@21@Z
00014FC6 00015007 _GetNamedSecurityInfoW@32
0001500C 00015148 _WmiQueryAllDataW@12
00015165 00015191 _WmipSendWmiRequest@24
00015196 00015393 _RegEnumKeyExA@32
00015398 000153C6 _RegEnumKeyA@16
000153CB 0001548E ___delayLoadHelper2@8
0001548E 0001549F __tailMerge_Secur32
000154A4 000154C0 _GetUserNameA@8
000154C5 000154CB _GetUserNameExA@12
000154D0 000154D7 __imp_load__GetUserNameExA@12
00015530 00015544 _GetSidSubAuthority@8
00015549 0001555D _GetSidLengthRequired@4
00015562 00015576 _GetSidSubAuthorityCount@4
0001557B 000155FE _RegDeleteKeyW@8
00015623 00015666 _LocalOpenUsers@12
0001566B 0001568E _InitializeSid@12
000156E7 0001570C _LookupAccountSidW@28
00015711 00015896 _LookupAccountSidInternal@32
0001589B 000159A0 _LsaLookupSids@20
000159A5 00015A5D _LsaICLookupSids@36
00015A7D 00015A9F _LsarLookupSids2@32
00015AC9 00015B34 _LsapVerifyReturnedNames@12
00015B39 00015B5E _LookupAccountNameW@28
00015B63 00015CC9 _LookupAccountNameInternal@32
00015CCE 00015D13 _LsaLookupNames2@24
00015D18 00015E93 _LsaICLookupNames@40
00015EC1 00015EE3 _LsarLookupNames3@36
0001608F 000160F0 _LsaEnumerateAccountRights@16
00016101 00016123 _LsarEnumerateAccountRights@12
00016CC5 00016CF8 _CloseServiceHandle@4
00016D09 00016D2B _RCloseServiceHandle@4
00016D30 00016D65 _QueryServiceStatus@8
00016D79 00016D9B _RQueryServiceStatus@8
00016DA0 00016DF2 ?ScWaitForStart@@YGKXZ
00016E3F 00016F12 ?ScClientBindToServer@@YGKPAGPAPAX@Z
00016F17 00016F30 _SVCCTL_HANDLEW_unbind@8
00016F35 00016F81 _OpenSCManagerW@12
00016F99 00016FB1 _SVCCTL_HANDLEW_bind@4
00016FB6 00016FD8 _ROpenSCManagerW@16
00016FDD 0001701D _OpenServiceW@12
00017031 00017053 _ROpenServiceW@16
00017058 0001708D _MD5Init@4
00017092 0001712D _MD5Final@4
00017132 00017200 _MD5Update@12
00017200 00017879 _TransformMD5@8
0001791D 00017BC6 _CryptAcquireContextA@20
00017BEE 00017C20 _CSPInCacheCheck@8
00017ECE 00017F63 _CryptReleaseContext@8
00017F79 00018021 _CryptAcquireContextW@20
00018039 00018095 ?I_IsNtPe32File@@YGHPAU_CRYPTOAPI_BLOB@@@Z
000180A0 00018160 _I_MinCryptMapFile@12
00018165 0001827D _CheckSignatureInFile@4
00018282 000184CE _HashTheFile@20
000184D3 00018521 _GetCryptSigResourcePtr@12
0001852E 000185E1 _MinCryptVerifySignedFile@24
000185F9 0001865F _imagehack_ImageGetCertificateData@12
00018671 000186D6 ?I_FindCertificate@@YGHPAU_LOADED_IMAGE@@KPAPAU_WIN_CERTIFICATE@@@Z
000186E9 0001871B ?I_MapIt@@YGHPAU_CRYPTOAPI_BLOB@@PAU_LOADED_IMAGE@@@Z
00018720 000187C7 ?I_CalculateImagePtrs@@YGHPAU_LOADED_IMAGE@@@Z
0001882D 00018850 _AddHandleToCSPCache@4
00018891 000188AA _BenalohEstimateQuotient@12
000188AF 0001896A _Reduce@16
0001896F 00018975 __chkstk
00018A50 00018AC7 _Multiply@16
00018ACC 00018B86 _Accumulate@16
00018BDA 00018CA8 _BenalohMod@12
00018CAD 00018CEE _Compare@12
00018CF3 00018D9A _HashBytesOfFile@12
00018DB5 00018FCC _Mod@20
00018FD1 00018FFE _DigitLen@8
00019003 00019044 _BitLen@8
00019049 000190AA _BaseMult@16
000190AF 000191A3 _CheckSignature@24
000191A8 00019263 _BSafeEncPublic@12
00019268 0001939A _BenalohModExp@20
0001939F 00019450 _CheckAllSignatures@16
00019455 000194BE _EncryptKey@12
000194C3 000195AD _BenalohSetup@12
000195AD 000195F1 _Sub@16
00019612 00019656 _Add@16
0001965B 000196E4 _Square@12
000196E9 0001972E _AccumulateSquares@12
00019733 0001976A _EstimateQuotient@16
0001976A 00019793 __aulldiv
00019A7E 00019B2F _CryptHashData@16
00019B41 00019B7A _EnterHashCritSec@4
00019B91 00019BA7 _LeaveHashCritSec@4
00019BAC 00019C3B _CryptDestroyHash@4
00019C51 00019D20 _CryptCreateHash@20
00019D31 00019D8F _BuildVHash@8
00019D94 00019E20 _CryptGetHashParam@20
00019E31 00019E6A _EnterKeyCritSec@4
00019E81 00019E97 _LeaveKeyCritSec@4
00019E9C 00019F5E _CryptDestroyKey@4
00019F71 00019FD8 _BuildVKey@8
00019FDD 0001A0F4 _CryptDeriveKey@20
0001A109 0001A1B9 _CryptDecrypt@24
0001A1D1 0001A2D6 _CryptImportKey@24
0001A2E9 0001A3AB _LocalVerifySignatureW@24
0001A3C1 0001A49F _SetFileSecurityW@12
0001A4A4 0001A4D3 _SetSecurityAccessMask@8
0001A889 0001A9CF _CreateProcessAsUserW@44
0001AA02 0001AAB8 _L32SetProcessTokenSecure@16
0001AABD 0001AB36 _L32SetProcessQuotas@8
0001AB3B 0001AE7F _L32CommonCreateSecure@20
0001AE84 0001AEFF _L32CreateTokenForNewProcess@12
0001AF3B 0001AFF2 _InitKeyLM@8
0001AFF7 0001B060 _desparityonkey@8
0001B07D 0001BE37 _deskey@8
0001BE3C 0001BEB7 _DES_ECB_LM
0001BEB7 0001C740 _des@16
0001CF45 0001CF6A _SystemFunction002@12
0001D79A 0001D7BF _SystemFunction001@12
0001D7C4 0001D7E9 _InitializeBuffer@8
0001D7EE 0001D81A _ValidateDataKey@8
0001D81F 0001D83E _CalculateCypherDataLength@4
0001D843 0001D897 _EncryptDataLength@12
0001D89C 0001D8D4 _AdvanceDataKey@4
0001D8F7 0001D9A6 _SystemFunction004@12
0001D9AB 0001DA34 _EncryptPartialBlock@16
0001DA39 0001DAA8 _DecryptPartialBlock@16
0001DAAD 0001DB07 _DecryptDataLength@12
0001DB0C 0001DB47 _SystemFunction029@8
0001DB4C 0001DB6E _LsarRetrievePrivateData@12
0001DB73 0001DC14 _LsapCrDecryptValue@12
0001DC19 0001DC59 _LsapCrClearValueToUnicode@8
0001DC7F 0001DD24 _SystemFunction005@12
0001DD29 0001DD68 _LsapCrClientGetSessionKey@8
0001DD6D 0001DDA1 _SystemFunction028@8
0001DDA6 0001DE79 _SystemFunction034@12
0001DE7E 0001DF4D _LsaRetrievePrivateData@12
0001DF6D 0001DF78 _LsapCrFreeMemoryValue@4
0001DF7D 0001DFB7 _EncryptFullBlock@12
0001DFBC 0001DFF6 _DecryptFullBlock@12
0001DFFB 0001E007 _LsaNtStatusToWinError@4
0001E0D5 0001E10D _CredProfileLoaded@0
0001E121 0001E143 _CredrProfileLoaded@4
0001E148 0001E18A _CredpNtStatusToWinStatus@4
0001E274 0001E2AD _MapSAToRpcSA@8
0001E2B2 0001E302 _LsaGetUserName@8
0001E319 0001E33B _LsarGetUserName@12
0001E340 0001E3F3 _CryptEncrypt@28
0001E409 0001E456 _I_ScSetServiceBitsW@20
0001E469 0001E48B _RI_ScSetServiceBitsW@20
0001E4B2 0001E4FD _SystemFunction041@12
0001E511 0001E534 _SetSecurityDescriptorControl@12
0001E591 0001E605 _WmipGetWindowsDirectory@12
0001E60A 0001E640 _WmipCopyMRString@16
0001E645 0001E80D _WmipBuildMUIPath@24
0001E84B 0001E89B _WmipFileExists@4
0001E8A0 0001EA3B _WmipRegistryToImagePath@8
0001EAF1 0001EB58 _WmipGetLanguageList@8
0001EB5D 0001EBB7 _EnumUILanguageCallback@8
0001EBCD 0001EC44 _WmipGetMofResourceList@4
0001EC69 0001EE9E _WmiMofEnumerateResourcesW@12
0001EF64 0001F5C7 _SaferiPopulateDefaultsInRegistry@8
0001FB38 0001FB70 _StartServiceA@12
0001FB81 0001FBA3 _RStartServiceA@12
0001FBA8 0001FBAF __imp_load__WinVerifyTrust@12
0001FBAF 0001FBC0 __tailMerge_WINTRUST
0001FCC5 0001FCCB _WinVerifyTrust@12
0001FCD0 0001FD28 _SaferGetLevelInformation@20
0001FD2D 0001FDDF ___CodeAuthzpGetAuthzLevelInfo@20
0001FDE4 0001FE27 _WmiCloseBlock@4
0001FE39 0001FE86 _WmipCopyCountedString@16
0001FE8B 0001FEC5 _RegisterServiceCtrlHandlerExA@12
0001FECA 0001FEEB _WmiReceiveNotificationsW@16
0001FEF0 0002003C _WmipReceiveNotifications@32
00020041 000200A5 _WmipInternalNotification@16
000200C9 000201F0 _WmipProcessMofAddRemoveEvent@16
000201F5 0002041E _WmipBuildMofAddRemoveEvent@32
00020423 0002044E _WmipMakeEventCallbacks@16
00020453 00020478 _WmipExternalNotification@12
000204A2 00020624 _BaseRegNotifyClassKey@24
00020629 00020721 _BaseRegGetBestAncestor@16
00020726 00020895 _ITRPC_HANDLE_bind@4
0002089A 000208AD _ITRPC_HANDLE_unbind@8
000208B2 000208BA _RegisterIdleTask@16
000208BF 00020951 _ItCliRegisterIdleTask@16
00020969 0002098B _ItSrvRegisterIdleTask@12
00020A55 00020C8D _GetCurrentHwProfileW@4
00020CD5 00020D27 _SetNamedSecurityInfoW@28
00020D66 00020E0A _RegLoadKeyW@12
00020E0F 00020F54 _LocalBaseRegLoadKey@12
00020F59 00020F8D _NotifyBootConfigStatus@4
00020FA1 00020FC3 _RNotifyBootConfigStatus@8
00020FC8 00020FF0 _GetEventLogInformation@20
00020FF5 00021030 _ElfGetLogInformation@20
00021041 00021063 _ElfrGetLogInformation@20
00021068 000210AA _OpenEventLogW@8
000210AF 00021175 _ElfOpenEventLogW@12
000211A1 000211C3 _ElfrOpenELW@24
000211C8 000211D3 _I_ScIsSecurityProcess@0
000211EA 0002123C _QueryServiceStatusEx@20
00021251 00021273 _RQueryServiceStatusEx@20
00021278 00021304 _CryptGetKeyParam@20
00021319 0002137B _CryptGetProvParam@20
000213CD 000213D7 __imp_load__LsaLookupAuthenticationPackage@12
000213DC 000213E6 __imp_load__LsaConnectUntrusted@4
000213EB 000213F1 _LsaConnectUntrusted@4
000213F6 00021400 __imp_load__LsaLogonUser@56
0002146E 00021507 _L32pInitLsa@0
0002153F 00021545 _LsaLookupAuthenticationPackage@12
0002154A 0002156C _RQueryServiceConfigA@16
00021576 000215EB _QueryServiceConfigA@16
000216B7 00021707 __local_unwind2
00021758 00021818 __except_handler3
00021818 0002182E __NLG_Notify
0002182E 00021836 __NLG_Dispatch2
00021851 00021857 _I_RpcExceptionFilter@4
0002187A 0002188E _LsapApiReturnResult@4
0002188E 000218AE __global_unwind2
000218B3 000218B9 _RtlUnwind@16
000218BE 00021A0A __ValidateEH3RN
00021A0F 00021A15 _NtQueryVirtualMemory@24
00021A1A 00021A81 _SnapShotWin31IniFilesToRegistry@4
00021A9B 00021AEA _SnapShotWin31RegDatToRegistry@4
00021B01 00021BB9 _QueryWindows31FilesMigration@4
00021BF6 00021C35 _TerminateWin31State@8
00021C3A 00021CB6 _InitializeWin31State@8
00021D2F 00021D97 _OpenCreateKey@12
00021F15 00021F50 _MatchString@8
00021F6E 00022212 _PerfGetNames@24
00022271 00022364 _GetQueryType@4
00022398 000226EB _PerfRegQueryValue@28
000226F0 00022C2B _PerfOpenKey@0
00022CD5 00022DFD _PrivateRegQueryValueExT@28
00022E02 00022E18 _PerfpDosError@4
00022E1D 00022E51 _TestClientForAccess@0
00022EC7 00022F7E _PerflibCheckPerfFile@4
00022F83 00023012 _PerflibFindCounterFile@12
00023017 00023031 _Perflib004Update@4
00023036 00023085 _GetLangIdFromSzLang@4
000230BD 00023110 _ClosePredefinedHandle@4
00023135 0002314E _LocalOpenPerformanceData@12
00023231 00023284 _SetServiceStatus@8
00023299 000232BB _RSetServiceStatus@8
000232C0 0002342A ?ScDispatcherLoop@@YGXPAXPAU_CTRL_MSG_HEADER@@K@Z
00023441 000234C0 ?ScGetPipeInput@@YGKPAXPAU_CTRL_MSG_HEADER@@KPAPAT_SERVICE_PARAMS@@@Z
000234C5 000234F1 ?ScSendResponse@@YGXPAXKK@Z
00023502 0002350D _CryptVerifySignatureW@24
00023519 00023539 ?ScSvcctrlThreadA@@YGKPAU_THREAD_STARTUP_PARMSA@@@Z
0002353E 00023578 ?ScGetDispatchEntry@@YGKPAPAU_INTERNAL_DISPATCH_ENTRY@@PAG@Z
0002357D 00023637 _StartServiceCtrlDispatcherW@4
00023649 0002365C _TmpGetComputerNameW@0
00023661 00023780 _ReportEventW@36
00023785 000237EE _ElfReportEventW@48
00023801 00023823 _ElfrReportEventW@56
00023828 00023877 _InitUnicodeString@8
0002387C 000238F3 _MapSDToRpcSD@8
000238F8 00023A10 _RegGetKeySecurity@16
00023A15 00023AD8 _LocalBaseRegGetKeySecurity@12
00023ADD 00023C08 _RegSetKeySecurity@12
00023C0D 00023C8E _LocalBaseRegSetKeySecurity@12
00023C93 00023D12 ?ScReadServiceParms@@YGKPAU_CTRL_MSG_HEADER@@KPAPAE1PAK@Z
00023D17 00023D80 ?ScNormalizeCmdLineArgs@@YGXPAU_CTRL_MSG_HEADER@@PAU_THREAD_STARTUP_PARMSW@@@Z
00023D85 00023E15 ?RegisterServiceCtrlHandlerHelp@@YGPAUSERVICE_STATUS_HANDLE__@@PBGT_HANDLER_FUNCTION_TYPE@@PAXK@Z
00023E29 00023E42 _RegisterServiceCtrlHandlerExW@12
00023E57 00023E6F _RegisterServiceCtrlHandlerW@8
00023E74 00023EAC _StartServiceW@12
00023EC1 00023EE3 _RStartServiceW@12
00023F18 00023F40 ?DetectWow64Process@@YGXXZ
00023F45 00023F52 ?InitializeStatusBinding@@YGJXZ
